tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P,054_P,055_P,056_P,057_P,058_P,059_P,060_P,061_P,062_P,063_P,064_P,065_P,066_P,067_P,068_P,069_P,070_P,071_P,072_P,073_P
0,767.0,768.0,769.0,770.0,771.0,772.0,773.0,774.0,775.0,776.0,777.0,779.0,780.0,781.0,782.0,783.0,784.0,785.0,786.0,793.0,7576.0,7586.0,7587.0,7588.0,328.0,1443.0,1444.0,1445.0,1647.0,1648.0,1649.0,1911.0,1913.0,1914.0,1805.0,1806.0,1660.0,1661.0,1662.0,1664.0,1665.0,1666.0,1807.0,7167.0,1808.0,7389.0,7025.0,4464.0,1869.0,1870.0,1871.0,1872.0,1873.0,1874.0,1875.0,1876.0,1877.0,1878.0,1879.0,1899.0,6107.0,6108.0,6109.0,6110.0,7020.0,7029.0,7038.0,7011.0,2171.0,7160.0,7047.0,7161.0,7162.0
5002343,28200.0,28302.0,28339.0,28396.0,28419.0,28467.0,28500.0,28539.0,28592.0,28637.0,28683.0,28739.0,28798.0,28839.0,28875.0,28928.0,28958.0,29010.0,29104.0,29244.0,29254.0,29393.0,29502.0,29545.0,29701.0,29804.0,29880.0,29964.0,30105.0,30194.0,30229.0,30323.0,30387.0,30435.0,30460.0,30533.0,30705.0,30779.0,30861.0,30940.0,30989.0,31018.0,31099.0,31127.0,31174.0,31330.0,31567.0,31632.0,31661.0,31692.0,31731.0,31771.0,31816.0,31856.0,31890.0,31924.0,31974.0,31996.0,32020.0,32045.0,32058.0,32076.0,32097.0,32131.0,32162.0,32174.0,32195.0,32224.0,32267.0,32276.0,32306.0,32326.0,32344.0
5003102,34800.0,34971.0,34997.0,35050.0,35071.0,35115.0,35168.0,35231.0,35316.0,35380.0,35428.0,35487.0,35548.0,35591.0,35628.0,35685.0,35727.0,35798.0,35927.0,36118.0,36132.0,36335.0,36495.0,36558.0,36787.0,36912.0,36983.0,37062.0,37195.0,37280.0,37312.0,37398.0,37451.0,37491.0,37532.0,37602.0,37676.0,37725.0,37780.0,37848.0,37890.0,37929.0,37985.0,38010.0,38059.0,38220.0,38466.0,38533.0,38563.0,38591.0,38626.0,38662.0,38703.0,38740.0,38771.0,38802.0,38847.0,38869.0,38893.0,38918.0,38931.0,38949.0,38970.0,39004.0,39035.0,39047.0,39068.0,39097.0,39140.0,39149.0,39179.0,39199.0,39217.0
5003483,30000.0,30137.0,30165.0,30229.0,30255.0,30308.0,30357.0,30414.0,30492.0,30554.0,30610.0,30677.0,30742.0,30787.0,30827.0,30888.0,30921.0,30977.0,31106.0,31297.0,31310.0,31496.0,31642.0,31700.0,31910.0,32019.0,32089.0,32167.0,32298.0,32381.0,32418.0,32516.0,32560.0,32593.0,32622.0,32689.0,32826.0,32901.0,32985.0,33040.0,33075.0,33112.0,33177.0,33209.0,33254.0,33412.0,33653.0,33719.0,33749.0,33777.0,33811.0,33846.0,33886.0,33922.0,33952.0,33982.0,34028.0,34050.0,34074.0,34099.0,34112.0,34130.0,34151.0,34185.0,34216.0,34228.0,34249.0,34278.0,34321.0,34330.0,34360.0,34380.0,34398.0
5003603,24000.0,24102.0,24139.0,24196.0,24219.0,24267.0,24300.0,24339.0,24392.0,24437.0,24483.0,24539.0,24598.0,24639.0,24675.0,24728.0,24758.0,24810.0,24904.0,25044.0,25054.0,25193.0,25302.0,25345.0,25501.0,25604.0,25680.0,25764.0,25905.0,25994.0,26029.0,26123.0,26187.0,26235.0,26260.0,26333.0,26505.0,26579.0,26661.0,26740.0,26789.0,26818.0,26899.0,26927.0,26974.0,27130.0,27367.0,27432.0,27461.0,27492.0,27531.0,27571.0,27616.0,27656.0,27690.0,27724.0,27774.0,27796.0,27820.0,27845.0,27858.0,27876.0,27897.0,27931.0,27962.0,27974.0,27995.0,28024.0,28067.0,28076.0,28106.0,28126.0,28144.0
5003605,36000.0,36108.0,36142.0,36196.0,36218.0,36264.0,36306.0,36355.0,36421.0,36496.0,36525.0,36561.0,36652.0,36715.0,36771.0,36855.0,36911.0,37007.0,37156.0,37376.0,37392.0,37580.0,37728.0,37786.0,37998.0,38166.0,38254.0,38352.0,38516.0,38621.0,38650.0,38726.0,38813.0,38877.0,38905.0,38986.0,39063.0,39124.0,39192.0,39237.0,39265.0,39284.0,39352.0,39381.0,39426.0,39608.0,39884.0,39959.0,39993.0,40023.0,40060.0,40098.0,40141.0,40180.0,40213.0,40246.0,40295.0,40317.0,40341.0,40366.0,40379.0,40397.0,40418.0,40452.0,40483.0,40495.0,40516.0,40545.0,40588.0,40597.0,40627.0,40647.0,40665.0
5003709,31200.0,31337.0,31365.0,31429.0,31455.0,31508.0,31557.0,31614.0,31692.0,31754.0,31810.0,31877.0,31942.0,31987.0,32027.0,32088.0,32121.0,32177.0,32306.0,32497.0,32510.0,32696.0,32842.0,32900.0,33110.0,33219.0,33289.0,33367.0,33498.0,33581.0,33618.0,33716.0,33760.0,33793.0,33822.0,33889.0,34026.0,34101.0,34185.0,34240.0,34275.0,34312.0,34377.0,34409.0,34454.0,34612.0,34853.0,34919.0,34949.0,34977.0,35011.0,35046.0,35086.0,35122.0,35152.0,35182.0,35228.0,35250.0,35274.0,35299.0,35312.0,35330.0,35351.0,35385.0,35416.0,35428.0,35449.0,35478.0,35521.0,35530.0,35560.0,35580.0,35598.0
5003711,43200.0,43330.0,43353.0,43397.0,43415.0,43452.0,43494.0,43543.0,43609.0,43670.0,43731.0,43804.0,43877.0,43927.0,43971.0,44039.0,44077.0,44142.0,44282.0,44489.0,44504.0,44774.0,44986.0,45070.0,45374.0,45521.0,45592.0,45671.0,45804.0,45889.0,45924.0,46017.0,46100.0,46162.0,46200.0,46263.0,46362.0,46412.0,46468.0,46552.0,46605.0,46637.0,46694.0,46720.0,46770.0,46939.0,47197.0,47267.0,47299.0,47333.0,47375.0,47418.0,47467.0,47511.0,47548.0,47585.0,47640.0,47662.0,47686.0,47711.0,47724.0,47742.0,47763.0,47797.0,47828.0,47840.0,47861.0,47890.0,47933.0,47942.0,47972.0,47992.0,48010.0
5004629,38400.0,38508.0,38542.0,38596.0,38618.0,38664.0,38706.0,38755.0,38821.0,38896.0,38925.0,38961.0,39052.0,39115.0,39171.0,39255.0,39311.0,39407.0,39556.0,39776.0,39792.0,39980.0,40128.0,40186.0,40398.0,40566.0,40654.0,40752.0,40916.0,41021.0,41050.0,41126.0,41213.0,41277.0,41305.0,41386.0,41463.0,41524.0,41592.0,41637.0,41665.0,41684.0,41752.0,41781.0,41826.0,42008.0,42284.0,42359.0,42393.0,42423.0,42460.0,42498.0,42541.0,42580.0,42613.0,42646.0,42695.0,42717.0,42741.0,42766.0,42779.0,42797.0,42818.0,42852.0,42883.0,42895.0,42916.0,42945.0,42988.0,42997.0,43027.0,43047.0,43065.0
5005984,31800.0,31937.0,31965.0,32029.0,32055.0,32108.0,32157.0,32214.0,32292.0,32354.0,32410.0,32477.0,32542.0,32587.0,32627.0,32688.0,32721.0,32777.0,32906.0,33097.0,33110.0,33296.0,33442.0,33500.0,33710.0,33819.0,33889.0,33967.0,34098.0,34181.0,34218.0,34316.0,34360.0,34393.0,34422.0,34489.0,34626.0,34701.0,34785.0,34840.0,34875.0,34912.0,34977.0,35009.0,35054.0,35212.0,35453.0,35519.0,35549.0,35577.0,35611.0,35646.0,35686.0,35722.0,35752.0,35782.0,35828.0,35850.0,35874.0,35899.0,35912.0,35930.0,35951.0,35985.0,36016.0,36028.0,36049.0,36078.0,36121.0,36130.0,36160.0,36180.0,36198.0
