tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P,054_P,055_P,056_P,057_P,058_P,059_P,060_P,061_P,062_P,063_P,064_P,065_P,066_P,067_P,068_P,069_P,070_P,071_P
0,7158.0,7048.0,7159.0,7388.0,7017.0,7018.0,7030.0,7021.0,6111.0,6112.0,6113.0,1898.0,1858.0,1859.0,1860.0,4492.0,1861.0,1862.0,1863.0,1864.0,1865.0,1866.0,1850.0,1867.0,4489.0,4747.0,1845.0,7166.0,1847.0,1696.0,1697.0,1698.0,1699.0,1700.0,1701.0,1702.0,1703.0,1905.0,1906.0,1907.0,1908.0,1909.0,1713.0,1714.0,1715.0,7453.0,1478.0,1479.0,315.0,313.0,335.0,349.0,404.0,747.0,748.0,749.0,750.0,751.0,752.0,753.0,754.0,755.0,756.0,757.0,758.0,759.0,760.0,761.0,762.0,763.0,767.0
5002342,22200.0,22240.0,22307.0,22325.0,22422.0,22470.0,22519.0,22548.0,22602.0,22672.0,22747.0,22773.0,22839.0,22887.0,22942.0,22971.0,23002.0,23040.0,23077.0,23111.0,23154.0,23197.0,23249.0,23283.0,23295.0,23353.0,23732.0,23778.0,23848.0,23908.0,23927.0,23960.0,23986.0,24027.0,24064.0,24089.0,24119.0,24164.0,24241.0,24270.0,24325.0,24393.0,24480.0,24523.0,24606.0,24701.0,24809.0,24882.0,25032.0,25066.0,25169.0,25287.0,25370.0,25462.0,25522.0,25594.0,25649.0,25704.0,25773.0,25807.0,25845.0,25889.0,25943.0,25992.0,26020.0,26091.0,26144.0,26176.0,26203.0,26268.0,26449.0
5002344,34200.0,34241.0,34310.0,34329.0,34428.0,34478.0,34529.0,34558.0,34613.0,34685.0,34762.0,34788.0,34855.0,34908.0,34969.0,35001.0,35035.0,35077.0,35118.0,35155.0,35203.0,35250.0,35308.0,35347.0,35360.0,35423.0,35833.0,35883.0,35948.0,36012.0,36034.0,36074.0,36102.0,36145.0,36186.0,36214.0,36253.0,36312.0,36417.0,36447.0,36505.0,36577.0,36680.0,36730.0,36827.0,36938.0,37156.0,37304.0,37607.0,37676.0,37798.0,37939.0,38043.0,38159.0,38220.0,38294.0,38348.0,38402.0,38469.0,38498.0,38531.0,38570.0,38634.0,38692.0,38727.0,38786.0,38829.0,38855.0,38878.0,38929.0,39132.0
5002346,46800.0,46840.0,46906.0,46924.0,47019.0,47066.0,47114.0,47142.0,47195.0,47264.0,47337.0,47362.0,47427.0,47477.0,47535.0,47565.0,47597.0,47637.0,47676.0,47711.0,47756.0,47801.0,47856.0,47893.0,47907.0,47973.0,48399.0,48450.0,48508.0,48562.0,48586.0,48628.0,48656.0,48700.0,48743.0,48772.0,48808.0,48863.0,48981.0,49008.0,49058.0,49120.0,49220.0,49260.0,49338.0,49427.0,49567.0,49662.0,49857.0,49901.0,50019.0,50155.0,50260.0,50378.0,50438.0,50510.0,50566.0,50621.0,50690.0,50726.0,50767.0,50815.0,50879.0,50938.0,50976.0,51048.0,51102.0,51129.0,51152.0,51206.0,51400.0
5002348,60000.0,60039.0,60105.0,60123.0,60218.0,60265.0,60313.0,60341.0,60394.0,60462.0,60535.0,60560.0,60625.0,60676.0,60734.0,60764.0,60797.0,60837.0,60876.0,60912.0,60958.0,61003.0,61058.0,61094.0,61108.0,61175.0,61613.0,61666.0,61730.0,61787.0,61810.0,61850.0,61876.0,61915.0,61951.0,61976.0,62010.0,62061.0,62184.0,62213.0,62258.0,62315.0,62416.0,62453.0,62523.0,62604.0,62763.0,62871.0,63092.0,63143.0,63292.0,63464.0,63572.0,63693.0,63756.0,63832.0,63892.0,63952.0,64027.0,64104.0,64192.0,64294.0,64370.0,64439.0,64483.0,64558.0,64613.0,64642.0,64667.0,64733.0,64908.0
5002350,73200.0,73235.0,73294.0,73310.0,73394.0,73436.0,73479.0,73504.0,73551.0,73612.0,73677.0,73699.0,73756.0,73796.0,73842.0,73866.0,73892.0,73923.0,73954.0,73982.0,74018.0,74054.0,74097.0,74124.0,74137.0,74199.0,74605.0,74655.0,74714.0,74770.0,74788.0,74821.0,74844.0,74878.0,74909.0,74931.0,74960.0,75005.0,75101.0,75127.0,75167.0,75217.0,75291.0,75324.0,75388.0,75462.0,75555.0,75618.0,75747.0,75776.0,75874.0,75987.0,76068.0,76159.0,76211.0,76273.0,76312.0,76351.0,76399.0,76429.0,76464.0,76504.0,76551.0,76594.0,76623.0,76686.0,76733.0,76758.0,76779.0,76830.0,77014.0
5002461,40800.0,40839.0,40904.0,40922.0,41016.0,41063.0,41111.0,41139.0,41191.0,41259.0,41331.0,41356.0,41417.0,41464.0,41518.0,41546.0,41576.0,41613.0,41649.0,41682.0,41724.0,41766.0,41817.0,41851.0,41865.0,41929.0,42343.0,42392.0,42450.0,42507.0,42530.0,42571.0,42601.0,42646.0,42684.0,42710.0,42747.0,42802.0,42927.0,42959.0,43007.0,43066.0,43165.0,43209.0,43294.0,43392.0,43542.0,43645.0,43854.0,43902.0,44015.0,44145.0,44247.0,44361.0,44428.0,44508.0,44563.0,44618.0,44687.0,44719.0,44756.0,44799.0,44856.0,44908.0,44938.0,45002.0,45050.0,45074.0,45095.0,45144.0,45348.0
5002463,53400.0,53440.0,53506.0,53524.0,53619.0,53666.0,53714.0,53742.0,53795.0,53864.0,53937.0,53962.0,54027.0,54077.0,54135.0,54165.0,54197.0,54237.0,54276.0,54311.0,54356.0,54401.0,54456.0,54493.0,54507.0,54573.0,54999.0,55050.0,55108.0,55162.0,55186.0,55228.0,55256.0,55300.0,55343.0,55372.0,55408.0,55463.0,55581.0,55608.0,55658.0,55720.0,55820.0,55860.0,55938.0,56027.0,56167.0,56262.0,56457.0,56501.0,56619.0,56755.0,56860.0,56978.0,57038.0,57110.0,57166.0,57221.0,57290.0,57326.0,57367.0,57415.0,57479.0,57538.0,57576.0,57648.0,57702.0,57729.0,57752.0,57806.0,58000.0
5002467,79200.0,79232.0,79285.0,79300.0,79377.0,79415.0,79454.0,79477.0,79520.0,79575.0,79634.0,79654.0,79706.0,79743.0,79786.0,79808.0,79832.0,79861.0,79890.0,79916.0,79949.0,79982.0,80022.0,80049.0,80060.0,80112.0,80452.0,80494.0,80546.0,80589.0,80604.0,80632.0,80653.0,80685.0,80711.0,80729.0,80755.0,80795.0,80867.0,80888.0,80917.0,80953.0,81023.0,81053.0,81111.0,81178.0,81264.0,81322.0,81441.0,81468.0,81562.0,81671.0,81744.0,81826.0,81869.0,81920.0,81948.0,81976.0,82011.0,82035.0,82062.0,82093.0,82140.0,82182.0,82208.0,82253.0,82287.0,82308.0,82327.0,82368.0,82512.0
5003101,28200.0,28241.0,28309.0,28328.0,28426.0,28475.0,28525.0,28554.0,28609.0,28680.0,28756.0,28782.0,28848.0,28895.0,28949.0,28977.0,29007.0,29044.0,29081.0,29114.0,29157.0,29199.0,29251.0,29286.0,29300.0,29364.0,29783.0,29834.0,29916.0,29985.0,30014.0,30067.0,30105.0,30164.0,30217.0,30253.0,30300.0,30371.0,30480.0,30518.0,30598.0,30699.0,30911.0,30979.0,31110.0,31260.0,31516.0,31691.0,32048.0,32129.0,32308.0,32514.0,32637.0,32775.0,32847.0,32934.0,32994.0,33054.0,33129.0,33165.0,33206.0,33254.0,33312.0,33364.0,33395.0,33462.0,33512.0,33542.0,33568.0,33638.0,33837.0
