tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P,054_P,055_P,056_P,057_P,058_P,059_P,060_P,061_P,062_P,063_P,064_P,065_P,066_P,067_P,068_P,069_P,070_P,071_P,072_P,073_P,074_P,075_P,076_P,077_P,078_P,079_P
0,7158.0,7048.0,7159.0,7388.0,7017.0,7018.0,7030.0,7021.0,7163.0,1893.0,1894.0,1912.0,1895.0,1896.0,1897.0,6088.0,1898.0,1858.0,1859.0,1860.0,4492.0,1861.0,1862.0,1863.0,1864.0,1865.0,1866.0,1850.0,1867.0,4489.0,4747.0,1882.0,7379.0,4903.0,1883.0,1884.0,1902.0,1903.0,1904.0,1840.0,1841.0,1842.0,7374.0,1845.0,7166.0,1847.0,1696.0,1697.0,1698.0,1699.0,1700.0,1701.0,1702.0,1703.0,1905.0,1906.0,1907.0,1908.0,1909.0,1713.0,1714.0,1715.0,7453.0,1478.0,1479.0,315.0,313.0,335.0,349.0,404.0,747.0,748.0,749.0,750.0,751.0,752.0,753.0,7370.0,7339.0
5003107,67920.0,67961.0,68029.0,68048.0,68146.0,68195.0,68245.0,68274.0,68354.0,68387.0,68460.0,68484.0,68511.0,68538.0,68565.0,68582.0,68635.0,68698.0,68747.0,68803.0,68832.0,68863.0,68901.0,68939.0,68973.0,69017.0,69060.0,69113.0,69147.0,69168.0,69266.0,69409.0,69463.0,69516.0,69567.0,69600.0,69669.0,69718.0,69772.0,69820.0,69864.0,69901.0,69973.0,70113.0,70146.0,70200.0,70248.0,70265.0,70295.0,70328.0,70379.0,70406.0,70425.0,70450.0,70487.0,70569.0,70594.0,70632.0,70680.0,70759.0,70789.0,70847.0,70914.0,70991.0,71044.0,71152.0,71176.0,71266.0,71370.0,71439.0,71516.0,71562.0,71617.0,71651.0,71685.0,71727.0,71761.0,71810.0,71833.0
5003546,24720.0,24757.0,24819.0,24836.0,24925.0,24969.0,25014.0,25040.0,25113.0,25143.0,25210.0,25232.0,25256.0,25280.0,25305.0,25320.0,25368.0,25427.0,25467.0,25512.0,25536.0,25561.0,25592.0,25623.0,25651.0,25687.0,25722.0,25765.0,25793.0,25810.0,25890.0,26006.0,26050.0,26093.0,26135.0,26162.0,26216.0,26270.0,26329.0,26382.0,26425.0,26461.0,26532.0,26670.0,26713.0,26788.0,26842.0,26862.0,26899.0,26927.0,26971.0,27005.0,27029.0,27063.0,27114.0,27202.0,27235.0,27287.0,27353.0,27462.0,27505.0,27588.0,27683.0,27794.0,27870.0,28024.0,28059.0,28161.0,28279.0,28363.0,28456.0,28518.0,28592.0,28645.0,28697.0,28762.0,28818.0,28898.0,28937.0
5003548,36720.0,36759.0,36824.0,36842.0,36935.0,36981.0,37028.0,37056.0,37132.0,37164.0,37234.0,37257.0,37283.0,37308.0,37334.0,37350.0,37400.0,37461.0,37504.0,37553.0,37579.0,37607.0,37641.0,37674.0,37704.0,37743.0,37781.0,37828.0,37858.0,37876.0,37962.0,38088.0,38135.0,38182.0,38227.0,38256.0,38317.0,38379.0,38447.0,38507.0,38557.0,38598.0,38679.0,38836.0,38873.0,38936.0,39011.0,39039.0,39090.0,39122.0,39172.0,39208.0,39232.0,39263.0,39311.0,39399.0,39430.0,39481.0,39544.0,39650.0,39694.0,39779.0,39876.0,40027.0,40130.0,40341.0,40389.0,40490.0,40606.0,40699.0,40802.0,40865.0,40941.0,40995.0,41049.0,41116.0,41172.0,41253.0,41292.0
5003550,49920.0,49960.0,50026.0,50044.0,50140.0,50188.0,50237.0,50265.0,50343.0,50376.0,50448.0,50471.0,50497.0,50523.0,50550.0,50566.0,50618.0,50682.0,50734.0,50794.0,50825.0,50859.0,50900.0,50941.0,50978.0,51025.0,51072.0,51129.0,51166.0,51188.0,51294.0,51448.0,51506.0,51563.0,51618.0,51653.0,51728.0,51792.0,51863.0,51926.0,51980.0,52025.0,52113.0,52284.0,52318.0,52376.0,52431.0,52462.0,52517.0,52546.0,52591.0,52628.0,52653.0,52695.0,52759.0,52888.0,52918.0,52967.0,53028.0,53136.0,53176.0,53253.0,53342.0,53489.0,53590.0,53795.0,53842.0,53955.0,54085.0,54181.0,54287.0,54343.0,54410.0,54460.0,54510.0,54571.0,54627.0,54707.0,54746.0
5003552,62520.0,62554.0,62611.0,62627.0,62709.0,62750.0,62792.0,62816.0,62883.0,62911.0,62972.0,62992.0,63015.0,63037.0,63060.0,63074.0,63118.0,63173.0,63220.0,63274.0,63302.0,63333.0,63370.0,63407.0,63440.0,63483.0,63525.0,63577.0,63610.0,63630.0,63726.0,63866.0,63918.0,63970.0,64020.0,64052.0,64121.0,64187.0,64260.0,64326.0,64374.0,64414.0,64492.0,64642.0,64675.0,64727.0,64783.0,64807.0,64849.0,64881.0,64931.0,64966.0,64990.0,65033.0,65098.0,65207.0,65252.0,65300.0,65359.0,65463.0,65494.0,65554.0,65624.0,65763.0,65858.0,66052.0,66097.0,66335.0,66610.0,66691.0,66781.0,66829.0,66887.0,66959.0,67031.0,67119.0,67150.0,67194.0,67215.0
5003554,75300.0,75333.0,75389.0,75404.0,75484.0,75524.0,75565.0,75589.0,75655.0,75682.0,75742.0,75762.0,75784.0,75806.0,75828.0,75842.0,75885.0,75940.0,75978.0,76021.0,76043.0,76067.0,76097.0,76126.0,76152.0,76186.0,76220.0,76261.0,76287.0,76303.0,76379.0,76490.0,76532.0,76573.0,76613.0,76639.0,76693.0,76733.0,76777.0,76816.0,76854.0,76886.0,76949.0,77070.0,77104.0,77159.0,77200.0,77215.0,77243.0,77260.0,77285.0,77310.0,77328.0,77350.0,77384.0,77445.0,77466.0,77496.0,77534.0,77603.0,77631.0,77685.0,77748.0,77824.0,77876.0,77982.0,78006.0,78095.0,78198.0,78262.0,78334.0,78371.0,78416.0,78441.0,78466.0,78497.0,78562.0,78655.0,78700.0
5005369,23520.0,23557.0,23619.0,23636.0,23725.0,23769.0,23814.0,23840.0,23913.0,23943.0,24010.0,24032.0,24056.0,24080.0,24105.0,24120.0,24168.0,24227.0,24267.0,24312.0,24336.0,24361.0,24392.0,24423.0,24451.0,24487.0,24522.0,24565.0,24593.0,24610.0,24690.0,24806.0,24850.0,24893.0,24935.0,24962.0,25016.0,25070.0,25129.0,25182.0,25225.0,25261.0,25332.0,25470.0,25513.0,25588.0,25642.0,25662.0,25699.0,25727.0,25771.0,25805.0,25829.0,25863.0,25914.0,26002.0,26035.0,26087.0,26153.0,26262.0,26305.0,26388.0,26483.0,26594.0,26670.0,26824.0,26859.0,26961.0,27079.0,27163.0,27256.0,27318.0,27392.0,27445.0,27497.0,27562.0,27618.0,27698.0,27737.0
5005371,34920.0,34960.0,35026.0,35044.0,35140.0,35188.0,35237.0,35265.0,35343.0,35376.0,35448.0,35471.0,35497.0,35523.0,35550.0,35566.0,35618.0,35681.0,35727.0,35780.0,35808.0,35838.0,35874.0,35910.0,35943.0,35985.0,36026.0,36077.0,36110.0,36130.0,36223.0,36360.0,36411.0,36462.0,36511.0,36542.0,36607.0,36674.0,36748.0,36814.0,36870.0,36916.0,37007.0,37183.0,37223.0,37284.0,37338.0,37359.0,37396.0,37419.0,37454.0,37488.0,37511.0,37542.0,37590.0,37699.0,37731.0,37787.0,37856.0,37949.0,37995.0,38083.0,38185.0,38418.0,38577.0,38901.0,38975.0,39083.0,39208.0,39312.0,39427.0,39506.0,39602.0,39657.0,39712.0,39779.0,39819.0,39877.0,39906.0
5005373,48120.0,48160.0,48226.0,48244.0,48340.0,48388.0,48437.0,48465.0,48543.0,48576.0,48648.0,48671.0,48697.0,48723.0,48750.0,48766.0,48818.0,48882.0,48934.0,48994.0,49025.0,49059.0,49100.0,49141.0,49178.0,49225.0,49272.0,49329.0,49366.0,49388.0,49494.0,49648.0,49706.0,49763.0,49818.0,49853.0,49928.0,49992.0,50063.0,50126.0,50180.0,50225.0,50313.0,50484.0,50518.0,50576.0,50631.0,50662.0,50717.0,50746.0,50791.0,50828.0,50853.0,50895.0,50959.0,51088.0,51118.0,51167.0,51228.0,51336.0,51376.0,51453.0,51542.0,51689.0,51790.0,51995.0,52042.0,52155.0,52285.0,52381.0,52487.0,52543.0,52610.0,52660.0,52710.0,52771.0,52827.0,52907.0,52946.0
