tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P
0,6004.0,7.0,11.0,14.0,15.0,834.0,835.0,836.0,837.0,1506.0,1507.0,1508.0,1509.0,1510.0,1511.0,1512.0,1538.0,4548.0,1514.0,980.0,981.0,1576.0,1577.0,1578.0,4364.0,1579.0,1580.0,7237.0,7241.0,7247.0,7243.0,7126.0,7124.0,7343.0,7318.0,4978.0,4979.0,4986.0,7107.0,7102.0,7103.0,7104.0,7105.0,7106.0,6005.0,7072.0
5002775,75600.0,75702.0,75887.0,75948.0,76019.0,76061.0,76093.0,76130.0,76157.0,76254.0,76282.0,76318.0,76361.0,76410.0,76428.0,76494.0,76543.0,76579.0,76647.0,76687.0,76720.0,76793.0,76820.0,76843.0,76902.0,76923.0,76998.0,77030.0,77053.0,77074.0,77114.0,77167.0,77207.0,77259.0,77339.0,77375.0,77424.0,77519.0,77544.0,77559.0,77607.0,77638.0,77663.0,77678.0,77703.0,77745.0
5003871,32400.0,32514.0,32720.0,32766.0,32818.0,32860.0,32892.0,32929.0,32959.0,33066.0,33089.0,33118.0,33157.0,33221.0,33235.0,33285.0,33320.0,33346.0,33394.0,33422.0,33463.0,33553.0,33586.0,33615.0,33687.0,33714.0,33770.0,33806.0,33832.0,33857.0,33903.0,33963.0,34018.0,34068.0,34144.0,34179.0,34228.0,34323.0,34348.0,34363.0,34411.0,34442.0,34467.0,34482.0,34507.0,34549.0
5003873,46800.0,46901.0,47083.0,47104.0,47129.0,47167.0,47197.0,47231.0,47276.0,47439.0,47460.0,47487.0,47521.0,47548.0,47569.0,47645.0,47695.0,47733.0,47803.0,47844.0,47874.0,47940.0,47964.0,47985.0,48038.0,48056.0,48114.0,48144.0,48165.0,48185.0,48223.0,48289.0,48323.0,48362.0,48422.0,48449.0,48498.0,48593.0,48618.0,48633.0,48681.0,48712.0,48737.0,48752.0,48777.0,48819.0
5003878,75000.0,75089.0,75249.0,75284.0,75325.0,75355.0,75378.0,75405.0,75428.0,75510.0,75529.0,75554.0,75588.0,75622.0,75635.0,75681.0,75724.0,75756.0,75815.0,75850.0,75881.0,75951.0,75977.0,75999.0,76055.0,76075.0,76140.0,76171.0,76193.0,76214.0,76253.0,76298.0,76334.0,76376.0,76441.0,76470.0,76519.0,76614.0,76639.0,76654.0,76702.0,76733.0,76758.0,76773.0,76798.0,76840.0
5003880,81300.0,81389.0,81549.0,81584.0,81625.0,81655.0,81678.0,81705.0,81728.0,81810.0,81829.0,81854.0,81888.0,81922.0,81935.0,81981.0,82024.0,82056.0,82115.0,82150.0,82181.0,82251.0,82277.0,82299.0,82355.0,82375.0,82440.0,82471.0,82493.0,82514.0,82553.0,82598.0,82634.0,82676.0,82741.0,82770.0,82819.0,82914.0,82939.0,82954.0,83002.0,83033.0,83058.0,83073.0,83098.0,83140.0
5004310,28800.0,29189.0,29893.0,29941.0,29997.0,30030.0,30055.0,30084.0,30103.0,30172.0,30189.0,30211.0,30253.0,30291.0,30304.0,30349.0,30385.0,30412.0,30462.0,30492.0,30521.0,30584.0,30607.0,30627.0,30678.0,30697.0,30758.0,30790.0,30813.0,30834.0,30874.0,30936.0,30992.0,31035.0,31101.0,31130.0,31179.0,31274.0,31299.0,31314.0,31362.0,31393.0,31418.0,31433.0,31458.0,31500.0
5004313,42000.0,42154.0,42431.0,42469.0,42512.0,42546.0,42573.0,42603.0,42627.0,42712.0,42737.0,42769.0,42834.0,42880.0,42907.0,43005.0,43062.0,43104.0,43183.0,43230.0,43267.0,43349.0,43379.0,43405.0,43471.0,43495.0,43560.0,43601.0,43630.0,43658.0,43710.0,43759.0,43800.0,43846.0,43916.0,43948.0,43997.0,44092.0,44117.0,44132.0,44180.0,44211.0,44236.0,44251.0,44276.0,44318.0
5004316,58800.0,58911.0,59113.0,59161.0,59216.0,59247.0,59271.0,59298.0,59322.0,59408.0,59433.0,59464.0,59507.0,59563.0,59579.0,59634.0,59704.0,59756.0,59853.0,59910.0,59948.0,60032.0,60063.0,60090.0,60157.0,60180.0,60242.0,60275.0,60299.0,60322.0,60365.0,60422.0,60459.0,60510.0,60587.0,60622.0,60671.0,60766.0,60791.0,60806.0,60854.0,60885.0,60910.0,60925.0,60950.0,60992.0
5008477,39600.0,39754.0,40031.0,40069.0,40112.0,40146.0,40173.0,40203.0,40227.0,40312.0,40337.0,40369.0,40434.0,40480.0,40507.0,40605.0,40662.0,40704.0,40783.0,40830.0,40867.0,40949.0,40979.0,41005.0,41071.0,41095.0,41160.0,41201.0,41230.0,41258.0,41310.0,41359.0,41400.0,41446.0,41516.0,41548.0,41597.0,41692.0,41717.0,41732.0,41780.0,41811.0,41836.0,41851.0,41876.0,41918.0
5008479,54000.0,54111.0,54313.0,54361.0,54416.0,54447.0,54471.0,54498.0,54522.0,54608.0,54633.0,54664.0,54707.0,54763.0,54779.0,54834.0,54904.0,54956.0,55053.0,55110.0,55148.0,55232.0,55263.0,55290.0,55357.0,55380.0,55442.0,55475.0,55499.0,55522.0,55565.0,55622.0,55659.0,55710.0,55787.0,55822.0,55871.0,55966.0,55991.0,56006.0,56054.0,56085.0,56110.0,56125.0,56150.0,56192.0
5008482,72300.0,72390.0,72554.0,72582.0,72615.0,72648.0,72674.0,72703.0,72718.0,72770.0,72786.0,72807.0,72848.0,72881.0,72897.0,72952.0,72998.0,73032.0,73095.0,73132.0,73157.0,73213.0,73234.0,73252.0,73297.0,73312.0,73371.0,73399.0,73419.0,73438.0,73473.0,73516.0,73548.0,73587.0,73647.0,73675.0,73724.0,73819.0,73844.0,73859.0,73907.0,73938.0,73963.0,73978.0,74003.0,74045.0
5016122,47100.0,47215.0,47422.0,47464.0,47513.0,47548.0,47575.0,47605.0,47628.0,47711.0,47735.0,47766.0,47817.0,47877.0,47893.0,47952.0,48013.0,48059.0,48144.0,48195.0,48224.0,48288.0,48312.0,48333.0,48385.0,48403.0,48472.0,48505.0,48528.0,48550.0,48592.0,48643.0,48683.0,48731.0,48804.0,48837.0,48886.0,48981.0,49006.0,49021.0,49069.0,49100.0,49125.0,49140.0,49165.0,49207.0
