tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P,054_P,055_P,056_P,057_P,058_P,059_P,060_P,061_P,062_P,063_P,064_P,065_P,066_P,067_P,068_P,069_P,070_P,071_P,072_P,073_P,074_P,075_P,076_P,077_P,078_P,079_P,080_P,081_P
0,7132.0,1558.0,2957.0,2958.0,4938.0,1549.0,1523.0,1524.0,1525.0,1526.0,6080.0,1585.0,1586.0,1587.0,4539.0,1606.0,1607.0,1608.0,1609.0,1610.0,7471.0,1533.0,1534.0,1535.0,1536.0,1537.0,186.0,838.0,839.0,840.0,841.0,49.0,51.0,52.0,261.0,270.0,335.0,4521.0,1935.0,1937.0,1938.0,1939.0,1940.0,1941.0,1942.0,1943.0,1944.0,1945.0,1946.0,1947.0,2642.0,2643.0,2644.0,2709.0,2710.0,2711.0,2712.0,2655.0,2656.0,2668.0,2672.0,2673.0,2206.0,4798.0,2674.0,2675.0,2124.0,2125.0,2126.0,2127.0,2128.0,2129.0,4797.0,7473.0,2681.0,4691.0,2682.0,4796.0,4690.0,4411.0,4715.0
5002699,26400.0,26491.0,26542.0,26568.0,26619.0,26829.0,26897.0,26974.0,27013.0,27061.0,27106.0,27155.0,27201.0,27267.0,27308.0,27383.0,27445.0,27500.0,27562.0,27607.0,27650.0,27738.0,27822.0,27877.0,27938.0,28053.0,28196.0,28231.0,28262.0,28314.0,28421.0,28517.0,28615.0,28668.0,28780.0,28937.0,29172.0,29327.0,29582.0,29685.0,29762.0,29843.0,29911.0,29957.0,30033.0,30058.0,30116.0,30182.0,30256.0,30275.0,30375.0,30421.0,30483.0,30527.0,30573.0,30597.0,30647.0,30737.0,30826.0,30882.0,30927.0,30978.0,31029.0,31062.0,31136.0,31188.0,31218.0,31239.0,31265.0,31303.0,31334.0,31395.0,31464.0,31510.0,31551.0,31579.0,31611.0,31639.0,31704.0,31721.0,31831.0
5002702,62400.0,62510.0,62566.0,62595.0,62651.0,62876.0,62928.0,62987.0,63017.0,63054.0,63088.0,63125.0,63158.0,63205.0,63234.0,63287.0,63331.0,63370.0,63415.0,63451.0,63486.0,63557.0,63626.0,63673.0,63717.0,63795.0,63892.0,63931.0,63966.0,64003.0,64079.0,64146.0,64239.0,64289.0,64409.0,64574.0,64823.0,64986.0,65255.0,65351.0,65423.0,65516.0,65582.0,65626.0,65700.0,65736.0,65816.0,65906.0,66006.0,66031.0,66122.0,66164.0,66220.0,66267.0,66316.0,66338.0,66383.0,66465.0,66565.0,66622.0,66661.0,66705.0,66748.0,66781.0,66855.0,66906.0,66935.0,66956.0,66982.0,67020.0,67051.0,67113.0,67183.0,67229.0,67270.0,67298.0,67331.0,67359.0,67424.0,67442.0,67559.0
5002703,73800.0,73904.0,73951.0,73975.0,74022.0,74183.0,74226.0,74275.0,74300.0,74331.0,74360.0,74391.0,74423.0,74469.0,74498.0,74550.0,74594.0,74633.0,74677.0,74712.0,74746.0,74815.0,74882.0,74918.0,74952.0,75005.0,75071.0,75103.0,75132.0,75166.0,75236.0,75299.0,75368.0,75406.0,75499.0,75647.0,75853.0,75988.0,76211.0,76289.0,76347.0,76429.0,76483.0,76519.0,76580.0,76619.0,76684.0,76758.0,76841.0,76862.0,76954.0,76996.0,77048.0,77098.0,77151.0,77172.0,77216.0,77296.0,77385.0,77447.0,77483.0,77524.0,77566.0,77600.0,77675.0,77727.0,77756.0,77777.0,77803.0,77840.0,77870.0,77931.0,77999.0,78044.0,78084.0,78112.0,78144.0,78171.0,78235.0,78251.0,78360.0
5002817,33600.0,33712.0,33770.0,33800.0,33858.0,34038.0,34095.0,34160.0,34193.0,34234.0,34272.0,34315.0,34353.0,34408.0,34442.0,34504.0,34556.0,34602.0,34655.0,34689.0,34722.0,34789.0,34854.0,34901.0,34952.0,35020.0,35105.0,35134.0,35160.0,35215.0,35327.0,35426.0,35535.0,35595.0,35712.0,35861.0,36114.0,36280.0,36554.0,36641.0,36707.0,36797.0,36869.0,36917.0,36998.0,37031.0,37091.0,37158.0,37233.0,37252.0,37349.0,37394.0,37451.0,37494.0,37540.0,37563.0,37610.0,37695.0,37801.0,37861.0,37907.0,37959.0,38012.0,38046.0,38122.0,38175.0,38205.0,38228.0,38256.0,38296.0,38329.0,38395.0,38469.0,38518.0,38562.0,38592.0,38627.0,38657.0,38728.0,38744.0,38849.0
5002819,54600.0,54715.0,54783.0,54818.0,54885.0,55108.0,55168.0,55236.0,55270.0,55312.0,55351.0,55395.0,55432.0,55485.0,55518.0,55578.0,55627.0,55671.0,55720.0,55758.0,55795.0,55871.0,55943.0,55995.0,56050.0,56140.0,56253.0,56290.0,56323.0,56366.0,56453.0,56531.0,56644.0,56705.0,56863.0,57044.0,57297.0,57463.0,57736.0,57839.0,57916.0,58011.0,58093.0,58147.0,58238.0,58275.0,58408.0,58558.0,58726.0,58767.0,58879.0,58931.0,58990.0,59043.0,59099.0,59127.0,59185.0,59291.0,59449.0,59576.0,59661.0,59756.0,59852.0,59893.0,59984.0,60047.0,60083.0,60110.0,60143.0,60191.0,60230.0,60308.0,60396.0,60454.0,60506.0,60541.0,60582.0,60617.0,60699.0,60722.0,60876.0
5002977,24000.0,24078.0,24128.0,24153.0,24203.0,24366.0,24415.0,24471.0,24499.0,24534.0,24567.0,24603.0,24644.0,24703.0,24740.0,24807.0,24862.0,24911.0,24967.0,25005.0,25041.0,25115.0,25186.0,25231.0,25289.0,25354.0,25435.0,25467.0,25496.0,25540.0,25629.0,25709.0,25786.0,25828.0,25925.0,26048.0,26215.0,26325.0,26506.0,26592.0,26657.0,26721.0,26789.0,26835.0,26911.0,26940.0,27001.0,27070.0,27147.0,27165.0,27274.0,27324.0,27385.0,27429.0,27476.0,27498.0,27543.0,27625.0,27701.0,27743.0,27784.0,27830.0,27876.0,27907.0,27976.0,28024.0,28050.0,28072.0,28099.0,28138.0,28170.0,28234.0,28306.0,28354.0,28397.0,28426.0,28460.0,28489.0,28558.0,28574.0,28682.0
5002979,59400.0,59523.0,59586.0,59618.0,59680.0,59991.0,60044.0,60105.0,60136.0,60174.0,60209.0,60249.0,60285.0,60336.0,60368.0,60426.0,60474.0,60517.0,60567.0,60607.0,60645.0,60723.0,60798.0,60855.0,60907.0,60990.0,61094.0,61134.0,61171.0,61213.0,61298.0,61374.0,61485.0,61546.0,61738.0,61934.0,62205.0,62383.0,62677.0,62775.0,62849.0,62953.0,63034.0,63088.0,63177.0,63211.0,63301.0,63403.0,63516.0,63544.0,63647.0,63695.0,63755.0,63804.0,63855.0,63883.0,63941.0,64048.0,64169.0,64245.0,64302.0,64366.0,64430.0,64469.0,64556.0,64616.0,64651.0,64677.0,64710.0,64757.0,64795.0,64871.0,64957.0,65014.0,65065.0,65100.0,65140.0,65175.0,65255.0,65274.0,65403.0
5002999,24000.0,24041.0,24079.0,24098.0,24135.0,24282.0,24326.0,24376.0,24401.0,24432.0,24461.0,24495.0,24523.0,24563.0,24588.0,24633.0,24671.0,24705.0,24742.0,24770.0,24797.0,24852.0,24905.0,24938.0,24968.0,25022.0,25090.0,25126.0,25158.0,25179.0,25222.0,25260.0,25320.0,25353.0,25429.0,25521.0,25663.0,25756.0,25909.0,25974.0,26022.0,26047.0,26079.0,26101.0,26137.0,26159.0,26208.0,26264.0,26326.0,26342.0,26408.0,26439.0,26490.0,26517.0,26545.0,26557.0,26582.0,26628.0,26688.0,26748.0,26772.0,26799.0,26826.0,26852.0,26909.0,26949.0,26971.0,26984.0,27000.0,27024.0,27043.0,27082.0,27125.0,27154.0,27180.0,27198.0,27218.0,27235.0,27276.0,27290.0,27383.0
5003001,36600.0,36692.0,36746.0,36774.0,36828.0,37016.0,37069.0,37130.0,37161.0,37199.0,37234.0,37274.0,37318.0,37382.0,37422.0,37494.0,37554.0,37607.0,37667.0,37700.0,37731.0,37795.0,37857.0,37907.0,37969.0,38019.0,38081.0,38123.0,38162.0,38207.0,38298.0,38379.0,38488.0,38548.0,38733.0,38923.0,39111.0,39234.0,39438.0,39521.0,39583.0,39685.0,39748.0,39790.0,39860.0,39883.0,39941.0,40007.0,40081.0,40100.0,40174.0,40208.0,40262.0,40309.0,40359.0,40384.0,40435.0,40526.0,40664.0,40738.0,40784.0,40836.0,40889.0,40923.0,40999.0,41052.0,41081.0,41105.0,41135.0,41177.0,41212.0,41281.0,41359.0,41410.0,41456.0,41487.0,41523.0,41554.0,41627.0,41643.0,41752.0
