tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P,054_P,055_P,056_P,057_P,058_P,059_P,060_P,061_P,062_P,063_P,064_P,065_P,066_P,067_P,068_P,069_P,070_P,071_P,072_P,073_P,074_P,075_P,076_P,077_P,078_P,079_P,080_P,081_P,082_P,083_P
0,4795.0,4688.0,4689.0,4410.0,2678.0,2679.0,2680.0,2676.0,2118.0,2119.0,2120.0,2121.0,2123.0,2685.0,2686.0,7510.0,4799.0,2205.0,2687.0,2688.0,2689.0,2696.0,2697.0,2713.0,2714.0,2715.0,2716.0,2718.0,2719.0,1989.0,1990.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2001.0,2002.0,1358.0,319.0,279.0,7.0,11.0,14.0,15.0,834.0,835.0,836.0,837.0,1506.0,1507.0,1508.0,1509.0,1510.0,1511.0,1592.0,1593.0,1594.0,1595.0,1596.0,4363.0,1598.0,1597.0,1599.0,1573.0,1574.0,1575.0,4583.0,1518.0,1519.0,1520.0,1521.0,4546.0,1559.0,987.0,4937.0,1547.0,1548.0,1280.0,6348.0
5002336,42000.0,42163.0,42204.0,42239.0,42265.0,42294.0,42333.0,42381.0,42435.0,42459.0,42530.0,42576.0,42631.0,42668.0,42738.0,42779.0,42844.0,42867.0,42922.0,42968.0,43018.0,43089.0,43217.0,43290.0,43350.0,43389.0,43445.0,43485.0,43551.0,43664.0,43736.0,43826.0,43904.0,43951.0,44006.0,44066.0,44103.0,44197.0,44276.0,44333.0,44463.0,44647.0,44807.0,45002.0,45189.0,45330.0,45386.0,45451.0,45494.0,45527.0,45564.0,45592.0,45695.0,45728.0,45770.0,45839.0,45904.0,45926.0,45961.0,46014.0,46051.0,46073.0,46128.0,46168.0,46202.0,46237.0,46259.0,46319.0,46347.0,46373.0,46399.0,46441.0,46474.0,46503.0,46573.0,46616.0,46644.0,46833.0,46892.0,46934.0,46951.0,47022.0,47114.0
5002337,56400.0,56573.0,56611.0,56644.0,56668.0,56695.0,56731.0,56775.0,56823.0,56847.0,56918.0,56965.0,57021.0,57059.0,57130.0,57171.0,57237.0,57260.0,57308.0,57349.0,57394.0,57468.0,57600.0,57656.0,57702.0,57733.0,57781.0,57815.0,57885.0,57986.0,58050.0,58130.0,58216.0,58264.0,58320.0,58397.0,58444.0,58546.0,58632.0,58694.0,58826.0,59051.0,59248.0,59488.0,59856.0,60008.0,60075.0,60151.0,60197.0,60232.0,60272.0,60300.0,60402.0,60435.0,60477.0,60536.0,60589.0,60613.0,60651.0,60710.0,60749.0,60772.0,60832.0,60875.0,60912.0,60950.0,60973.0,61039.0,61070.0,61099.0,61128.0,61174.0,61211.0,61242.0,61318.0,61365.0,61395.0,61567.0,61626.0,61668.0,61685.0,61757.0,61824.0
5002339,70200.0,70368.0,70400.0,70427.0,70447.0,70469.0,70499.0,70536.0,70577.0,70600.0,70668.0,70713.0,70766.0,70802.0,70869.0,70908.0,70971.0,70994.0,71047.0,71093.0,71142.0,71209.0,71292.0,71342.0,71383.0,71410.0,71463.0,71500.0,71568.0,71659.0,71717.0,71788.0,71880.0,71925.0,71979.0,72067.0,72120.0,72202.0,72271.0,72321.0,72452.0,72677.0,72874.0,73114.0,73247.0,73378.0,73412.0,73452.0,73488.0,73516.0,73547.0,73569.0,73650.0,73669.0,73694.0,73735.0,73782.0,73804.0,73838.0,73889.0,73924.0,73945.0,73999.0,74038.0,74071.0,74105.0,74126.0,74183.0,74210.0,74235.0,74260.0,74300.0,74331.0,74358.0,74424.0,74464.0,74489.0,74632.0,74676.0,74708.0,74721.0,74774.0,74823.0
5002341,81600.0,81764.0,81796.0,81824.0,81844.0,81867.0,81897.0,81934.0,81976.0,81996.0,82055.0,82094.0,82140.0,82171.0,82229.0,82263.0,82317.0,82336.0,82371.0,82401.0,82433.0,82482.0,82550.0,82597.0,82635.0,82660.0,82704.0,82734.0,82795.0,82867.0,82913.0,82970.0,83039.0,83087.0,83145.0,83199.0,83232.0,83296.0,83350.0,83390.0,83491.0,83733.0,83944.0,84201.0,84382.0,84486.0,84545.0,84612.0,84650.0,84680.0,84714.0,84740.0,84836.0,84861.0,84892.0,84938.0,84983.0,85004.0,85036.0,85085.0,85119.0,85139.0,85191.0,85228.0,85260.0,85293.0,85314.0,85370.0,85396.0,85420.0,85444.0,85483.0,85514.0,85540.0,85604.0,85643.0,85670.0,85808.0,85858.0,85894.0,85909.0,85969.0,86012.0
5002700,34200.0,34367.0,34406.0,34440.0,34465.0,34493.0,34530.0,34575.0,34626.0,34651.0,34724.0,34772.0,34829.0,34868.0,34940.0,34982.0,35050.0,35073.0,35126.0,35171.0,35220.0,35296.0,35413.0,35488.0,35549.0,35590.0,35649.0,35690.0,35771.0,35881.0,35952.0,36039.0,36121.0,36194.0,36281.0,36353.0,36397.0,36515.0,36614.0,36686.0,36859.0,37064.0,37243.0,37462.0,37619.0,37758.0,37817.0,37884.0,37926.0,37958.0,37995.0,38023.0,38126.0,38156.0,38194.0,38253.0,38303.0,38322.0,38351.0,38396.0,38431.0,38452.0,38505.0,38543.0,38575.0,38609.0,38629.0,38689.0,38717.0,38743.0,38769.0,38811.0,38844.0,38873.0,38943.0,38986.0,39014.0,39196.0,39252.0,39292.0,39308.0,39375.0,39446.0
5002701,47880.0,48046.0,48085.0,48119.0,48144.0,48172.0,48209.0,48254.0,48305.0,48329.0,48399.0,48445.0,48500.0,48537.0,48607.0,48648.0,48713.0,48736.0,48789.0,48834.0,48883.0,48963.0,49106.0,49183.0,49246.0,49288.0,49342.0,49380.0,49454.0,49571.0,49646.0,49738.0,49812.0,49870.0,49938.0,50014.0,50060.0,50158.0,50240.0,50299.0,50421.0,50639.0,50829.0,51060.0,51264.0,51405.0,51469.0,51542.0,51588.0,51623.0,51663.0,51694.0,51806.0,51844.0,51893.0,51955.0,52023.0,52048.0,52087.0,52146.0,52186.0,52210.0,52271.0,52315.0,52353.0,52392.0,52416.0,52484.0,52516.0,52546.0,52576.0,52624.0,52662.0,52694.0,52773.0,52821.0,52851.0,53100.0,53158.0,53200.0,53217.0,53287.0,53359.0
5002818,39960.0,40107.0,40145.0,40178.0,40202.0,40229.0,40265.0,40309.0,40359.0,40383.0,40452.0,40497.0,40551.0,40587.0,40655.0,40695.0,40759.0,40782.0,40838.0,40885.0,40936.0,41011.0,41125.0,41196.0,41254.0,41292.0,41347.0,41386.0,41453.0,41565.0,41637.0,41725.0,41795.0,41855.0,41927.0,42000.0,42044.0,42144.0,42228.0,42290.0,42426.0,42638.0,42823.0,43048.0,43221.0,43355.0,43420.0,43495.0,43538.0,43571.0,43608.0,43637.0,43743.0,43778.0,43823.0,43891.0,43946.0,43970.0,44007.0,44064.0,44099.0,44120.0,44173.0,44211.0,44243.0,44277.0,44297.0,44361.0,44391.0,44419.0,44447.0,44492.0,44527.0,44557.0,44631.0,44676.0,44706.0,44903.0,44964.0,45007.0,45025.0,45097.0,45173.0
5002820,62100.0,62295.0,62336.0,62371.0,62397.0,62426.0,62464.0,62511.0,62562.0,62586.0,62656.0,62702.0,62757.0,62794.0,62863.0,62903.0,62968.0,62989.0,63039.0,63081.0,63127.0,63202.0,63309.0,63382.0,63442.0,63481.0,63534.0,63571.0,63654.0,63780.0,63860.0,63960.0,64024.0,64078.0,64143.0,64221.0,64268.0,64378.0,64471.0,64538.0,64661.0,64884.0,65078.0,65315.0,65504.0,65649.0,65732.0,65828.0,65886.0,65931.0,65982.0,66037.0,66235.0,66268.0,66310.0,66368.0,66433.0,66458.0,66497.0,66558.0,66598.0,66622.0,66682.0,66725.0,66762.0,66800.0,66824.0,66891.0,66922.0,66951.0,66980.0,67027.0,67064.0,67096.0,67173.0,67220.0,67252.0,67455.0,67505.0,67541.0,67556.0,67616.0,67690.0
5002978,30000.0,30153.0,30196.0,30233.0,30260.0,30290.0,30331.0,30381.0,30436.0,30465.0,30551.0,30607.0,30674.0,30719.0,30804.0,30854.0,30933.0,30961.0,31016.0,31062.0,31112.0,31197.0,31317.0,31423.0,31509.0,31566.0,31634.0,31681.0,31769.0,31895.0,31976.0,32076.0,32152.0,32234.0,32332.0,32410.0,32458.0,32567.0,32659.0,32726.0,32857.0,33049.0,33217.0,33421.0,33591.0,33719.0,33786.0,33863.0,33908.0,33943.0,33982.0,34017.0,34142.0,34172.0,34211.0,34270.0,34327.0,34351.0,34388.0,34446.0,34482.0,34503.0,34558.0,34597.0,34631.0,34666.0,34687.0,34748.0,34776.0,34802.0,34829.0,34872.0,34906.0,34935.0,35005.0,35048.0,35076.0,35260.0,35320.0,35363.0,35381.0,35451.0,35514.0
