tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P
0,288.0,1171.0,1172.0,1173.0,1174.0,1175.0,15.0,17.0,18.0,19.0,21.0,7602.0,85.0,203.0,204.0,205.0,1620.0,220.0,1622.0,1623.0,1624.0,1625.0,1626.0,1627.0,1628.0,1629.0,1630.0,3670.0,3671.0,3672.0,3674.0,3675.0,3676.0,5073.0,5074.0,6054.0,4330.0,3679.0,5075.0,5076.0,3682.0,3864.0,3865.0,7133.0,7134.0,3867.0,7135.0,7136.0,3874.0
5008828,41100.0,41142.0,41174.0,41219.0,41277.0,41390.0,41474.0,41587.0,41647.0,41672.0,41731.0,41771.0,41823.0,41885.0,41962.0,42002.0,42057.0,42202.0,42272.0,42329.0,42435.0,42544.0,42584.0,42634.0,42666.0,42691.0,42789.0,42828.0,42895.0,42920.0,43003.0,43018.0,43075.0,43125.0,43250.0,43295.0,43341.0,43467.0,43505.0,43552.0,43579.0,43610.0,43642.0,43675.0,43771.0,43807.0,43999.0,44069.0,44120.0
5009353,64200.0,64241.0,64272.0,64317.0,64375.0,64468.0,64537.0,64581.0,64623.0,64641.0,64682.0,64709.0,64744.0,64786.0,64830.0,64853.0,64882.0,64957.0,64982.0,65002.0,65071.0,65156.0,65180.0,65211.0,65244.0,65264.0,65351.0,65385.0,65445.0,65465.0,65540.0,65565.0,65622.0,65675.0,65787.0,65827.0,65868.0,65981.0,66033.0,66097.0,66133.0,66155.0,66177.0,66201.0,66269.0,66295.0,66456.0,66515.0,66557.0
5010053,41400.0,41449.0,41487.0,41541.0,41609.0,41735.0,41829.0,41911.0,41958.0,41978.0,42023.0,42051.0,42087.0,42130.0,42177.0,42202.0,42247.0,42364.0,42425.0,42475.0,42549.0,42615.0,42663.0,42723.0,42761.0,42813.0,42909.0,42947.0,43014.0,43031.0,43099.0,43120.0,43177.0,43225.0,43402.0,43465.0,43530.0,43707.0,43750.0,43803.0,43832.0,43855.0,43879.0,43904.0,43975.0,44002.0,44183.0,44249.0,44297.0
5010063,83700.0,83757.0,83800.0,83862.0,83940.0,84006.0,84055.0,84099.0,84158.0,84183.0,84241.0,84265.0,84297.0,84335.0,84376.0,84398.0,84427.0,84505.0,84535.0,84559.0,84605.0,84659.0,84693.0,84735.0,84768.0,84794.0,84883.0,84918.0,84981.0,85004.0,85075.0,85103.0,85149.0,85196.0,85286.0,85318.0,85351.0,85441.0,85494.0,85560.0,85598.0,85624.0,85651.0,85679.0,85760.0,85792.0,85982.0,86051.0,86102.0
5011347,59100.0,59154.0,59195.0,59254.0,59330.0,59420.0,59486.0,59550.0,59626.0,59658.0,59731.0,59772.0,59825.0,59888.0,59958.0,59995.0,60034.0,60136.0,60190.0,60235.0,60322.0,60401.0,60469.0,60554.0,60593.0,60618.0,60727.0,60770.0,60845.0,60868.0,60943.0,60970.0,61059.0,61117.0,61242.0,61286.0,61332.0,61457.0,61500.0,61553.0,61582.0,61610.0,61638.0,61668.0,61754.0,61787.0,61947.0,62005.0,62047.0
5013077,83400.0,83441.0,83472.0,83517.0,83575.0,83668.0,83737.0,83781.0,83823.0,83841.0,83882.0,83909.0,83944.0,83986.0,84030.0,84053.0,84082.0,84157.0,84182.0,84202.0,84271.0,84356.0,84380.0,84411.0,84444.0,84464.0,84551.0,84585.0,84645.0,84665.0,84740.0,84765.0,84822.0,84875.0,84987.0,85027.0,85068.0,85181.0,85233.0,85297.0,85333.0,85355.0,85377.0,85401.0,85469.0,85495.0,85656.0,85715.0,85757.0
5014517,57300.0,57341.0,57372.0,57417.0,57475.0,57568.0,57637.0,57681.0,57723.0,57741.0,57782.0,57809.0,57844.0,57886.0,57930.0,57953.0,57982.0,58057.0,58082.0,58102.0,58171.0,58256.0,58280.0,58311.0,58344.0,58364.0,58451.0,58485.0,58545.0,58565.0,58640.0,58665.0,58722.0,58775.0,58887.0,58927.0,58968.0,59081.0,59133.0,59197.0,59233.0,59255.0,59277.0,59301.0,59369.0,59395.0,59556.0,59615.0,59657.0
5017025,66600.0,66648.0,66685.0,66738.0,66805.0,66872.0,66921.0,66962.0,66989.0,67000.0,67026.0,67049.0,67080.0,67116.0,67157.0,67178.0,67216.0,67317.0,67356.0,67388.0,67449.0,67520.0,67557.0,67604.0,67640.0,67662.0,67731.0,67758.0,67806.0,67825.0,67905.0,67930.0,67969.0,68012.0,68116.0,68153.0,68191.0,68296.0,68329.0,68370.0,68394.0,68416.0,68438.0,68461.0,68528.0,68554.0,68756.0,68830.0,68883.0
5017317,66600.0,66654.0,66695.0,66754.0,66830.0,66920.0,66986.0,67050.0,67126.0,67158.0,67231.0,67272.0,67325.0,67388.0,67458.0,67495.0,67534.0,67636.0,67690.0,67735.0,67822.0,67901.0,67969.0,68054.0,68093.0,68118.0,68227.0,68270.0,68345.0,68368.0,68443.0,68470.0,68559.0,68617.0,68742.0,68786.0,68832.0,68957.0,69000.0,69053.0,69082.0,69110.0,69138.0,69168.0,69254.0,69287.0,69447.0,69505.0,69547.0
