tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P
0,7144.0,3881.0,5096.0,7145.0,3884.0,3686.0,5077.0,5078.0,3689.0,7594.0,3690.0,5079.0,3694.0,3695.0,3696.0,3697.0,3698.0,3699.0,3885.0,1631.0,1632.0,5053.0,1633.0,1634.0,1635.0,1636.0,1637.0,1638.0,1639.0,1640.0,231.0,1641.0,1642.0,213.0,214.0,4432.0,119.0,44.0,7603.0,45.0,46.0,47.0,48.0,49.0,51.0,52.0,277.0,288.0
5005787,27000.0,27205.0,27224.0,27236.0,27350.0,27430.0,27471.0,27521.0,27578.0,27611.0,27634.0,27791.0,27952.0,27990.0,28059.0,28104.0,28135.0,28149.0,28278.0,28325.0,28337.0,28358.0,28378.0,28429.0,28436.0,28491.0,28556.0,28608.0,28703.0,28826.0,28886.0,28970.0,29023.0,29077.0,29113.0,29149.0,29188.0,29222.0,29246.0,29274.0,29333.0,29403.0,29444.0,29503.0,29575.0,29614.0,29803.0,29972.0
5010050,27000.0,27225.0,27247.0,27260.0,27388.0,27450.0,27481.0,27519.0,27563.0,27573.0,27589.0,27696.0,27806.0,27833.0,27881.0,27913.0,27938.0,27951.0,28089.0,28143.0,28157.0,28181.0,28203.0,28260.0,28267.0,28308.0,28426.0,28490.0,28609.0,28669.0,28726.0,28839.0,28910.0,28983.0,29039.0,29096.0,29156.0,29215.0,29257.0,29307.0,29398.0,29506.0,29578.0,29682.0,29764.0,29809.0,30025.0,30150.0
5010054,45900.0,46111.0,46126.0,46135.0,46227.0,46316.0,46361.0,46416.0,46479.0,46501.0,46524.0,46677.0,46832.0,46878.0,46961.0,47015.0,47040.0,47050.0,47193.0,47241.0,47254.0,47275.0,47295.0,47345.0,47356.0,47402.0,47484.0,47545.0,47659.0,47742.0,47812.0,47895.0,47947.0,48000.0,48037.0,48074.0,48114.0,48154.0,48183.0,48216.0,48275.0,48345.0,48383.0,48437.0,48508.0,48547.0,48736.0,48903.0
5011348,63600.0,63790.0,63808.0,63819.0,63927.0,64018.0,64064.0,64121.0,64185.0,64215.0,64239.0,64399.0,64563.0,64607.0,64688.0,64741.0,64774.0,64789.0,64915.0,64973.0,64988.0,65014.0,65038.0,65101.0,65113.0,65169.0,65250.0,65297.0,65383.0,65454.0,65530.0,65620.0,65677.0,65735.0,65779.0,65824.0,65873.0,65910.0,65937.0,65969.0,66011.0,66060.0,66109.0,66179.0,66260.0,66304.0,66520.0,66657.0
5017318,71100.0,71298.0,71318.0,71330.0,71451.0,71515.0,71547.0,71586.0,71631.0,71649.0,71663.0,71758.0,71856.0,71882.0,71929.0,71960.0,71985.0,71994.0,72095.0,72139.0,72151.0,72170.0,72189.0,72236.0,72242.0,72283.0,72344.0,72382.0,72451.0,72517.0,72573.0,72639.0,72681.0,72723.0,72754.0,72786.0,72820.0,72966.0,73071.0,73195.0,73265.0,73349.0,73384.0,73434.0,73486.0,73514.0,73653.0,73837.0
5083669,27000.0,27216.0,27237.0,27250.0,27373.0,27432.0,27462.0,27499.0,27541.0,27551.0,27566.0,27669.0,27775.0,27801.0,27848.0,27878.0,27902.0,27915.0,28048.0,28099.0,28113.0,28136.0,28158.0,28212.0,28219.0,28258.0,28371.0,28433.0,28547.0,28605.0,28660.0,28769.0,28837.0,28907.0,28960.0,29014.0,29073.0,29130.0,29171.0,29218.0,29305.0,29409.0,29479.0,29578.0,29657.0,29700.0,29908.0,30028.0
5083673,45900.0,46103.0,46118.0,46127.0,46215.0,46300.0,46343.0,46396.0,46457.0,46478.0,46500.0,46647.0,46796.0,46840.0,46920.0,46972.0,46996.0,47006.0,47144.0,47190.0,47202.0,47222.0,47241.0,47290.0,47301.0,47345.0,47424.0,47483.0,47592.0,47672.0,47739.0,47819.0,47869.0,47920.0,47955.0,47991.0,48030.0,48068.0,48095.0,48128.0,48185.0,48252.0,48288.0,48340.0,48409.0,48446.0,48628.0,48789.0
5085324,45900.0,46103.0,46123.0,46135.0,46251.0,46330.0,46370.0,46419.0,46475.0,46490.0,46509.0,46637.0,46768.0,46808.0,46880.0,46928.0,46963.0,46980.0,47124.0,47166.0,47177.0,47195.0,47212.0,47257.0,47261.0,47298.0,47406.0,47464.0,47571.0,47630.0,47674.0,47755.0,47806.0,47858.0,47899.0,47941.0,47985.0,48031.0,48064.0,48102.0,48143.0,48191.0,48267.0,48375.0,48482.0,48540.0,48823.0,48886.0
5087252,71100.0,71290.0,71309.0,71321.0,71437.0,71498.0,71529.0,71567.0,71610.0,71627.0,71641.0,71733.0,71826.0,71851.0,71896.0,71926.0,71950.0,71959.0,72056.0,72099.0,72110.0,72129.0,72147.0,72192.0,72198.0,72237.0,72296.0,72332.0,72399.0,72462.0,72516.0,72579.0,72619.0,72660.0,72690.0,72720.0,72753.0,72894.0,72995.0,73114.0,73182.0,73262.0,73296.0,73344.0,73394.0,73421.0,73555.0,73732.0
