tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P,054_P,055_P,056_P,057_P,058_P,059_P,060_P
0,288.0,1171.0,1172.0,1173.0,1174.0,1175.0,15.0,17.0,18.0,19.0,21.0,7602.0,85.0,203.0,204.0,205.0,1620.0,220.0,1622.0,1623.0,1624.0,1625.0,1626.0,1627.0,1628.0,1629.0,1630.0,3670.0,3671.0,3672.0,3674.0,3675.0,5030.0,5031.0,6033.0,3089.0,3090.0,3706.0,3707.0,3708.0,3709.0,3710.0,4925.0,4926.0,3678.0,3679.0,3711.0,3712.0,4916.0,4917.0,4918.0,4919.0,4920.0,4910.0,4911.0,4912.0,4913.0,4914.0,4915.0,4957.0
5002619,26640.0,26705.0,26754.0,26825.0,26915.0,27023.0,27103.0,27215.0,27276.0,27302.0,27361.0,27394.0,27437.0,27487.0,27554.0,27589.0,27628.0,27731.0,27780.0,27821.0,27896.0,27967.0,28026.0,28100.0,28151.0,28180.0,28292.0,28337.0,28415.0,28440.0,28517.0,28551.0,28610.0,28649.0,28704.0,28730.0,28751.0,28809.0,28829.0,28906.0,28935.0,28988.0,29029.0,29108.0,29150.0,29241.0,29294.0,29321.0,29343.0,29403.0,29446.0,29468.0,29507.0,29531.0,29543.0,29558.0,29585.0,29603.0,29626.0,29664.0
5002622,48000.0,48064.0,48113.0,48183.0,48272.0,48371.0,48445.0,48510.0,48576.0,48604.0,48668.0,48710.0,48766.0,48832.0,48899.0,48935.0,48980.0,49098.0,49157.0,49205.0,49303.0,49389.0,49450.0,49525.0,49570.0,49608.0,49735.0,49785.0,49874.0,49899.0,49978.0,50006.0,50101.0,50139.0,50192.0,50218.0,50239.0,50295.0,50314.0,50389.0,50417.0,50468.0,50543.0,50687.0,50764.0,50929.0,50976.0,51003.0,51025.0,51085.0,51128.0,51150.0,51189.0,51213.0,51225.0,51240.0,51267.0,51285.0,51308.0,51346.0
5002626,66000.0,66068.0,66120.0,66194.0,66287.0,66395.0,66474.0,66578.0,66681.0,66724.0,66825.0,66876.0,66943.0,67021.0,67098.0,67139.0,67183.0,67298.0,67358.0,67407.0,67515.0,67612.0,67679.0,67763.0,67812.0,67849.0,67982.0,68035.0,68127.0,68152.0,68241.0,68288.0,68425.0,68468.0,68529.0,68558.0,68582.0,68646.0,68668.0,68754.0,68786.0,68844.0,68914.0,69048.0,69120.0,69273.0,69318.0,69345.0,69367.0,69427.0,69470.0,69492.0,69531.0,69555.0,69567.0,69582.0,69609.0,69627.0,69650.0,69688.0
5003314,31200.0,31263.0,31311.0,31380.0,31469.0,31567.0,31639.0,31716.0,31775.0,31800.0,31857.0,31897.0,31949.0,32010.0,32084.0,32123.0,32167.0,32282.0,32342.0,32391.0,32473.0,32565.0,32626.0,32702.0,32748.0,32780.0,32885.0,32927.0,33000.0,33025.0,33106.0,33135.0,33218.0,33254.0,33305.0,33329.0,33349.0,33403.0,33421.0,33493.0,33520.0,33569.0,33626.0,33735.0,33793.0,33918.0,33963.0,33990.0,34012.0,34072.0,34115.0,34137.0,34176.0,34200.0,34212.0,34227.0,34254.0,34272.0,34295.0,34333.0
5003927,36900.0,36966.0,37016.0,37088.0,37179.0,37267.0,37332.0,37400.0,37455.0,37478.0,37531.0,37568.0,37616.0,37673.0,37724.0,37751.0,37792.0,37901.0,37961.0,38011.0,38101.0,38196.0,38258.0,38335.0,38377.0,38409.0,38517.0,38560.0,38635.0,38660.0,38741.0,38770.0,38850.0,38885.0,38935.0,38959.0,38978.0,39030.0,39048.0,39118.0,39144.0,39191.0,39255.0,39377.0,39442.0,39583.0,39649.0,39676.0,39698.0,39758.0,39801.0,39823.0,39862.0,39886.0,39898.0,39913.0,39940.0,39958.0,39981.0,40019.0
5003929,45600.0,45664.0,45713.0,45783.0,45872.0,45971.0,46045.0,46110.0,46176.0,46204.0,46268.0,46310.0,46366.0,46432.0,46499.0,46535.0,46580.0,46698.0,46757.0,46805.0,46903.0,46989.0,47050.0,47125.0,47170.0,47208.0,47335.0,47385.0,47474.0,47499.0,47578.0,47606.0,47701.0,47739.0,47792.0,47818.0,47839.0,47895.0,47914.0,47989.0,48017.0,48068.0,48143.0,48287.0,48364.0,48529.0,48576.0,48603.0,48625.0,48685.0,48728.0,48750.0,48789.0,48813.0,48825.0,48840.0,48867.0,48885.0,48908.0,48946.0
5003931,63600.0,63668.0,63720.0,63794.0,63887.0,63995.0,64074.0,64178.0,64281.0,64324.0,64425.0,64476.0,64543.0,64621.0,64698.0,64739.0,64783.0,64898.0,64958.0,65007.0,65115.0,65212.0,65279.0,65363.0,65412.0,65449.0,65582.0,65635.0,65727.0,65752.0,65841.0,65888.0,66025.0,66068.0,66129.0,66158.0,66182.0,66246.0,66268.0,66354.0,66386.0,66444.0,66514.0,66648.0,66720.0,66873.0,66918.0,66945.0,66967.0,67027.0,67070.0,67092.0,67131.0,67155.0,67167.0,67182.0,67209.0,67227.0,67250.0,67288.0
5004017,55200.0,55268.0,55320.0,55394.0,55487.0,55595.0,55674.0,55778.0,55881.0,55924.0,56025.0,56076.0,56143.0,56221.0,56298.0,56339.0,56383.0,56498.0,56558.0,56607.0,56715.0,56812.0,56879.0,56963.0,57012.0,57049.0,57182.0,57235.0,57327.0,57352.0,57441.0,57488.0,57625.0,57668.0,57729.0,57758.0,57782.0,57846.0,57868.0,57954.0,57986.0,58044.0,58114.0,58248.0,58320.0,58473.0,58518.0,58545.0,58567.0,58627.0,58670.0,58692.0,58731.0,58755.0,58767.0,58782.0,58809.0,58827.0,58850.0,58888.0
5004206,40500.0,40553.0,40593.0,40651.0,40725.0,40812.0,40876.0,40940.0,40994.0,41016.0,41068.0,41112.0,41169.0,41237.0,41299.0,41331.0,41368.0,41466.0,41522.0,41569.0,41680.0,41785.0,41856.0,41944.0,41998.0,42028.0,42132.0,42173.0,42245.0,42266.0,42355.0,42380.0,42481.0,42515.0,42562.0,42585.0,42603.0,42653.0,42670.0,42737.0,42762.0,42807.0,42892.0,43055.0,43142.0,43329.0,43375.0,43402.0,43424.0,43484.0,43527.0,43549.0,43588.0,43612.0,43624.0,43639.0,43666.0,43684.0,43707.0,43745.0
5004208,48600.0,48651.0,48690.0,48745.0,48815.0,48906.0,48974.0,49046.0,49095.0,49115.0,49162.0,49199.0,49248.0,49305.0,49373.0,49409.0,49447.0,49548.0,49601.0,49644.0,49750.0,49836.0,49893.0,49964.0,50004.0,50030.0,50132.0,50172.0,50243.0,50266.0,50351.0,50380.0,50468.0,50502.0,50550.0,50573.0,50592.0,50643.0,50660.0,50728.0,50753.0,50800.0,50867.0,50996.0,51065.0,51214.0,51247.0,51274.0,51296.0,51356.0,51399.0,51421.0,51460.0,51484.0,51496.0,51511.0,51538.0,51556.0,51579.0,51617.0
5004210,57000.0,57064.0,57113.0,57183.0,57273.0,57366.0,57435.0,57499.0,57551.0,57573.0,57624.0,57657.0,57700.0,57752.0,57812.0,57844.0,57885.0,57991.0,58053.0,58105.0,58200.0,58279.0,58335.0,58404.0,58443.0,58476.0,58570.0,58607.0,58672.0,58693.0,58769.0,58804.0,58894.0,58932.0,58986.0,59012.0,59033.0,59090.0,59109.0,59184.0,59212.0,59262.0,59331.0,59463.0,59534.0,59687.0,59727.0,59754.0,59776.0,59836.0,59879.0,59901.0,59940.0,59964.0,59976.0,59991.0,60018.0,60036.0,60059.0,60097.0
5004519,52800.0,52864.0,52913.0,52983.0,53072.0,53171.0,53245.0,53310.0,53376.0,53404.0,53468.0,53510.0,53566.0,53632.0,53699.0,53735.0,53780.0,53898.0,53957.0,54005.0,54103.0,54189.0,54250.0,54325.0,54370.0,54408.0,54535.0,54585.0,54674.0,54699.0,54778.0,54806.0,54901.0,54939.0,54992.0,55018.0,55039.0,55095.0,55114.0,55189.0,55217.0,55268.0,55343.0,55487.0,55564.0,55729.0,55776.0,55803.0,55825.0,55885.0,55928.0,55950.0,55989.0,56013.0,56025.0,56040.0,56067.0,56085.0,56108.0,56146.0
5004650,38700.0,38766.0,38816.0,38888.0,38979.0,39067.0,39132.0,39200.0,39255.0,39278.0,39331.0,39368.0,39416.0,39473.0,39524.0,39551.0,39592.0,39701.0,39761.0,39811.0,39901.0,39996.0,40058.0,40135.0,40177.0,40209.0,40317.0,40360.0,40435.0,40460.0,40541.0,40570.0,40650.0,40685.0,40735.0,40759.0,40778.0,40830.0,40848.0,40918.0,40944.0,40991.0,41055.0,41177.0,41242.0,41383.0,41449.0,41476.0,41498.0,41558.0,41601.0,41623.0,41662.0,41686.0,41698.0,41713.0,41740.0,41758.0,41781.0,41819.0
5004654,56400.0,56468.0,56520.0,56594.0,56687.0,56795.0,56874.0,56978.0,57081.0,57124.0,57225.0,57276.0,57343.0,57421.0,57498.0,57539.0,57583.0,57698.0,57758.0,57807.0,57915.0,58012.0,58079.0,58163.0,58212.0,58249.0,58382.0,58435.0,58527.0,58552.0,58641.0,58688.0,58825.0,58868.0,58929.0,58958.0,58982.0,59046.0,59068.0,59154.0,59186.0,59244.0,59314.0,59448.0,59520.0,59673.0,59718.0,59745.0,59767.0,59827.0,59870.0,59892.0,59931.0,59955.0,59967.0,59982.0,60009.0,60027.0,60050.0,60088.0
5004832,27900.0,27949.0,27986.0,28039.0,28107.0,28189.0,28250.0,28312.0,28352.0,28369.0,28407.0,28429.0,28458.0,28492.0,28543.0,28570.0,28603.0,28688.0,28727.0,28760.0,28826.0,28906.0,28953.0,29011.0,29055.0,29080.0,29159.0,29190.0,29245.0,29261.0,29341.0,29367.0,29440.0,29469.0,29510.0,29530.0,29546.0,29590.0,29605.0,29663.0,29685.0,29723.0,29764.0,29842.0,29884.0,29974.0,30025.0,30052.0,30074.0,30134.0,30177.0,30199.0,30238.0,30262.0,30274.0,30289.0,30316.0,30334.0,30357.0,30395.0
