tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P
0,2825.0,2826.0,2827.0,2828.0,2829.0,2830.0,2831.0,2832.0,2833.0,6006.0,3493.0,3494.0,3495.0,3496.0,3497.0,3498.0,3499.0,3500.0,3501.0,3502.0,3503.0,3504.0,3505.0,3506.0,3507.0,3508.0,3510.0,3512.0,3514.0
5013447,27900.0,27986.0,28043.0,28108.0,28166.0,28201.0,28243.0,28267.0,28317.0,28393.0,28515.0,28553.0,28616.0,28642.0,28673.0,28725.0,28798.0,28864.0,28908.0,28953.0,29045.0,29108.0,29159.0,29221.0,29278.0,29375.0,29420.0,29578.0,29664.0
5013449,31500.0,31586.0,31643.0,31708.0,31766.0,31801.0,31843.0,31867.0,31917.0,31993.0,32115.0,32153.0,32216.0,32242.0,32273.0,32325.0,32398.0,32464.0,32508.0,32553.0,32645.0,32708.0,32759.0,32821.0,32878.0,32975.0,33020.0,33178.0,33264.0
5013452,56700.0,56786.0,56843.0,56908.0,56966.0,57001.0,57043.0,57067.0,57117.0,57193.0,57315.0,57353.0,57416.0,57442.0,57473.0,57525.0,57598.0,57664.0,57708.0,57753.0,57845.0,57908.0,57959.0,58021.0,58078.0,58175.0,58220.0,58378.0,58464.0
5013454,63000.0,63086.0,63143.0,63208.0,63266.0,63301.0,63343.0,63367.0,63417.0,63493.0,63615.0,63653.0,63716.0,63742.0,63773.0,63825.0,63898.0,63964.0,64008.0,64053.0,64145.0,64208.0,64259.0,64321.0,64378.0,64475.0,64520.0,64678.0,64764.0
5086308,27900.0,27983.0,28038.0,28100.0,28156.0,28190.0,28231.0,28253.0,28301.0,28374.0,28491.0,28528.0,28588.0,28613.0,28643.0,28693.0,28763.0,28826.0,28868.0,28912.0,29000.0,29061.0,29110.0,29170.0,29224.0,29318.0,29361.0,29513.0,29596.0
5086310,31500.0,31583.0,31638.0,31700.0,31756.0,31790.0,31831.0,31853.0,31901.0,31974.0,32091.0,32128.0,32188.0,32213.0,32243.0,32293.0,32363.0,32426.0,32468.0,32512.0,32600.0,32661.0,32710.0,32770.0,32824.0,32918.0,32961.0,33113.0,33196.0
5086312,35100.0,35183.0,35238.0,35300.0,35356.0,35390.0,35431.0,35453.0,35501.0,35574.0,35691.0,35728.0,35788.0,35813.0,35843.0,35893.0,35963.0,36026.0,36068.0,36112.0,36200.0,36261.0,36310.0,36370.0,36424.0,36518.0,36561.0,36713.0,36796.0
5086313,56700.0,56783.0,56838.0,56900.0,56956.0,56990.0,57031.0,57053.0,57101.0,57174.0,57291.0,57328.0,57388.0,57413.0,57443.0,57493.0,57563.0,57626.0,57668.0,57712.0,57800.0,57861.0,57910.0,57970.0,58024.0,58118.0,58161.0,58313.0,58396.0
5086315,63000.0,63083.0,63138.0,63200.0,63256.0,63290.0,63331.0,63353.0,63401.0,63474.0,63591.0,63628.0,63688.0,63713.0,63743.0,63793.0,63863.0,63926.0,63968.0,64012.0,64100.0,64161.0,64210.0,64270.0,64324.0,64418.0,64461.0,64613.0,64696.0
5112380,24600.0,24683.0,24738.0,24800.0,24856.0,24890.0,24931.0,24953.0,25001.0,25074.0,25191.0,25228.0,25288.0,25313.0,25343.0,25393.0,25463.0,25526.0,25568.0,25612.0,25700.0,25761.0,25810.0,25870.0,25924.0,26018.0,26061.0,26213.0,26296.0
5112382,27900.0,27983.0,28038.0,28100.0,28156.0,28190.0,28231.0,28253.0,28301.0,28374.0,28491.0,28528.0,28588.0,28613.0,28643.0,28693.0,28763.0,28826.0,28868.0,28912.0,29000.0,29061.0,29110.0,29170.0,29224.0,29318.0,29361.0,29513.0,29596.0
5112384,31500.0,31583.0,31638.0,31700.0,31756.0,31790.0,31831.0,31853.0,31901.0,31974.0,32091.0,32128.0,32188.0,32213.0,32243.0,32293.0,32363.0,32426.0,32468.0,32512.0,32600.0,32661.0,32710.0,32770.0,32824.0,32918.0,32961.0,33113.0,33196.0
5112387,56700.0,56783.0,56838.0,56900.0,56956.0,56990.0,57031.0,57053.0,57101.0,57174.0,57291.0,57328.0,57388.0,57413.0,57443.0,57493.0,57563.0,57626.0,57668.0,57712.0,57800.0,57861.0,57910.0,57970.0,58024.0,58118.0,58161.0,58313.0,58396.0
5112389,63000.0,63083.0,63138.0,63200.0,63256.0,63290.0,63331.0,63353.0,63401.0,63474.0,63591.0,63628.0,63688.0,63713.0,63743.0,63793.0,63863.0,63926.0,63968.0,64012.0,64100.0,64161.0,64210.0,64270.0,64324.0,64418.0,64461.0,64613.0,64696.0
