tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P
0,3514.0,3515.0,3516.0,3517.0,3518.0,3519.0,3521.0,3523.0,3524.0,3525.0,3527.0,3528.0,3529.0,3532.0,3533.0,3491.0,6007.0,2836.0,2837.0,2838.0,2839.0,2840.0,2841.0,2865.0,2866.0,2825.0
5013446,26100.0,26204.0,26236.0,26291.0,26323.0,26386.0,26484.0,26592.0,26668.0,26716.0,26788.0,26825.0,26905.0,27005.0,27070.0,27129.0,27175.0,27288.0,27330.0,27380.0,27447.0,27495.0,27564.0,27668.0,27738.0,27804.0
5013448,29700.0,29804.0,29836.0,29891.0,29923.0,29986.0,30084.0,30192.0,30268.0,30316.0,30388.0,30425.0,30505.0,30605.0,30670.0,30729.0,30775.0,30888.0,30930.0,30980.0,31047.0,31095.0,31164.0,31268.0,31338.0,31404.0
5013450,33300.0,33404.0,33436.0,33491.0,33523.0,33586.0,33684.0,33792.0,33868.0,33916.0,33988.0,34025.0,34105.0,34205.0,34270.0,34329.0,34375.0,34488.0,34530.0,34580.0,34647.0,34695.0,34764.0,34868.0,34938.0,35004.0
5013453,59400.0,59504.0,59536.0,59591.0,59623.0,59686.0,59784.0,59892.0,59968.0,60016.0,60088.0,60125.0,60205.0,60305.0,60370.0,60429.0,60475.0,60588.0,60630.0,60680.0,60747.0,60795.0,60864.0,60968.0,61038.0,61104.0
5013455,64800.0,64904.0,64936.0,64991.0,65023.0,65086.0,65184.0,65292.0,65368.0,65416.0,65488.0,65525.0,65605.0,65705.0,65770.0,65829.0,65875.0,65988.0,66030.0,66080.0,66147.0,66195.0,66264.0,66368.0,66438.0,66504.0
5086307,26100.0,26200.0,26231.0,26284.0,26314.0,26375.0,26469.0,26573.0,26646.0,26692.0,26761.0,26797.0,26874.0,26970.0,27032.0,27089.0,27133.0,27242.0,27282.0,27330.0,27395.0,27441.0,27507.0,27607.0,27675.0,27738.0
5086309,29700.0,29800.0,29831.0,29884.0,29914.0,29975.0,30069.0,30173.0,30246.0,30292.0,30361.0,30397.0,30474.0,30570.0,30632.0,30689.0,30733.0,30842.0,30882.0,30930.0,30995.0,31041.0,31107.0,31207.0,31275.0,31338.0
5086311,33300.0,33400.0,33431.0,33484.0,33514.0,33575.0,33669.0,33773.0,33846.0,33892.0,33961.0,33997.0,34074.0,34170.0,34232.0,34289.0,34333.0,34442.0,34482.0,34530.0,34595.0,34641.0,34707.0,34807.0,34875.0,34938.0
5086314,59400.0,59500.0,59531.0,59584.0,59614.0,59675.0,59769.0,59873.0,59946.0,59992.0,60061.0,60097.0,60174.0,60270.0,60332.0,60389.0,60433.0,60542.0,60582.0,60630.0,60695.0,60741.0,60807.0,60907.0,60975.0,61038.0
5086316,64800.0,64900.0,64931.0,64984.0,65014.0,65075.0,65169.0,65273.0,65346.0,65392.0,65461.0,65497.0,65574.0,65670.0,65732.0,65789.0,65833.0,65942.0,65982.0,66030.0,66095.0,66141.0,66207.0,66307.0,66375.0,66438.0
5112381,26100.0,26200.0,26231.0,26284.0,26314.0,26375.0,26469.0,26573.0,26646.0,26692.0,26761.0,26797.0,26874.0,26970.0,27032.0,27089.0,27133.0,27242.0,27282.0,27330.0,27395.0,27441.0,27507.0,27607.0,27675.0,27738.0
5112383,29700.0,29800.0,29831.0,29884.0,29914.0,29975.0,30069.0,30173.0,30246.0,30292.0,30361.0,30397.0,30474.0,30570.0,30632.0,30689.0,30733.0,30842.0,30882.0,30930.0,30995.0,31041.0,31107.0,31207.0,31275.0,31338.0
5112385,33300.0,33400.0,33431.0,33484.0,33514.0,33575.0,33669.0,33773.0,33846.0,33892.0,33961.0,33997.0,34074.0,34170.0,34232.0,34289.0,34333.0,34442.0,34482.0,34530.0,34595.0,34641.0,34707.0,34807.0,34875.0,34938.0
5112388,59400.0,59500.0,59531.0,59584.0,59614.0,59675.0,59769.0,59873.0,59946.0,59992.0,60061.0,60097.0,60174.0,60270.0,60332.0,60389.0,60433.0,60542.0,60582.0,60630.0,60695.0,60741.0,60807.0,60907.0,60975.0,61038.0
5112390,64800.0,64900.0,64931.0,64984.0,65014.0,65075.0,65169.0,65273.0,65346.0,65392.0,65461.0,65497.0,65574.0,65670.0,65732.0,65789.0,65833.0,65942.0,65982.0,66030.0,66095.0,66141.0,66207.0,66307.0,66375.0,66438.0
