tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P,054_P,055_P,056_P,057_P,058_P,059_P,060_P,061_P,062_P,063_P,064_P,065_P,066_P,067_P,068_P,069_P,070_P,071_P,072_P,073_P,074_P,075_P,076_P,077_P,078_P,079_P,080_P,081_P,082_P
0,7571.0,207.0,208.0,209.0,210.0,211.0,212.0,213.0,214.0,4432.0,119.0,44.0,7603.0,45.0,46.0,47.0,48.0,49.0,51.0,52.0,265.0,272.0,340.0,350.0,2809.0,2810.0,2811.0,843.0,1013.0,1015.0,2812.0,2813.0,2814.0,852.0,853.0,854.0,855.0,2815.0,2816.0,2817.0,2818.0,2819.0,2820.0,2822.0,2823.0,5032.0,2824.0,2825.0,2826.0,2827.0,2828.0,2829.0,2830.0,2831.0,2832.0,2833.0,7375.0,3466.0,3467.0,3469.0,3470.0,3471.0,3472.0,3473.0,3474.0,3475.0,3476.0,3477.0,3478.0,3280.0,3282.0,3479.0,4086.0,4087.0,4088.0,4089.0,4090.0,4091.0,6097.0,4093.0,4094.0,4096.0
5003915,30600.0,30849.0,30919.0,30991.0,31036.0,31131.0,31193.0,31265.0,31336.0,31408.0,31485.0,31544.0,31587.0,31637.0,31707.0,31790.0,31867.0,31976.0,32070.0,32121.0,32290.0,32437.0,32778.0,32973.0,33142.0,33265.0,33336.0,33521.0,33597.0,33698.0,33778.0,33849.0,33922.0,33972.0,34037.0,34066.0,34133.0,34223.0,34254.0,34313.0,34363.0,34397.0,34441.0,34481.0,34519.0,34538.0,34581.0,34610.0,34684.0,34739.0,34801.0,34856.0,34899.0,34950.0,34979.0,35037.0,35068.0,35131.0,35174.0,35299.0,35348.0,35369.0,35410.0,35486.0,35511.0,35593.0,35634.0,35670.0,35715.0,35728.0,35751.0,35776.0,35808.0,35844.0,35862.0,35916.0,35931.0,35977.0,36020.0,36047.0,36113.0,36149.0
5003917,45000.0,45176.0,45226.0,45279.0,45312.0,45381.0,45421.0,45467.0,45513.0,45559.0,45608.0,45656.0,45691.0,45732.0,45788.0,45855.0,45915.0,46002.0,46121.0,46186.0,46352.0,46490.0,46758.0,46911.0,47044.0,47142.0,47207.0,47377.0,47447.0,47547.0,47627.0,47722.0,47830.0,47902.0,47989.0,48027.0,48094.0,48184.0,48214.0,48272.0,48321.0,48355.0,48394.0,48430.0,48497.0,48531.0,48595.0,48639.0,48751.0,48823.0,48905.0,48978.0,49022.0,49074.0,49103.0,49168.0,49203.0,49274.0,49327.0,49443.0,49497.0,49519.0,49563.0,49659.0,49690.0,49743.0,49788.0,49831.0,49884.0,49899.0,49925.0,49955.0,49994.0,50037.0,50060.0,50119.0,50136.0,50188.0,50232.0,50260.0,50329.0,50367.0
5003919,59400.0,59556.0,59600.0,59645.0,59673.0,59732.0,59775.0,59825.0,59875.0,59926.0,59981.0,60026.0,60058.0,60096.0,60155.0,60226.0,60276.0,60348.0,60469.0,60535.0,60721.0,60847.0,61156.0,61333.0,61486.0,61599.0,61672.0,61860.0,61937.0,62054.0,62146.0,62231.0,62435.0,62572.0,62707.0,62767.0,62838.0,62932.0,62983.0,63083.0,63136.0,63173.0,63229.0,63280.0,63383.0,63435.0,63497.0,63540.0,63647.0,63727.0,63817.0,63898.0,63947.0,64005.0,64038.0,64128.0,64176.0,64276.0,64316.0,64436.0,64497.0,64534.0,64608.0,64748.0,64794.0,64862.0,64903.0,64962.0,65035.0,65052.0,65080.0,65108.0,65145.0,65187.0,65206.0,65262.0,65277.0,65330.0,65374.0,65402.0,65471.0,65509.0
5003923,82800.0,82939.0,82978.0,83019.0,83045.0,83100.0,83126.0,83156.0,83186.0,83216.0,83249.0,83316.0,83364.0,83421.0,83481.0,83552.0,83588.0,83639.0,83698.0,83730.0,83819.0,84134.0,84308.0,84408.0,84495.0,84558.0,84605.0,84728.0,84779.0,84838.0,84885.0,84945.0,85008.0,85050.0,85094.0,85114.0,85153.0,85205.0,85225.0,85264.0,85302.0,85328.0,85354.0,85378.0,85412.0,85429.0,85460.0,85482.0,85536.0,85578.0,85625.0,85666.0,85693.0,85726.0,85744.0,85787.0,85810.0,85856.0,85887.0,85964.0,86000.0,86016.0,86048.0,86121.0,86145.0,86193.0,86232.0,86265.0,86306.0,86319.0,86341.0,86366.0,86399.0,86436.0,86454.0,86508.0,86526.0,86579.0,86615.0,86638.0,86694.0,86725.0
5005455,37800.0,37976.0,38026.0,38079.0,38112.0,38181.0,38221.0,38267.0,38313.0,38359.0,38408.0,38456.0,38491.0,38532.0,38588.0,38655.0,38715.0,38802.0,38921.0,38986.0,39152.0,39290.0,39558.0,39711.0,39844.0,39942.0,40007.0,40177.0,40247.0,40347.0,40427.0,40522.0,40630.0,40702.0,40789.0,40827.0,40894.0,40984.0,41014.0,41072.0,41121.0,41155.0,41194.0,41230.0,41297.0,41331.0,41395.0,41439.0,41551.0,41623.0,41705.0,41778.0,41822.0,41874.0,41903.0,41968.0,42003.0,42074.0,42127.0,42243.0,42297.0,42319.0,42363.0,42459.0,42490.0,42543.0,42588.0,42631.0,42684.0,42699.0,42725.0,42755.0,42794.0,42837.0,42860.0,42919.0,42936.0,42988.0,43032.0,43060.0,43129.0,43167.0
5005457,52200.0,52383.0,52434.0,52484.0,52516.0,52582.0,52624.0,52673.0,52721.0,52770.0,52823.0,52872.0,52907.0,52948.0,53005.0,53073.0,53117.0,53180.0,53261.0,53305.0,53451.0,53549.0,53807.0,53954.0,54082.0,54176.0,54234.0,54384.0,54446.0,54533.0,54602.0,54697.0,54817.0,54898.0,55011.0,55061.0,55129.0,55219.0,55263.0,55348.0,55403.0,55441.0,55487.0,55529.0,55638.0,55693.0,55773.0,55828.0,55966.0,56045.0,56134.0,56212.0,56264.0,56327.0,56362.0,56424.0,56457.0,56524.0,56571.0,56682.0,56749.0,56773.0,56819.0,56921.0,56954.0,57013.0,57054.0,57108.0,57175.0,57195.0,57229.0,57261.0,57304.0,57352.0,57371.0,57428.0,57447.0,57504.0,57548.0,57575.0,57644.0,57682.0
5005459,66300.0,66482.0,66533.0,66583.0,66614.0,66680.0,66732.0,66793.0,66853.0,66914.0,66980.0,67028.0,67062.0,67103.0,67162.0,67233.0,67287.0,67365.0,67457.0,67507.0,67638.0,67739.0,68060.0,68243.0,68402.0,68518.0,68578.0,68734.0,68799.0,68897.0,68975.0,69071.0,69263.0,69392.0,69502.0,69551.0,69607.0,69682.0,69722.0,69801.0,69858.0,69897.0,69956.0,70010.0,70085.0,70123.0,70172.0,70206.0,70290.0,70367.0,70454.0,70532.0,70582.0,70642.0,70675.0,70734.0,70765.0,70830.0,70878.0,71001.0,71061.0,71085.0,71132.0,71225.0,71255.0,71308.0,71354.0,71403.0,71462.0,71475.0,71497.0,71526.0,71565.0,71608.0,71629.0,71687.0,71704.0,71755.0,71798.0,71825.0,71891.0,71927.0
5011077,27000.0,27212.0,27272.0,27342.0,27386.0,27479.0,27543.0,27617.0,27691.0,27766.0,27846.0,27913.0,27961.0,28017.0,28116.0,28235.0,28300.0,28392.0,28483.0,28533.0,28651.0,28743.0,29071.0,29258.0,29421.0,29540.0,29616.0,29813.0,29894.0,30017.0,30115.0,30195.0,30372.0,30492.0,30692.0,30781.0,30875.0,31001.0,31036.0,31104.0,31153.0,31187.0,31228.0,31266.0,31313.0,31337.0,31391.0,31428.0,31523.0,31578.0,31640.0,31695.0,31736.0,31785.0,31813.0,31867.0,31896.0,31956.0,31987.0,32112.0,32166.0,32186.0,32226.0,32296.0,32319.0,32362.0,32399.0,32435.0,32479.0,32492.0,32515.0,32542.0,32578.0,32617.0,32637.0,32696.0,32711.0,32759.0,32806.0,32835.0,32909.0,32950.0
5011079,41400.0,41576.0,41626.0,41679.0,41712.0,41781.0,41821.0,41867.0,41913.0,41959.0,42008.0,42056.0,42091.0,42132.0,42188.0,42255.0,42315.0,42402.0,42521.0,42586.0,42752.0,42890.0,43158.0,43311.0,43444.0,43542.0,43607.0,43777.0,43847.0,43947.0,44027.0,44122.0,44230.0,44302.0,44389.0,44427.0,44494.0,44584.0,44614.0,44672.0,44721.0,44755.0,44794.0,44830.0,44897.0,44931.0,44995.0,45039.0,45151.0,45223.0,45305.0,45378.0,45422.0,45474.0,45503.0,45568.0,45603.0,45674.0,45727.0,45843.0,45897.0,45919.0,45963.0,46059.0,46090.0,46143.0,46188.0,46231.0,46284.0,46299.0,46325.0,46355.0,46394.0,46437.0,46460.0,46519.0,46536.0,46588.0,46632.0,46660.0,46729.0,46767.0
