tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P,054_P,055_P,056_P,057_P,058_P,059_P,060_P,061_P,062_P,063_P,064_P,065_P,066_P,067_P,068_P,069_P,070_P,071_P,072_P,073_P,074_P,075_P,076_P,077_P,078_P,079_P,080_P
0,4096.0,4114.0,4115.0,4116.0,4117.0,4118.0,4119.0,4120.0,4121.0,4122.0,4123.0,3283.0,3284.0,3310.0,3481.0,3482.0,3483.0,3484.0,3485.0,3486.0,3487.0,3488.0,3489.0,3492.0,2835.0,7176.0,2836.0,2837.0,2838.0,2839.0,2840.0,2841.0,2865.0,2866.0,2892.0,2893.0,2894.0,2895.0,2896.0,2897.0,2898.0,3562.0,2899.0,884.0,885.0,886.0,887.0,2900.0,2901.0,2902.0,2903.0,1074.0,6074.0,5034.0,793.0,495.0,400.0,319.0,278.0,7615.0,10.0,12.0,14.0,15.0,17.0,18.0,19.0,21.0,7602.0,85.0,203.0,204.0,205.0,206.0,207.0,208.0,209.0,210.0,1643.0,7571.0
5003914,24300.0,24324.0,24339.0,24408.0,24438.0,24480.0,24522.0,24540.0,24600.0,24660.0,24720.0,24780.0,24840.0,24869.0,24880.0,24900.0,24960.0,25020.0,25042.0,25080.0,25140.0,25291.0,25560.0,25604.0,25620.0,25711.0,25753.0,25800.0,25826.0,25860.0,25885.0,25920.0,25980.0,26041.0,26160.0,26185.0,26220.0,26246.0,26280.0,26327.0,26400.0,26439.0,26460.0,26504.0,26520.0,26545.0,26580.0,26613.0,26640.0,26658.0,26700.0,26793.0,26940.0,27060.0,27068.0,27194.0,27234.0,27294.0,27374.0,27420.0,27443.0,27600.0,27661.0,27720.0,27780.0,27830.0,27851.0,27900.0,27926.0,27960.0,27974.0,27993.0,28003.0,28020.0,28080.0,28090.0,28100.0,28106.0,28120.0,28140.0
5005454,29700.0,29721.0,29734.0,29796.0,29823.0,29862.0,29911.0,29931.0,29980.0,30002.0,30038.0,30113.0,30167.0,30223.0,30244.0,30284.0,30370.0,30461.0,30525.0,30638.0,30684.0,30770.0,30924.0,31030.0,31069.0,31189.0,31245.0,31305.0,31399.0,31524.0,31614.0,31740.0,31829.0,31905.0,32053.0,32124.0,32220.0,32264.0,32323.0,32356.0,32406.0,32549.0,32624.0,32729.0,32767.0,32802.0,32851.0,32953.0,33035.0,33087.0,33208.0,33397.0,33696.0,33899.0,33917.0,34189.0,34276.0,34405.0,34579.0,34679.0,34693.0,34785.0,34853.0,34919.0,35013.0,35077.0,35104.0,35166.0,35202.0,35250.0,35305.0,35382.0,35423.0,35488.0,35515.0,35562.0,35610.0,35641.0,35710.0,35810.0
5011078,34200.0,34232.0,34251.0,34344.0,34384.0,34441.0,34506.0,34534.0,34597.0,34621.0,34657.0,34723.0,34771.0,34805.0,34817.0,34842.0,34916.0,35015.0,35081.0,35199.0,35245.0,35292.0,35376.0,35533.0,35591.0,35691.0,35737.0,35788.0,35852.0,35937.0,35998.0,36085.0,36168.0,36246.0,36396.0,36424.0,36463.0,36499.0,36547.0,36590.0,36656.0,36750.0,36799.0,36883.0,36914.0,36971.0,37050.0,37098.0,37137.0,37162.0,37221.0,37349.0,37552.0,37841.0,37870.0,38312.0,38454.0,38664.0,38947.0,39110.0,39129.0,39254.0,39311.0,39365.0,39449.0,39524.0,39555.0,39628.0,39654.0,39689.0,39730.0,39788.0,39818.0,39867.0,39892.0,39942.0,39994.0,40027.0,40100.0,40207.0
5011082,63000.0,63024.0,63039.0,63108.0,63138.0,63180.0,63264.0,63300.0,63360.0,63420.0,63480.0,63540.0,63600.0,63658.0,63679.0,63720.0,63780.0,63840.0,63883.0,63960.0,64020.0,64215.0,64560.0,64648.0,64680.0,64802.0,64859.0,64920.0,64972.0,65041.0,65090.0,65160.0,65280.0,65382.0,65580.0,65605.0,65640.0,65692.0,65760.0,65807.0,65880.0,65959.0,66000.0,66088.0,66120.0,66170.0,66240.0,66340.0,66420.0,66456.0,66540.0,66703.0,66960.0,67140.0,67150.0,67296.0,67343.0,67412.0,67506.0,67560.0,67583.0,67740.0,67832.0,67920.0,68100.0,68226.0,68279.0,68400.0,68478.0,68580.0,68636.0,68714.0,68755.0,68820.0,68880.0,68890.0,68900.0,68906.0,68920.0,68940.0
5011719,26100.0,26124.0,26139.0,26208.0,26238.0,26280.0,26364.0,26400.0,26460.0,26520.0,26580.0,26640.0,26700.0,26729.0,26740.0,26760.0,26820.0,26880.0,26923.0,27000.0,27060.0,27255.0,27600.0,27644.0,27660.0,27782.0,27839.0,27900.0,27952.0,28021.0,28070.0,28140.0,28260.0,28383.0,28620.0,28671.0,28740.0,28792.0,28860.0,28931.0,29040.0,29119.0,29160.0,29292.0,29340.0,29390.0,29460.0,29527.0,29580.0,29616.0,29700.0,29839.0,30060.0,30240.0,30248.0,30374.0,30414.0,30474.0,30554.0,30600.0,30623.0,30780.0,30841.0,30900.0,31020.0,31095.0,31127.0,31200.0,31226.0,31260.0,31302.0,31360.0,31391.0,31440.0,31500.0,31510.0,31520.0,31526.0,31540.0,31560.0
5091970,29700.0,29721.0,29734.0,29794.0,29820.0,29856.0,29902.0,29922.0,29969.0,29990.0,30025.0,30097.0,30149.0,30203.0,30223.0,30262.0,30345.0,30433.0,30494.0,30603.0,30647.0,30730.0,30878.0,30979.0,31017.0,31132.0,31185.0,31244.0,31334.0,31454.0,31540.0,31662.0,31748.0,31821.0,31963.0,32031.0,32124.0,32167.0,32223.0,32254.0,32303.0,32441.0,32513.0,32614.0,32651.0,32685.0,32732.0,32830.0,32909.0,32958.0,33075.0,33257.0,33544.0,33739.0,33756.0,34017.0,34101.0,34225.0,34392.0,34489.0,34502.0,34591.0,34657.0,34720.0,34810.0,34872.0,34898.0,34957.0,34992.0,35038.0,35091.0,35165.0,35204.0,35267.0,35293.0,35338.0,35385.0,35414.0,35480.0,35577.0
5091972,45000.0,45024.0,45039.0,45108.0,45138.0,45180.0,45222.0,45240.0,45300.0,45360.0,45420.0,45480.0,45540.0,45569.0,45580.0,45600.0,45660.0,45720.0,45763.0,45840.0,45900.0,46073.0,46380.0,46424.0,46440.0,46562.0,46619.0,46680.0,46732.0,46801.0,46850.0,46920.0,47040.0,47122.0,47280.0,47305.0,47340.0,47366.0,47400.0,47447.0,47520.0,47599.0,47640.0,47728.0,47760.0,47810.0,47880.0,47947.0,48000.0,48036.0,48120.0,48259.0,48480.0,48660.0,48668.0,48794.0,48834.0,48894.0,48974.0,49020.0,49043.0,49200.0,49292.0,49380.0,49500.0,49575.0,49607.0,49680.0,49706.0,49740.0,49782.0,49840.0,49871.0,49920.0,49980.0,49990.0,50000.0,50006.0,50020.0,50040.0
5091974,59400.0,59424.0,59439.0,59508.0,59538.0,59580.0,59664.0,59700.0,59760.0,59820.0,59880.0,59940.0,60000.0,60058.0,60079.0,60120.0,60180.0,60240.0,60283.0,60360.0,60420.0,60615.0,60960.0,61048.0,61080.0,61202.0,61259.0,61320.0,61372.0,61441.0,61490.0,61560.0,61680.0,61782.0,61980.0,62005.0,62040.0,62092.0,62160.0,62207.0,62280.0,62359.0,62400.0,62488.0,62520.0,62570.0,62640.0,62740.0,62820.0,62856.0,62940.0,63103.0,63360.0,63540.0,63550.0,63696.0,63743.0,63812.0,63906.0,63960.0,63983.0,64140.0,64232.0,64320.0,64500.0,64626.0,64679.0,64800.0,64878.0,64980.0,65036.0,65114.0,65155.0,65220.0,65280.0,65290.0,65300.0,65306.0,65320.0,65340.0
5093587,26100.0,26124.0,26139.0,26208.0,26238.0,26280.0,26364.0,26400.0,26460.0,26520.0,26580.0,26640.0,26700.0,26729.0,26740.0,26760.0,26820.0,26880.0,26923.0,27000.0,27060.0,27255.0,27600.0,27644.0,27660.0,27782.0,27839.0,27900.0,27952.0,28021.0,28070.0,28140.0,28260.0,28383.0,28620.0,28671.0,28740.0,28792.0,28860.0,28931.0,29040.0,29119.0,29160.0,29292.0,29340.0,29390.0,29460.0,29527.0,29580.0,29616.0,29700.0,29839.0,30060.0,30240.0,30248.0,30374.0,30414.0,30474.0,30554.0,30600.0,30623.0,30780.0,30841.0,30900.0,31020.0,31095.0,31127.0,31200.0,31226.0,31260.0,31302.0,31360.0,31391.0,31440.0,31500.0,31510.0,31520.0,31526.0,31540.0,31560.0
5093589,41400.0,41424.0,41439.0,41508.0,41538.0,41580.0,41622.0,41640.0,41700.0,41760.0,41820.0,41880.0,41940.0,41969.0,41980.0,42000.0,42060.0,42120.0,42163.0,42240.0,42300.0,42473.0,42780.0,42824.0,42840.0,42962.0,43019.0,43080.0,43132.0,43201.0,43250.0,43320.0,43440.0,43522.0,43680.0,43705.0,43740.0,43766.0,43800.0,43847.0,43920.0,43999.0,44040.0,44128.0,44160.0,44210.0,44280.0,44347.0,44400.0,44436.0,44520.0,44659.0,44880.0,45060.0,45068.0,45194.0,45234.0,45294.0,45374.0,45420.0,45443.0,45600.0,45692.0,45780.0,45900.0,45975.0,46007.0,46080.0,46106.0,46140.0,46182.0,46240.0,46271.0,46320.0,46380.0,46390.0,46400.0,46406.0,46420.0,46440.0
5093591,55800.0,55824.0,55839.0,55908.0,55938.0,55980.0,56064.0,56100.0,56160.0,56220.0,56280.0,56340.0,56400.0,56429.0,56440.0,56460.0,56520.0,56580.0,56623.0,56700.0,56760.0,56955.0,57300.0,57344.0,57360.0,57451.0,57493.0,57540.0,57592.0,57661.0,57710.0,57780.0,57900.0,57982.0,58140.0,58165.0,58200.0,58252.0,58320.0,58367.0,58440.0,58479.0,58500.0,58588.0,58620.0,58670.0,58740.0,58807.0,58860.0,58896.0,58980.0,59096.0,59280.0,59460.0,59470.0,59616.0,59663.0,59732.0,59826.0,59880.0,59903.0,60060.0,60152.0,60240.0,60420.0,60546.0,60599.0,60720.0,60772.0,60840.0,60896.0,60974.0,61015.0,61080.0,61140.0,61150.0,61160.0,61166.0,61180.0,61200.0
