tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P,054_P,055_P,056_P,057_P,058_P,059_P
0,807.0,808.0,809.0,810.0,811.0,812.0,813.0,814.0,81.0,817.0,818.0,819.0,264.0,6059.0,334.0,406.0,747.0,842.0,845.0,846.0,847.0,848.0,2795.0,756.0,757.0,758.0,759.0,760.0,761.0,762.0,763.0,2007.0,2008.0,2009.0,2010.0,435.0,7353.0,4571.0,2013.0,2014.0,4636.0,2016.0,2015.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,4565.0,4566.0,4567.0,2031.0,2032.0,2033.0,2034.0,2035.0,2036.0,2039.0
5002790,26400.0,26489.0,26541.0,26624.0,26676.0,26716.0,26761.0,26860.0,26994.0,27121.0,27189.0,27264.0,27401.0,27536.0,27669.0,27875.0,27990.0,28084.0,28146.0,28220.0,28288.0,28347.0,28392.0,28457.0,28520.0,28563.0,28647.0,28710.0,28749.0,28782.0,28843.0,28907.0,28966.0,29016.0,29097.0,29148.0,29194.0,29300.0,29346.0,29419.0,29466.0,29557.0,29605.0,29640.0,29687.0,29730.0,29782.0,29819.0,29889.0,30000.0,30053.0,30118.0,30193.0,30267.0,30308.0,30333.0,30392.0,30505.0,30602.0
5002792,38400.0,38481.0,38528.0,38603.0,38650.0,38683.0,38721.0,38807.0,38921.0,39029.0,39087.0,39175.0,39311.0,39445.0,39608.0,39861.0,40001.0,40095.0,40156.0,40224.0,40287.0,40338.0,40377.0,40434.0,40488.0,40522.0,40639.0,40725.0,40756.0,40783.0,40844.0,40910.0,40971.0,41013.0,41081.0,41137.0,41186.0,41285.0,41322.0,41382.0,41419.0,41489.0,41531.0,41561.0,41596.0,41627.0,41665.0,41692.0,41754.0,41853.0,41900.0,41955.0,42019.0,42093.0,42137.0,42163.0,42225.0,42313.0,42389.0
5002794,49440.0,49516.0,49560.0,49630.0,49674.0,49707.0,49745.0,49826.0,49929.0,50027.0,50079.0,50153.0,50295.0,50436.0,50608.0,50874.0,51022.0,51120.0,51184.0,51254.0,51318.0,51379.0,51425.0,51487.0,51547.0,51594.0,51712.0,51799.0,51833.0,51862.0,51926.0,51999.0,52067.0,52117.0,52198.0,52260.0,52315.0,52416.0,52462.0,52536.0,52579.0,52660.0,52709.0,52744.0,52790.0,52831.0,52881.0,52916.0,52990.0,53107.0,53162.0,53225.0,53297.0,53372.0,53416.0,53442.0,53506.0,53588.0,53659.0
5002796,60960.0,61049.0,61101.0,61184.0,61236.0,61283.0,61337.0,61502.0,61614.0,61720.0,61777.0,61867.0,62000.0,62131.0,62333.0,62646.0,62819.0,62931.0,63004.0,63092.0,63173.0,63253.0,63313.0,63398.0,63480.0,63526.0,63618.0,63687.0,63722.0,63753.0,63816.0,63901.0,63980.0,64037.0,64128.0,64207.0,64261.0,64385.0,64438.0,64516.0,64564.0,64657.0,64711.0,64749.0,64793.0,64833.0,64881.0,64916.0,64984.0,65092.0,65143.0,65201.0,65269.0,65342.0,65380.0,65403.0,65457.0,65538.0,65607.0
5002798,72000.0,72068.0,72108.0,72171.0,72210.0,72240.0,72273.0,72362.0,72443.0,72519.0,72560.0,72635.0,72743.0,72850.0,72982.0,73187.0,73301.0,73381.0,73434.0,73504.0,73567.0,73624.0,73668.0,73714.0,73759.0,73792.0,73882.0,73948.0,73978.0,74004.0,74063.0,74127.0,74187.0,74230.0,74298.0,74360.0,74399.0,74492.0,74533.0,74600.0,74638.0,74710.0,74751.0,74781.0,74811.0,74838.0,74870.0,74893.0,74943.0,75022.0,75060.0,75114.0,75176.0,75229.0,75263.0,75283.0,75331.0,75397.0,75454.0
5002800,81000.0,81055.0,81087.0,81138.0,81169.0,81192.0,81218.0,81268.0,81328.0,81385.0,81416.0,81481.0,81586.0,81689.0,81819.0,82020.0,82131.0,82213.0,82266.0,82328.0,82384.0,82430.0,82465.0,82511.0,82555.0,82588.0,82661.0,82716.0,82742.0,82764.0,82807.0,82872.0,82932.0,82974.0,83041.0,83091.0,83137.0,83227.0,83267.0,83322.0,83357.0,83424.0,83467.0,83498.0,83528.0,83556.0,83589.0,83613.0,83653.0,83716.0,83745.0,83790.0,83842.0,83886.0,83919.0,83939.0,83987.0,84032.0,84071.0
5002821,30000.0,30063.0,30100.0,30158.0,30194.0,30223.0,30256.0,30301.0,30363.0,30422.0,30453.0,30501.0,30602.0,30701.0,30816.0,30995.0,31094.0,31162.0,31207.0,31274.0,31336.0,31384.0,31421.0,31466.0,31509.0,31540.0,31601.0,31647.0,31670.0,31689.0,31724.0,31777.0,31827.0,31872.0,31944.0,31988.0,32039.0,32118.0,32152.0,32188.0,32221.0,32284.0,32327.0,32358.0,32385.0,32410.0,32440.0,32461.0,32498.0,32557.0,32585.0,32635.0,32693.0,32743.0,32776.0,32796.0,32844.0,32946.0,33033.0
5002823,39600.0,39673.0,39716.0,39784.0,39826.0,39859.0,39896.0,39964.0,40051.0,40133.0,40176.0,40251.0,40381.0,40510.0,40653.0,40874.0,40997.0,41079.0,41133.0,41195.0,41251.0,41307.0,41350.0,41408.0,41464.0,41495.0,41599.0,41677.0,41707.0,41733.0,41792.0,41850.0,41904.0,41952.0,42030.0,42082.0,42129.0,42219.0,42255.0,42302.0,42344.0,42423.0,42461.0,42488.0,42524.0,42556.0,42595.0,42623.0,42678.0,42765.0,42806.0,42859.0,42920.0,42992.0,43034.0,43059.0,43120.0,43253.0,43368.0
5002825,50400.0,50478.0,50524.0,50596.0,50641.0,50673.0,50710.0,50785.0,50890.0,50990.0,51043.0,51104.0,51228.0,51350.0,51508.0,51753.0,51889.0,51977.0,52035.0,52101.0,52162.0,52223.0,52269.0,52327.0,52383.0,52418.0,52527.0,52608.0,52638.0,52663.0,52721.0,52788.0,52851.0,52903.0,52987.0,53042.0,53104.0,53193.0,53241.0,53292.0,53333.0,53410.0,53454.0,53485.0,53522.0,53556.0,53597.0,53626.0,53679.0,53764.0,53804.0,53867.0,53940.0,54010.0,54056.0,54084.0,54151.0,54218.0,54276.0
