tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P,054_P,055_P,056_P,057_P,058_P,059_P,060_P,061_P,062_P,063_P,064_P,065_P,066_P
0,2039.0,2040.0,2041.0,2042.0,2043.0,2044.0,2045.0,2046.0,4568.0,4569.0,7658.0,4570.0,2056.0,2057.0,2058.0,2059.0,2060.0,2061.0,2062.0,2063.0,2064.0,2065.0,4727.0,4728.0,461.0,2068.0,2069.0,2070.0,2084.0,768.0,769.0,770.0,771.0,772.0,773.0,774.0,775.0,776.0,777.0,906.0,907.0,908.0,909.0,786.0,792.0,7586.0,7587.0,345.0,320.0,7491.0,278.0,2.0,192.0,795.0,796.0,797.0,798.0,799.0,800.0,801.0,802.0,803.0,804.0,805.0,806.0,807.0
5002789,21840.0,21879.0,21928.0,21989.0,21996.0,22006.0,22018.0,22055.0,22105.0,22128.0,22136.0,22151.0,22199.0,22230.0,22245.0,22266.0,22295.0,22322.0,22364.0,22381.0,22408.0,22421.0,22486.0,22528.0,22546.0,22576.0,22612.0,22652.0,22685.0,22747.0,22782.0,22815.0,22829.0,22857.0,22891.0,22931.0,22984.0,23026.0,23072.0,23149.0,23174.0,23194.0,23221.0,23250.0,23420.0,23594.0,23718.0,23805.0,23867.0,23984.0,24035.0,24092.0,24223.0,24263.0,24290.0,24372.0,24403.0,24417.0,24448.0,24481.0,24548.0,24616.0,24657.0,24740.0,24786.0,24851.0
5002822,34200.0,34272.0,34362.0,34473.0,34488.0,34510.0,34534.0,34584.0,34691.0,34733.0,34746.0,34777.0,34875.0,34939.0,34976.0,35027.0,35098.0,35147.0,35221.0,35271.0,35348.0,35379.0,35470.0,35529.0,35554.0,35611.0,35646.0,35721.0,35778.0,35883.0,35911.0,35966.0,35989.0,36035.0,36083.0,36139.0,36216.0,36296.0,36342.0,36420.0,36473.0,36517.0,36575.0,36635.0,36912.0,37119.0,37266.0,37370.0,37443.0,37583.0,37660.0,37745.0,37943.0,37975.0,38012.0,38121.0,38169.0,38190.0,38229.0,38272.0,38334.0,38396.0,38434.0,38510.0,38552.0,38613.0
5003054,27900.0,27945.0,28002.0,28072.0,28087.0,28109.0,28134.0,28159.0,28220.0,28248.0,28258.0,28285.0,28371.0,28427.0,28458.0,28500.0,28558.0,28601.0,28665.0,28708.0,28773.0,28803.0,28867.0,28909.0,28926.0,28982.0,29021.0,29072.0,29110.0,29180.0,29215.0,29270.0,29292.0,29338.0,29375.0,29418.0,29476.0,29521.0,29548.0,29593.0,29620.0,29642.0,29671.0,29701.0,29815.0,29941.0,30030.0,30093.0,30138.0,30223.0,30270.0,30322.0,30444.0,30468.0,30493.0,30566.0,30591.0,30602.0,30623.0,30647.0,30687.0,30727.0,30751.0,30800.0,30827.0,30867.0
5003056,36600.0,36672.0,36762.0,36873.0,36888.0,36910.0,36934.0,36984.0,37091.0,37133.0,37146.0,37177.0,37275.0,37339.0,37376.0,37427.0,37498.0,37547.0,37621.0,37671.0,37748.0,37779.0,37870.0,37929.0,37954.0,38011.0,38046.0,38121.0,38178.0,38283.0,38311.0,38366.0,38389.0,38435.0,38483.0,38539.0,38616.0,38696.0,38742.0,38820.0,38873.0,38917.0,38975.0,39035.0,39312.0,39519.0,39666.0,39770.0,39843.0,39983.0,40060.0,40145.0,40343.0,40375.0,40412.0,40521.0,40569.0,40590.0,40629.0,40672.0,40734.0,40796.0,40834.0,40910.0,40952.0,41013.0
5003269,37200.0,37272.0,37362.0,37473.0,37488.0,37510.0,37534.0,37584.0,37691.0,37733.0,37746.0,37777.0,37875.0,37939.0,37976.0,38027.0,38098.0,38147.0,38221.0,38271.0,38348.0,38379.0,38470.0,38529.0,38554.0,38611.0,38646.0,38721.0,38778.0,38883.0,38911.0,38966.0,38989.0,39035.0,39083.0,39139.0,39216.0,39296.0,39342.0,39420.0,39473.0,39517.0,39575.0,39635.0,39912.0,40119.0,40266.0,40370.0,40443.0,40583.0,40660.0,40745.0,40943.0,40975.0,41012.0,41121.0,41169.0,41190.0,41229.0,41272.0,41334.0,41396.0,41434.0,41510.0,41552.0,41613.0
5003288,28080.0,28139.0,28213.0,28305.0,28325.0,28354.0,28387.0,28446.0,28605.0,28669.0,28689.0,28731.0,28864.0,28951.0,29004.0,29078.0,29180.0,29235.0,29317.0,29374.0,29461.0,29489.0,29608.0,29685.0,29718.0,29777.0,29852.0,29959.0,30025.0,30148.0,30173.0,30241.0,30269.0,30326.0,30379.0,30442.0,30528.0,30594.0,30642.0,30724.0,30795.0,30853.0,30931.0,31011.0,31230.0,31536.0,31754.0,31908.0,32016.0,32224.0,32297.0,32378.0,32566.0,32610.0,32649.0,32765.0,32804.0,32822.0,32873.0,32929.0,32987.0,33046.0,33081.0,33152.0,33192.0,33249.0
5003905,26100.0,26163.0,26242.0,26340.0,26355.0,26376.0,26400.0,26460.0,26520.0,26580.0,26640.0,26659.0,26720.0,26760.0,26788.0,26827.0,26880.0,26928.0,27000.0,27024.0,27060.0,27120.0,27214.0,27275.0,27300.0,27360.0,27420.0,27480.0,27522.0,27600.0,27660.0,27687.0,27698.0,27720.0,27752.0,27789.0,27840.0,27900.0,27922.0,27960.0,27990.0,28014.0,28046.0,28080.0,28260.0,28352.0,28418.0,28464.0,28497.0,28560.0,28611.0,28668.0,28800.0,28860.0,28890.0,28980.0,29022.0,29040.0,29069.0,29100.0,29165.0,29231.0,29271.0,29351.0,29396.0,29460.0
5004802,49200.0,49263.0,49342.0,49440.0,49469.0,49512.0,49560.0,49680.0,49860.0,49920.0,49980.0,50019.0,50141.0,50220.0,50262.0,50320.0,50400.0,50448.0,50520.0,50568.0,50640.0,50700.0,50825.0,50906.0,50940.0,51000.0,51060.0,51180.0,51264.0,51420.0,51480.0,51534.0,51556.0,51600.0,51695.0,51807.0,51960.0,52080.0,52125.0,52200.0,52260.0,52309.0,52374.0,52440.0,52740.0,52906.0,53024.0,53107.0,53166.0,53280.0,53357.0,53442.0,53640.0,53700.0,53760.0,53940.0,54023.0,54060.0,54117.0,54180.0,54245.0,54311.0,54351.0,54431.0,54476.0,54540.0
5004804,60600.0,60663.0,60742.0,60840.0,60869.0,60912.0,60960.0,61080.0,61260.0,61320.0,61380.0,61419.0,61541.0,61620.0,61662.0,61720.0,61800.0,61872.0,61980.0,62028.0,62100.0,62160.0,62254.0,62315.0,62340.0,62400.0,62460.0,62520.0,62583.0,62700.0,62760.0,62814.0,62836.0,62880.0,62944.0,63019.0,63120.0,63180.0,63225.0,63300.0,63360.0,63409.0,63474.0,63540.0,63780.0,63946.0,64064.0,64147.0,64206.0,64320.0,64397.0,64482.0,64680.0,64740.0,64800.0,64980.0,65063.0,65100.0,65157.0,65220.0,65285.0,65351.0,65391.0,65471.0,65516.0,65580.0
