tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P,054_P,055_P,056_P,057_P
0,324.0,327.0,7113.0,127.0,112.0,113.0,114.0,115.0,37.0,38.0,39.0,40.0,146.0,147.0,184.0,185.0,186.0,187.0,188.0,189.0,190.0,191.0,819.0,7457.0,4725.0,273.0,405.0,408.0,409.0,410.0,411.0,412.0,413.0,414.0,415.0,416.0,417.0,418.0,419.0,420.0,421.0,422.0,423.0,424.0,425.0,426.0,427.0,428.0,429.0,6334.0,7660.0,3114.0,3115.0,3116.0,6085.0,2026.0,7226.0
5004349,32400.0,32519.0,32655.0,32762.0,32855.0,32934.0,32953.0,33024.0,33076.0,33139.0,33176.0,33250.0,33279.0,33332.0,33397.0,33441.0,33516.0,33604.0,33672.0,33748.0,33795.0,33874.0,33954.0,34039.0,34152.0,34363.0,34664.0,34819.0,34854.0,34924.0,34963.0,35069.0,35096.0,35159.0,35203.0,35287.0,35329.0,35376.0,35423.0,35484.0,35543.0,35614.0,35647.0,35694.0,35741.0,35769.0,35828.0,35865.0,35903.0,36018.0,36108.0,36210.0,36247.0,36315.0,36397.0,36466.0,36529.0
5004351,43200.0,43319.0,43455.0,43562.0,43655.0,43734.0,43753.0,43824.0,43876.0,43939.0,43976.0,44050.0,44079.0,44132.0,44197.0,44241.0,44316.0,44404.0,44472.0,44548.0,44595.0,44674.0,44754.0,44839.0,44952.0,45163.0,45464.0,45619.0,45654.0,45724.0,45763.0,45869.0,45896.0,45959.0,46003.0,46087.0,46129.0,46176.0,46223.0,46284.0,46343.0,46414.0,46447.0,46494.0,46541.0,46569.0,46628.0,46665.0,46703.0,46818.0,46908.0,47010.0,47047.0,47115.0,47197.0,47266.0,47329.0
5004353,54000.0,54119.0,54255.0,54362.0,54455.0,54534.0,54553.0,54624.0,54676.0,54739.0,54776.0,54850.0,54879.0,54932.0,54997.0,55041.0,55116.0,55204.0,55272.0,55348.0,55395.0,55474.0,55554.0,55639.0,55752.0,55963.0,56264.0,56419.0,56454.0,56524.0,56563.0,56669.0,56696.0,56759.0,56803.0,56887.0,56929.0,56976.0,57023.0,57084.0,57143.0,57214.0,57247.0,57294.0,57341.0,57369.0,57428.0,57465.0,57503.0,57618.0,57708.0,57810.0,57847.0,57915.0,57997.0,58066.0,58129.0
5004355,66600.0,66714.0,66860.0,66951.0,67030.0,67099.0,67115.0,67177.0,67222.0,67278.0,67311.0,67370.0,67393.0,67436.0,67487.0,67521.0,67579.0,67653.0,67710.0,67774.0,67813.0,67880.0,67948.0,68023.0,68116.0,68312.0,68591.0,68734.0,68763.0,68827.0,68863.0,68960.0,68984.0,69039.0,69082.0,69163.0,69203.0,69248.0,69293.0,69344.0,69394.0,69454.0,69484.0,69526.0,69570.0,69596.0,69641.0,69672.0,69704.0,69801.0,69873.0,69955.0,69988.0,70048.0,70127.0,70190.0,70248.0
5005851,29700.0,29829.0,30041.0,30189.0,30318.0,30414.0,30437.0,30524.0,30588.0,30666.0,30711.0,30815.0,30856.0,30932.0,31024.0,31087.0,31193.0,31291.0,31361.0,31439.0,31500.0,31604.0,31710.0,31787.0,31910.0,32163.0,32522.0,32707.0,32742.0,32813.0,32853.0,32960.0,32991.0,33061.0,33105.0,33187.0,33236.0,33291.0,33345.0,33403.0,33459.0,33526.0,33565.0,33621.0,33670.0,33699.0,33746.0,33779.0,33814.0,33910.0,33997.0,34096.0,34132.0,34198.0,34272.0,34347.0,34415.0
5005853,41400.0,41519.0,41655.0,41762.0,41855.0,41934.0,41953.0,42024.0,42076.0,42139.0,42176.0,42250.0,42279.0,42332.0,42397.0,42441.0,42516.0,42604.0,42672.0,42748.0,42795.0,42874.0,42954.0,43039.0,43152.0,43363.0,43664.0,43819.0,43854.0,43924.0,43963.0,44069.0,44096.0,44159.0,44203.0,44287.0,44329.0,44376.0,44423.0,44484.0,44543.0,44614.0,44647.0,44694.0,44741.0,44769.0,44828.0,44865.0,44903.0,45018.0,45108.0,45210.0,45247.0,45315.0,45397.0,45466.0,45529.0
5005855,52200.0,52319.0,52455.0,52562.0,52655.0,52734.0,52753.0,52824.0,52876.0,52939.0,52976.0,53050.0,53079.0,53132.0,53197.0,53241.0,53316.0,53404.0,53472.0,53548.0,53595.0,53674.0,53754.0,53839.0,53952.0,54163.0,54464.0,54619.0,54654.0,54724.0,54763.0,54869.0,54896.0,54959.0,55003.0,55087.0,55129.0,55176.0,55223.0,55284.0,55343.0,55414.0,55447.0,55494.0,55541.0,55569.0,55628.0,55665.0,55703.0,55818.0,55908.0,56010.0,56047.0,56115.0,56197.0,56266.0,56329.0
5005857,63900.0,64034.0,64281.0,64380.0,64466.0,64551.0,64571.0,64647.0,64703.0,64771.0,64811.0,64874.0,64899.0,64945.0,65000.0,65041.0,65111.0,65192.0,65246.0,65307.0,65352.0,65429.0,65506.0,65595.0,65708.0,65958.0,66313.0,66496.0,66528.0,66601.0,66642.0,66753.0,66783.0,66852.0,66900.0,66990.0,67052.0,67122.0,67191.0,67279.0,67365.0,67468.0,67504.0,67556.0,67615.0,67650.0,67708.0,67745.0,67783.0,67896.0,67983.0,68082.0,68119.0,68188.0,68271.0,68338.0,68399.0
5006442,27000.0,27115.0,27271.0,27387.0,27488.0,27578.0,27599.0,27680.0,27739.0,27811.0,27853.0,28009.0,28071.0,28184.0,28321.0,28398.0,28528.0,28622.0,28693.0,28774.0,28833.0,28933.0,29035.0,29118.0,29267.0,29498.0,29827.0,29997.0,30043.0,30127.0,30174.0,30301.0,30332.0,30404.0,30461.0,30567.0,30621.0,30681.0,30741.0,30805.0,30867.0,30941.0,31002.0,31090.0,31139.0,31167.0,31224.0,31265.0,31307.0,31401.0,31486.0,31583.0,31620.0,31689.0,31775.0,31863.0,31943.0
