tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P
0,342.0,1279.0,1934.0,2385.0,2386.0,2387.0,2388.0,1290.0,1291.0,2389.0,2390.0,2391.0,2392.0,2393.0,2394.0,2395.0,2396.0,2397.0,2398.0,2399.0,2400.0,2401.0,2402.0,2403.0,1096.0,1097.0,1099.0,6132.0,2551.0,2553.0,2554.0,2555.0,2556.0,2557.0,4436.0,5008.0,4640.0,7214.0,4347.0,2349.0,2351.0,2558.0,6170.0,5023.0,5024.0
5004040,40500.0,40623.0,40702.0,40871.0,40963.0,40984.0,41019.0,41102.0,41155.0,41234.0,41326.0,41366.0,41432.0,41493.0,41526.0,41583.0,41634.0,41667.0,41688.0,41713.0,41754.0,41783.0,41834.0,41892.0,41945.0,41992.0,42021.0,42120.0,42206.0,42289.0,42343.0,42430.0,42504.0,42606.0,42668.0,42727.0,42791.0,42853.0,42881.0,42930.0,43008.0,43059.0,43160.0,43197.0,43276.0
5004042,49500.0,49639.0,49729.0,49921.0,50018.0,50042.0,50081.0,50200.0,50296.0,50400.0,50522.0,50575.0,50663.0,50741.0,50783.0,50823.0,50889.0,50931.0,50956.0,50986.0,51034.0,51065.0,51119.0,51180.0,51236.0,51286.0,51317.0,51418.0,51497.0,51602.0,51657.0,51732.0,51832.0,51970.0,52028.0,52084.0,52145.0,52203.0,52229.0,52277.0,52354.0,52421.0,52520.0,52556.0,52633.0
5004044,58500.0,58639.0,58729.0,58920.0,59017.0,59035.0,59066.0,59168.0,59262.0,59342.0,59436.0,59476.0,59544.0,59596.0,59624.0,59651.0,59711.0,59750.0,59769.0,59791.0,59827.0,59857.0,59910.0,59970.0,60025.0,60074.0,60104.0,60196.0,60261.0,60352.0,60408.0,60486.0,60577.0,60703.0,60780.0,60854.0,60934.0,61011.0,61047.0,61102.0,61188.0,61257.0,61363.0,61402.0,61484.0
5005699,61200.0,61359.0,61462.0,61680.0,61800.0,61845.0,61920.0,62040.0,62100.0,62202.0,62322.0,62374.0,62460.0,62538.0,62580.0,62640.0,62713.0,62760.0,62789.0,62824.0,62880.0,62912.0,62970.0,63035.0,63094.0,63147.0,63180.0,63300.0,63360.0,63480.0,63540.0,63600.0,63650.0,63720.0,63774.0,63826.0,63882.0,63936.0,63960.0,64030.0,64140.0,64200.0,64284.0,64315.0,64380.0
5007503,42300.0,42423.0,42502.0,42671.0,42763.0,42784.0,42819.0,42902.0,42955.0,43034.0,43126.0,43166.0,43232.0,43293.0,43326.0,43383.0,43434.0,43467.0,43488.0,43513.0,43554.0,43583.0,43634.0,43692.0,43745.0,43792.0,43821.0,43920.0,44006.0,44089.0,44143.0,44230.0,44304.0,44406.0,44468.0,44527.0,44591.0,44653.0,44681.0,44730.0,44808.0,44859.0,44960.0,44997.0,45076.0
5007505,51300.0,51439.0,51529.0,51721.0,51818.0,51842.0,51881.0,52000.0,52096.0,52200.0,52322.0,52375.0,52463.0,52541.0,52583.0,52623.0,52689.0,52731.0,52756.0,52786.0,52834.0,52865.0,52919.0,52980.0,53036.0,53086.0,53117.0,53218.0,53297.0,53402.0,53457.0,53532.0,53632.0,53770.0,53828.0,53884.0,53945.0,54003.0,54029.0,54077.0,54154.0,54221.0,54320.0,54356.0,54433.0
5007507,60300.0,60439.0,60529.0,60720.0,60817.0,60835.0,60866.0,60968.0,61062.0,61142.0,61236.0,61276.0,61344.0,61396.0,61424.0,61451.0,61511.0,61550.0,61569.0,61591.0,61627.0,61657.0,61710.0,61770.0,61825.0,61874.0,61904.0,61996.0,62061.0,62152.0,62208.0,62286.0,62377.0,62503.0,62580.0,62654.0,62734.0,62811.0,62847.0,62902.0,62988.0,63057.0,63163.0,63202.0,63284.0
5007509,68400.0,68537.0,68626.0,68815.0,68873.0,68899.0,68942.0,69025.0,69117.0,69202.0,69302.0,69345.0,69416.0,69488.0,69527.0,69563.0,69610.0,69640.0,69662.0,69688.0,69730.0,69759.0,69811.0,69870.0,69924.0,69972.0,70002.0,70089.0,70150.0,70226.0,70282.0,70354.0,70425.0,70522.0,70586.0,70648.0,70715.0,70779.0,70807.0,70858.0,70939.0,70988.0,71084.0,71119.0,71194.0
5007511,75600.0,75742.0,75834.0,76028.0,76105.0,76126.0,76160.0,76273.0,76352.0,76404.0,76465.0,76491.0,76534.0,76603.0,76640.0,76667.0,76725.0,76762.0,76782.0,76806.0,76843.0,76868.0,76913.0,76964.0,77010.0,77051.0,77076.0,77162.0,77212.0,77288.0,77336.0,77420.0,77475.0,77551.0,77597.0,77642.0,77690.0,77736.0,77757.0,77801.0,77871.0,77921.0,78014.0,78048.0,78120.0
5007513,84600.0,84742.0,84834.0,85028.0,85105.0,85126.0,85160.0,85273.0,85352.0,85404.0,85465.0,85491.0,85534.0,85603.0,85640.0,85667.0,85725.0,85762.0,85782.0,85806.0,85843.0,85868.0,85913.0,85964.0,86010.0,86051.0,86076.0,86162.0,86212.0,86288.0,86336.0,86420.0,86475.0,86551.0,86597.0,86642.0,86690.0,86736.0,86757.0,86801.0,86871.0,86921.0,87014.0,87048.0,87120.0
5007708,32400.0,32505.0,32573.0,32717.0,32801.0,32826.0,32868.0,32996.0,33160.0,33234.0,33321.0,33358.0,33421.0,33495.0,33534.0,33567.0,33626.0,33664.0,33683.0,33706.0,33742.0,33773.0,33828.0,33890.0,33946.0,33996.0,34026.0,34111.0,34181.0,34259.0,34316.0,34397.0,34481.0,34598.0,34664.0,34728.0,34797.0,34863.0,34894.0,34947.0,35031.0,35077.0,35171.0,35206.0,35279.0
5007710,41400.0,41517.0,41593.0,41755.0,41841.0,41861.0,41895.0,41990.0,42082.0,42154.0,42238.0,42274.0,42335.0,42402.0,42438.0,42480.0,42543.0,42583.0,42604.0,42629.0,42669.0,42698.0,42749.0,42807.0,42860.0,42907.0,42936.0,43022.0,43087.0,43178.0,43233.0,43327.0,43445.0,43608.0,43675.0,43739.0,43808.0,43875.0,43905.0,43956.0,44036.0,44094.0,44195.0,44232.0,44309.0
5007712,50400.0,50527.0,50609.0,50784.0,50887.0,50916.0,50963.0,51111.0,51198.0,51279.0,51374.0,51415.0,51483.0,51562.0,51604.0,51647.0,51708.0,51747.0,51770.0,51798.0,51843.0,51875.0,51933.0,51998.0,52057.0,52110.0,52144.0,52234.0,52308.0,52406.0,52468.0,52560.0,52667.0,52815.0,52887.0,52957.0,53032.0,53104.0,53137.0,53189.0,53271.0,53340.0,53447.0,53486.0,53569.0
5007714,59400.0,59541.0,59632.0,59825.0,59911.0,59937.0,59979.0,60117.0,60199.0,60289.0,60395.0,60440.0,60516.0,60611.0,60662.0,60710.0,60774.0,60816.0,60846.0,60881.0,60937.0,60973.0,61038.0,61111.0,61178.0,61237.0,61275.0,61409.0,61534.0,61657.0,61733.0,61821.0,61920.0,62057.0,62138.0,62216.0,62300.0,62381.0,62418.0,62475.0,62564.0,62634.0,62737.0,62775.0,62854.0
5007716,68400.0,68526.0,68608.0,68782.0,68876.0,68897.0,68933.0,69068.0,69159.0,69244.0,69344.0,69387.0,69459.0,69533.0,69572.0,69616.0,69678.0,69718.0,69738.0,69762.0,69801.0,69829.0,69880.0,69937.0,69989.0,70035.0,70065.0,70146.0,70210.0,70288.0,70340.0,70419.0,70486.0,70579.0,70635.0,70689.0,70748.0,70804.0,70830.0,70881.0,70961.0,71008.0,71105.0,71141.0,71215.0
5008401,80400.0,80513.0,80586.0,80743.0,80809.0,80829.0,80861.0,80946.0,80991.0,81054.0,81128.0,81160.0,81213.0,81274.0,81307.0,81341.0,81397.0,81433.0,81453.0,81477.0,81514.0,81537.0,81578.0,81624.0,81666.0,81703.0,81727.0,81808.0,81863.0,81942.0,81992.0,82059.0,82113.0,82188.0,82237.0,82284.0,82335.0,82384.0,82406.0,82449.0,82517.0,82561.0,82651.0,82684.0,82753.0
5008900,26400.0,26476.0,26525.0,26631.0,26729.0,26744.0,26770.0,26969.0,27089.0,27180.0,27287.0,27333.0,27410.0,27515.0,27571.0,27621.0,27687.0,27730.0,27753.0,27780.0,27823.0,27860.0,27927.0,28002.0,28070.0,28131.0,28169.0,28251.0,28329.0,28520.0,28589.0,28685.0,28768.0,28882.0,28946.0,29008.0,29075.0,29139.0,29169.0,29229.0,29323.0,29405.0,29497.0,29531.0,29601.0
5008902,36000.0,36117.0,36193.0,36355.0,36441.0,36461.0,36495.0,36590.0,36682.0,36754.0,36838.0,36874.0,36935.0,37002.0,37038.0,37080.0,37143.0,37183.0,37204.0,37229.0,37269.0,37298.0,37349.0,37407.0,37460.0,37507.0,37536.0,37622.0,37687.0,37778.0,37833.0,37927.0,38045.0,38208.0,38275.0,38339.0,38408.0,38475.0,38505.0,38556.0,38636.0,38694.0,38795.0,38832.0,38909.0
5008904,45000.0,45127.0,45209.0,45384.0,45487.0,45516.0,45563.0,45711.0,45798.0,45879.0,45974.0,46015.0,46083.0,46162.0,46204.0,46247.0,46308.0,46347.0,46370.0,46398.0,46443.0,46475.0,46533.0,46598.0,46657.0,46710.0,46744.0,46834.0,46908.0,47006.0,47068.0,47160.0,47267.0,47415.0,47487.0,47557.0,47632.0,47704.0,47737.0,47789.0,47871.0,47940.0,48047.0,48086.0,48169.0
5008906,54000.0,54141.0,54232.0,54425.0,54511.0,54537.0,54579.0,54717.0,54799.0,54889.0,54995.0,55040.0,55116.0,55211.0,55262.0,55310.0,55374.0,55416.0,55446.0,55481.0,55537.0,55573.0,55638.0,55711.0,55778.0,55837.0,55875.0,56009.0,56134.0,56257.0,56333.0,56421.0,56520.0,56657.0,56738.0,56816.0,56900.0,56981.0,57018.0,57075.0,57164.0,57234.0,57337.0,57375.0,57454.0
5008908,63000.0,63146.0,63240.0,63441.0,63536.0,63571.0,63629.0,63882.0,64007.0,64110.0,64231.0,64283.0,64371.0,64487.0,64549.0,64609.0,64684.0,64732.0,64754.0,64780.0,64822.0,64862.0,64934.0,65015.0,65089.0,65155.0,65197.0,65295.0,65412.0,65523.0,65587.0,65672.0,65762.0,65886.0,65958.0,66028.0,66103.0,66175.0,66208.0,66263.0,66349.0,66408.0,66502.0,66537.0,66609.0
5008910,72000.0,72126.0,72208.0,72382.0,72476.0,72497.0,72533.0,72668.0,72759.0,72844.0,72944.0,72987.0,73059.0,73133.0,73172.0,73216.0,73278.0,73318.0,73338.0,73362.0,73401.0,73429.0,73480.0,73537.0,73589.0,73635.0,73665.0,73746.0,73810.0,73888.0,73940.0,74019.0,74086.0,74179.0,74235.0,74289.0,74348.0,74404.0,74430.0,74481.0,74561.0,74608.0,74705.0,74741.0,74815.0
5009754,36900.0,37023.0,37102.0,37271.0,37363.0,37384.0,37419.0,37502.0,37555.0,37634.0,37726.0,37766.0,37832.0,37893.0,37926.0,37983.0,38034.0,38067.0,38088.0,38113.0,38154.0,38183.0,38234.0,38292.0,38345.0,38392.0,38421.0,38520.0,38606.0,38689.0,38743.0,38830.0,38904.0,39006.0,39068.0,39127.0,39191.0,39253.0,39281.0,39330.0,39408.0,39459.0,39560.0,39597.0,39676.0
5009756,45900.0,46039.0,46129.0,46321.0,46418.0,46442.0,46481.0,46600.0,46696.0,46800.0,46922.0,46975.0,47063.0,47141.0,47183.0,47223.0,47289.0,47331.0,47356.0,47386.0,47434.0,47465.0,47519.0,47580.0,47636.0,47686.0,47717.0,47818.0,47897.0,48002.0,48057.0,48132.0,48232.0,48370.0,48428.0,48484.0,48545.0,48603.0,48629.0,48677.0,48754.0,48821.0,48920.0,48956.0,49033.0
5009758,54900.0,55039.0,55129.0,55320.0,55417.0,55435.0,55466.0,55568.0,55662.0,55742.0,55836.0,55876.0,55944.0,55996.0,56024.0,56051.0,56111.0,56150.0,56169.0,56191.0,56227.0,56257.0,56310.0,56370.0,56425.0,56474.0,56504.0,56596.0,56661.0,56752.0,56808.0,56886.0,56977.0,57103.0,57180.0,57254.0,57334.0,57411.0,57447.0,57502.0,57588.0,57657.0,57763.0,57802.0,57884.0
5010117,30600.0,30702.0,30768.0,30908.0,30996.0,31023.0,31068.0,31263.0,31395.0,31494.0,31610.0,31660.0,31743.0,31826.0,31871.0,31945.0,32005.0,32043.0,32071.0,32105.0,32159.0,32203.0,32281.0,32369.0,32449.0,32520.0,32564.0,32718.0,32842.0,32984.0,33066.0,33179.0,33291.0,33446.0,33511.0,33574.0,33642.0,33707.0,33737.0,33790.0,33874.0,33940.0,34041.0,34078.0,34157.0
5010119,39600.0,39717.0,39793.0,39955.0,40041.0,40061.0,40095.0,40190.0,40282.0,40354.0,40438.0,40474.0,40535.0,40602.0,40638.0,40680.0,40743.0,40783.0,40804.0,40829.0,40869.0,40898.0,40949.0,41007.0,41060.0,41107.0,41136.0,41222.0,41287.0,41378.0,41433.0,41527.0,41645.0,41808.0,41875.0,41939.0,42008.0,42075.0,42105.0,42156.0,42236.0,42294.0,42395.0,42432.0,42509.0
5010121,48600.0,48727.0,48809.0,48984.0,49087.0,49116.0,49163.0,49311.0,49398.0,49479.0,49574.0,49615.0,49683.0,49762.0,49804.0,49847.0,49908.0,49947.0,49970.0,49998.0,50043.0,50075.0,50133.0,50198.0,50257.0,50310.0,50344.0,50434.0,50508.0,50606.0,50668.0,50760.0,50867.0,51015.0,51087.0,51157.0,51232.0,51304.0,51337.0,51389.0,51471.0,51540.0,51647.0,51686.0,51769.0
5010123,57600.0,57741.0,57832.0,58025.0,58111.0,58137.0,58179.0,58317.0,58399.0,58489.0,58595.0,58640.0,58716.0,58811.0,58862.0,58910.0,58974.0,59016.0,59046.0,59081.0,59137.0,59173.0,59238.0,59311.0,59378.0,59437.0,59475.0,59609.0,59734.0,59857.0,59933.0,60021.0,60120.0,60257.0,60338.0,60416.0,60500.0,60581.0,60618.0,60675.0,60764.0,60834.0,60937.0,60975.0,61054.0
5010125,66600.0,66736.0,66824.0,67010.0,67088.0,67124.0,67185.0,67428.0,67536.0,67627.0,67734.0,67780.0,67857.0,67963.0,68019.0,68076.0,68139.0,68180.0,68208.0,68241.0,68295.0,68328.0,68387.0,68454.0,68515.0,68569.0,68602.0,68685.0,68795.0,68884.0,68940.0,69015.0,69077.0,69163.0,69221.0,69277.0,69338.0,69396.0,69423.0,69478.0,69565.0,69610.0,69701.0,69734.0,69804.0
5015647,28800.0,28902.0,28968.0,29108.0,29196.0,29223.0,29268.0,29463.0,29595.0,29694.0,29810.0,29860.0,29943.0,30026.0,30071.0,30145.0,30205.0,30243.0,30271.0,30305.0,30359.0,30403.0,30481.0,30569.0,30649.0,30720.0,30764.0,30918.0,31042.0,31184.0,31266.0,31379.0,31491.0,31646.0,31711.0,31774.0,31842.0,31907.0,31937.0,31990.0,32074.0,32140.0,32241.0,32278.0,32357.0
5015649,37800.0,37917.0,37993.0,38155.0,38241.0,38261.0,38295.0,38390.0,38482.0,38554.0,38638.0,38674.0,38735.0,38802.0,38838.0,38880.0,38943.0,38983.0,39004.0,39029.0,39069.0,39098.0,39149.0,39207.0,39260.0,39307.0,39336.0,39422.0,39487.0,39578.0,39633.0,39727.0,39845.0,40008.0,40075.0,40139.0,40208.0,40275.0,40305.0,40356.0,40436.0,40494.0,40595.0,40632.0,40709.0
5015651,46800.0,46927.0,47009.0,47184.0,47287.0,47316.0,47363.0,47511.0,47598.0,47679.0,47774.0,47815.0,47883.0,47962.0,48004.0,48047.0,48108.0,48147.0,48170.0,48198.0,48243.0,48275.0,48333.0,48398.0,48457.0,48510.0,48544.0,48634.0,48708.0,48806.0,48868.0,48960.0,49067.0,49215.0,49287.0,49357.0,49432.0,49504.0,49537.0,49589.0,49671.0,49740.0,49847.0,49886.0,49969.0
5015653,55800.0,55941.0,56032.0,56225.0,56311.0,56337.0,56379.0,56517.0,56599.0,56689.0,56795.0,56840.0,56916.0,57011.0,57062.0,57110.0,57174.0,57216.0,57246.0,57281.0,57337.0,57373.0,57438.0,57511.0,57578.0,57637.0,57675.0,57809.0,57934.0,58057.0,58133.0,58221.0,58320.0,58457.0,58538.0,58616.0,58700.0,58781.0,58818.0,58875.0,58964.0,59034.0,59137.0,59175.0,59254.0
5015655,64800.0,64936.0,65024.0,65210.0,65288.0,65324.0,65385.0,65628.0,65736.0,65827.0,65934.0,65980.0,66057.0,66163.0,66219.0,66276.0,66339.0,66380.0,66408.0,66441.0,66495.0,66528.0,66587.0,66654.0,66715.0,66769.0,66802.0,66885.0,66995.0,67084.0,67140.0,67215.0,67277.0,67363.0,67421.0,67477.0,67538.0,67596.0,67623.0,67678.0,67765.0,67810.0,67901.0,67934.0,68004.0
5016429,24000.0,24095.0,24157.0,24288.0,24355.0,24378.0,24417.0,24554.0,24689.0,24759.0,24842.0,24878.0,24937.0,24997.0,25029.0,25056.0,25122.0,25164.0,25182.0,25203.0,25238.0,25261.0,25303.0,25350.0,25393.0,25431.0,25454.0,25533.0,25609.0,25685.0,25741.0,25817.0,25878.0,25962.0,26022.0,26080.0,26142.0,26202.0,26229.0,26274.0,26344.0,26419.0,26512.0,26546.0,26617.0
5016431,34200.0,34305.0,34373.0,34517.0,34601.0,34626.0,34668.0,34796.0,34960.0,35034.0,35121.0,35158.0,35221.0,35295.0,35334.0,35367.0,35426.0,35464.0,35483.0,35506.0,35542.0,35573.0,35628.0,35690.0,35746.0,35796.0,35826.0,35911.0,35981.0,36059.0,36116.0,36197.0,36281.0,36398.0,36464.0,36528.0,36597.0,36663.0,36694.0,36747.0,36831.0,36877.0,36971.0,37006.0,37079.0
5016433,43200.0,43327.0,43409.0,43584.0,43687.0,43716.0,43763.0,43911.0,43998.0,44079.0,44174.0,44215.0,44283.0,44362.0,44404.0,44447.0,44508.0,44547.0,44570.0,44598.0,44643.0,44675.0,44733.0,44798.0,44857.0,44910.0,44944.0,45034.0,45108.0,45206.0,45268.0,45360.0,45467.0,45615.0,45687.0,45757.0,45832.0,45904.0,45937.0,45989.0,46071.0,46140.0,46247.0,46286.0,46369.0
5016435,52200.0,52327.0,52409.0,52584.0,52687.0,52716.0,52763.0,52911.0,52998.0,53079.0,53174.0,53215.0,53283.0,53362.0,53404.0,53447.0,53508.0,53547.0,53570.0,53598.0,53643.0,53675.0,53733.0,53798.0,53857.0,53910.0,53944.0,54034.0,54108.0,54206.0,54268.0,54360.0,54467.0,54615.0,54687.0,54757.0,54832.0,54904.0,54937.0,54989.0,55071.0,55140.0,55247.0,55286.0,55369.0
5016437,61200.0,61346.0,61440.0,61641.0,61736.0,61771.0,61829.0,62082.0,62207.0,62310.0,62431.0,62483.0,62571.0,62687.0,62749.0,62809.0,62884.0,62932.0,62954.0,62980.0,63022.0,63062.0,63134.0,63215.0,63289.0,63355.0,63397.0,63495.0,63612.0,63723.0,63787.0,63872.0,63962.0,64086.0,64158.0,64228.0,64303.0,64375.0,64408.0,64463.0,64549.0,64608.0,64702.0,64737.0,64809.0
5016439,70200.0,70326.0,70408.0,70582.0,70676.0,70697.0,70733.0,70868.0,70959.0,71044.0,71144.0,71187.0,71259.0,71333.0,71372.0,71416.0,71478.0,71518.0,71538.0,71562.0,71601.0,71629.0,71680.0,71737.0,71789.0,71835.0,71865.0,71946.0,72010.0,72088.0,72140.0,72219.0,72286.0,72379.0,72435.0,72489.0,72548.0,72604.0,72630.0,72681.0,72761.0,72808.0,72905.0,72941.0,73015.0
5016440,76200.0,76313.0,76386.0,76543.0,76609.0,76629.0,76661.0,76746.0,76791.0,76854.0,76928.0,76960.0,77013.0,77074.0,77107.0,77141.0,77197.0,77233.0,77253.0,77277.0,77314.0,77337.0,77378.0,77424.0,77466.0,77503.0,77527.0,77608.0,77663.0,77742.0,77792.0,77859.0,77913.0,77988.0,78037.0,78084.0,78135.0,78184.0,78206.0,78249.0,78317.0,78361.0,78451.0,78484.0,78553.0
