tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P
0,5161.0,5162.0,2571.0,2359.0,2360.0,4348.0,4646.0,4647.0,4435.0,2594.0,2595.0,2596.0,2597.0,2599.0,4577.0,4578.0,1100.0,100.0,1111.0,2404.0,2405.0,2406.0,2408.0,2409.0,2410.0,2411.0,2412.0,2438.0,2439.0,2440.0,2441.0,2442.0,2443.0,2444.0,1344.0,1345.0,1347.0,2634.0,2635.0,2636.0,2383.0,2003.0,1358.0,342.0
5004041,45000.0,45083.0,45219.0,45301.0,45376.0,45461.0,45543.0,45582.0,45726.0,45834.0,45898.0,45984.0,46046.0,46135.0,46184.0,46225.0,46289.0,46324.0,46363.0,46448.0,46505.0,46585.0,46649.0,46671.0,46701.0,46732.0,46802.0,46872.0,46916.0,47001.0,47080.0,47162.0,47210.0,47292.0,47366.0,47450.0,47570.0,47622.0,47661.0,47727.0,47803.0,47983.0,48056.0,48313.0
5004043,54000.0,54084.0,54221.0,54298.0,54372.0,54456.0,54543.0,54584.0,54736.0,54850.0,54906.0,54973.0,55028.0,55131.0,55179.0,55218.0,55284.0,55317.0,55353.0,55432.0,55485.0,55559.0,55610.0,55628.0,55652.0,55676.0,55727.0,55778.0,55810.0,55881.0,55947.0,56010.0,56047.0,56110.0,56166.0,56208.0,56268.0,56315.0,56351.0,56408.0,56472.0,56617.0,56691.0,56952.0
5004045,63000.0,63067.0,63176.0,63245.0,63322.0,63410.0,63489.0,63526.0,63665.0,63769.0,63817.0,63886.0,63947.0,64063.0,64107.0,64144.0,64207.0,64239.0,64275.0,64353.0,64405.0,64478.0,64530.0,64548.0,64573.0,64599.0,64659.0,64718.0,64758.0,64820.0,64878.0,64963.0,65013.0,65098.0,65175.0,65240.0,65334.0,65370.0,65398.0,65443.0,65494.0,65664.0,65746.0,66034.0
5005698,57600.0,57675.0,57797.0,57919.0,57993.0,58077.0,58158.0,58196.0,58338.0,58445.0,58512.0,58593.0,58652.0,58757.0,58792.0,58821.0,58880.0,58910.0,58943.0,59016.0,59065.0,59133.0,59190.0,59210.0,59237.0,59265.0,59326.0,59386.0,59422.0,59502.0,59577.0,59637.0,59672.0,59732.0,59787.0,59852.0,59945.0,59988.0,60020.0,60076.0,60140.0,60277.0,60345.0,60584.0
5007500,27000.0,27068.0,27180.0,27240.0,27296.0,27360.0,27426.0,27457.0,27573.0,27660.0,27720.0,27780.0,27840.0,27960.0,27993.0,28020.0,28080.0,28101.0,28125.0,28177.0,28212.0,28260.0,28312.0,28330.0,28355.0,28380.0,28440.0,28500.0,28560.0,28591.0,28620.0,28671.0,28701.0,28753.0,28800.0,28825.0,28860.0,28894.0,28920.0,28976.0,29040.0,29160.0,29240.0,29520.0
5007502,37800.0,37884.0,38021.0,38095.0,38155.0,38223.0,38316.0,38360.0,38522.0,38644.0,38703.0,38782.0,38839.0,38940.0,39000.0,39050.0,39115.0,39147.0,39183.0,39262.0,39315.0,39388.0,39464.0,39490.0,39526.0,39563.0,39639.0,39715.0,39748.0,39831.0,39909.0,39980.0,40022.0,40094.0,40159.0,40209.0,40282.0,40339.0,40383.0,40443.0,40511.0,40649.0,40718.0,40960.0
5007504,46800.0,46883.0,47019.0,47101.0,47176.0,47261.0,47343.0,47382.0,47526.0,47634.0,47698.0,47784.0,47846.0,47935.0,47984.0,48025.0,48089.0,48124.0,48163.0,48248.0,48305.0,48385.0,48449.0,48471.0,48501.0,48532.0,48602.0,48672.0,48716.0,48801.0,48880.0,48962.0,49010.0,49092.0,49166.0,49250.0,49370.0,49422.0,49461.0,49527.0,49603.0,49783.0,49856.0,50113.0
5007506,55800.0,55884.0,56021.0,56098.0,56172.0,56256.0,56343.0,56384.0,56536.0,56650.0,56706.0,56773.0,56828.0,56931.0,56979.0,57018.0,57084.0,57117.0,57153.0,57232.0,57285.0,57359.0,57410.0,57428.0,57452.0,57476.0,57527.0,57578.0,57610.0,57681.0,57747.0,57810.0,57847.0,57910.0,57966.0,58008.0,58068.0,58115.0,58151.0,58208.0,58272.0,58417.0,58491.0,58752.0
5007508,64800.0,64872.0,64989.0,65064.0,65133.0,65211.0,65297.0,65338.0,65489.0,65603.0,65674.0,65738.0,65793.0,65886.0,65933.0,65972.0,66024.0,66048.0,66075.0,66134.0,66174.0,66230.0,66299.0,66323.0,66356.0,66389.0,66446.0,66502.0,66528.0,66579.0,66626.0,66695.0,66736.0,66805.0,66868.0,66908.0,66966.0,67020.0,67061.0,67134.0,67216.0,67376.0,67458.0,67746.0
5007510,72000.0,72063.0,72165.0,72237.0,72314.0,72401.0,72481.0,72519.0,72659.0,72765.0,72813.0,72872.0,72926.0,73038.0,73090.0,73133.0,73199.0,73230.0,73265.0,73341.0,73392.0,73462.0,73519.0,73539.0,73566.0,73593.0,73667.0,73741.0,73776.0,73841.0,73902.0,73964.0,74000.0,74062.0,74120.0,74167.0,74235.0,74296.0,74343.0,74392.0,74448.0,74597.0,74679.0,74967.0
5007512,80100.0,80168.0,80279.0,80342.0,80407.0,80481.0,80556.0,80591.0,80723.0,80823.0,80882.0,80944.0,81000.0,81099.0,81161.0,81213.0,81268.0,81292.0,81319.0,81378.0,81417.0,81472.0,81527.0,81546.0,81572.0,81599.0,81634.0,81669.0,81692.0,81735.0,81776.0,81815.0,81838.0,81877.0,81914.0,81952.0,82006.0,82058.0,82097.0,82144.0,82198.0,82361.0,82443.0,82731.0
5007707,27600.0,27674.0,27794.0,27867.0,27936.0,28014.0,28102.0,28143.0,28297.0,28412.0,28471.0,28545.0,28612.0,28735.0,28787.0,28831.0,28905.0,28963.0,29028.0,29170.0,29265.0,29397.0,29483.0,29513.0,29554.0,29596.0,29700.0,29802.0,29858.0,29954.0,30043.0,30145.0,30205.0,30307.0,30399.0,30482.0,30602.0,30656.0,30697.0,30814.0,30947.0,31164.0,31244.0,31524.0
5007709,36900.0,36982.0,37115.0,37188.0,37254.0,37329.0,37429.0,37476.0,37652.0,37786.0,37841.0,37918.0,37976.0,38072.0,38114.0,38149.0,38209.0,38239.0,38273.0,38347.0,38396.0,38464.0,38524.0,38545.0,38574.0,38602.0,38664.0,38726.0,38756.0,38825.0,38890.0,38946.0,38979.0,39035.0,39085.0,39154.0,39253.0,39303.0,39341.0,39410.0,39488.0,39657.0,39731.0,39992.0
5007711,45900.0,45984.0,46121.0,46202.0,46271.0,46350.0,46450.0,46497.0,46673.0,46805.0,46861.0,46946.0,47008.0,47106.0,47151.0,47188.0,47249.0,47284.0,47323.0,47409.0,47467.0,47548.0,47611.0,47633.0,47663.0,47694.0,47757.0,47819.0,47852.0,47931.0,48004.0,48065.0,48101.0,48163.0,48219.0,48282.0,48372.0,48425.0,48465.0,48524.0,48591.0,48745.0,48818.0,49073.0
