tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P,054_P,055_P
0,395.0,396.0,397.0,398.0,399.0,400.0,4522.0,1934.0,2310.0,2311.0,2312.0,2313.0,2314.0,2315.0,2094.0,1406.0,1407.0,1409.0,2095.0,2096.0,2097.0,2099.0,2101.0,2102.0,2726.0,2727.0,2105.0,2728.0,2729.0,2730.0,6083.0,2733.0,2734.0,5169.0,2735.0,2736.0,2725.0,2737.0,2738.0,2739.0,7177.0,2740.0,2741.0,2742.0,2743.0,2745.0,2746.0,2747.0,2748.0,7062.0,6075.0,2631.0,2359.0,2360.0,4340.0
5005559,26400.0,26435.0,26455.0,26477.0,26495.0,26528.0,26714.0,26778.0,26861.0,26939.0,26983.0,27007.0,27025.0,27060.0,27102.0,27132.0,27172.0,27207.0,27242.0,27271.0,27296.0,27347.0,27359.0,27413.0,27444.0,27461.0,27495.0,27549.0,27584.0,27602.0,27648.0,27686.0,27705.0,27762.0,27785.0,27810.0,27836.0,27980.0,28004.0,28036.0,28062.0,28126.0,28161.0,28186.0,28205.0,28295.0,28309.0,28331.0,28369.0,28424.0,28451.0,28470.0,28513.0,28551.0,28609.0
5005561,35100.0,35175.0,35217.0,35265.0,35305.0,35377.0,35598.0,35699.0,35831.0,35937.0,36016.0,36059.0,36086.0,36142.0,36210.0,36285.0,36347.0,36402.0,36454.0,36497.0,36532.0,36615.0,36635.0,36723.0,36763.0,36785.0,36829.0,36902.0,36934.0,36950.0,36993.0,37028.0,37046.0,37107.0,37132.0,37159.0,37187.0,37343.0,37369.0,37404.0,37432.0,37500.0,37561.0,37589.0,37611.0,37713.0,37731.0,37759.0,37805.0,37878.0,37909.0,37932.0,37993.0,38047.0,38131.0
5005563,44100.0,44175.0,44217.0,44265.0,44305.0,44377.0,44598.0,44699.0,44831.0,44937.0,45016.0,45059.0,45086.0,45142.0,45210.0,45285.0,45347.0,45402.0,45454.0,45497.0,45532.0,45615.0,45635.0,45723.0,45763.0,45785.0,45829.0,45902.0,45934.0,45950.0,45993.0,46028.0,46046.0,46107.0,46132.0,46159.0,46187.0,46343.0,46369.0,46404.0,46432.0,46500.0,46561.0,46589.0,46611.0,46713.0,46731.0,46759.0,46805.0,46878.0,46909.0,46932.0,46993.0,47047.0,47131.0
5005565,53100.0,53175.0,53217.0,53265.0,53305.0,53377.0,53598.0,53699.0,53831.0,53937.0,54016.0,54059.0,54086.0,54142.0,54210.0,54285.0,54347.0,54402.0,54454.0,54497.0,54532.0,54615.0,54635.0,54723.0,54763.0,54785.0,54829.0,54902.0,54934.0,54950.0,54993.0,55028.0,55046.0,55107.0,55132.0,55159.0,55187.0,55343.0,55369.0,55404.0,55432.0,55500.0,55561.0,55589.0,55611.0,55713.0,55731.0,55759.0,55805.0,55878.0,55909.0,55932.0,55993.0,56047.0,56131.0
5005567,62100.0,62194.0,62246.0,62292.0,62330.0,62397.0,62652.0,62750.0,62879.0,63028.0,63102.0,63143.0,63170.0,63225.0,63299.0,63355.0,63398.0,63437.0,63521.0,63589.0,63628.0,63694.0,63710.0,63781.0,63820.0,63842.0,63885.0,63954.0,63980.0,63993.0,64027.0,64055.0,64070.0,64120.0,64140.0,64162.0,64185.0,64310.0,64338.0,64375.0,64405.0,64478.0,64547.0,64573.0,64593.0,64679.0,64703.0,64742.0,64808.0,64878.0,64914.0,64941.0,64993.0,65039.0,65109.0
5005569,71100.0,71194.0,71246.0,71292.0,71330.0,71397.0,71652.0,71750.0,71879.0,72028.0,72102.0,72143.0,72170.0,72225.0,72299.0,72355.0,72398.0,72437.0,72521.0,72589.0,72628.0,72694.0,72710.0,72781.0,72820.0,72842.0,72885.0,72954.0,72980.0,72993.0,73027.0,73055.0,73070.0,73120.0,73140.0,73162.0,73185.0,73310.0,73338.0,73375.0,73405.0,73478.0,73547.0,73573.0,73593.0,73679.0,73703.0,73742.0,73808.0,73878.0,73914.0,73941.0,73993.0,74039.0,74109.0
5005571,80100.0,80184.0,80231.0,80269.0,80300.0,80356.0,80645.0,80749.0,80886.0,80994.0,81068.0,81109.0,81130.0,81173.0,81214.0,81239.0,81270.0,81297.0,81329.0,81356.0,81380.0,81435.0,81448.0,81506.0,81533.0,81548.0,81577.0,81625.0,81660.0,81678.0,81725.0,81763.0,81782.0,81833.0,81854.0,81876.0,81899.0,82027.0,82050.0,82081.0,82106.0,82167.0,82217.0,82249.0,82274.0,82360.0,82383.0,82413.0,82463.0,82526.0,82542.0,82553.0,82595.0,82632.0,82689.0
5009928,22200.0,22255.0,22285.0,22322.0,22353.0,22408.0,22569.0,22630.0,22711.0,22844.0,22904.0,22937.0,22958.0,23002.0,23056.0,23111.0,23160.0,23204.0,23252.0,23291.0,23322.0,23391.0,23408.0,23482.0,23520.0,23541.0,23582.0,23650.0,23689.0,23709.0,23761.0,23804.0,23825.0,23915.0,23952.0,23991.0,24032.0,24259.0,24282.0,24312.0,24336.0,24394.0,24461.0,24493.0,24517.0,24628.0,24644.0,24668.0,24708.0,24768.0,24792.0,24810.0,24865.0,24914.0,24990.0
5009930,30600.0,30677.0,30719.0,30769.0,30810.0,30883.0,31168.0,31281.0,31428.0,31556.0,31643.0,31691.0,31717.0,31769.0,31850.0,31920.0,31969.0,32012.0,32077.0,32131.0,32168.0,32255.0,32276.0,32368.0,32407.0,32429.0,32471.0,32540.0,32579.0,32599.0,32651.0,32694.0,32715.0,32785.0,32814.0,32844.0,32876.0,33054.0,33082.0,33119.0,33149.0,33221.0,33281.0,33314.0,33340.0,33436.0,33456.0,33485.0,33535.0,33608.0,33638.0,33660.0,33718.0,33770.0,33850.0
5009932,39600.0,39677.0,39719.0,39769.0,39810.0,39883.0,40168.0,40281.0,40428.0,40556.0,40643.0,40691.0,40717.0,40769.0,40850.0,40920.0,40969.0,41012.0,41077.0,41131.0,41168.0,41255.0,41276.0,41368.0,41407.0,41429.0,41471.0,41540.0,41579.0,41599.0,41651.0,41694.0,41715.0,41785.0,41814.0,41844.0,41876.0,42054.0,42082.0,42119.0,42149.0,42221.0,42281.0,42314.0,42340.0,42436.0,42456.0,42485.0,42535.0,42608.0,42638.0,42660.0,42718.0,42770.0,42850.0
5009934,48600.0,48677.0,48719.0,48769.0,48810.0,48883.0,49168.0,49281.0,49428.0,49556.0,49643.0,49691.0,49717.0,49769.0,49850.0,49920.0,49969.0,50012.0,50077.0,50131.0,50168.0,50255.0,50276.0,50368.0,50407.0,50429.0,50471.0,50540.0,50579.0,50599.0,50651.0,50694.0,50715.0,50785.0,50814.0,50844.0,50876.0,51054.0,51082.0,51119.0,51149.0,51221.0,51281.0,51314.0,51340.0,51436.0,51456.0,51485.0,51535.0,51608.0,51638.0,51660.0,51718.0,51770.0,51850.0
5009936,57600.0,57677.0,57719.0,57769.0,57810.0,57883.0,58168.0,58281.0,58428.0,58556.0,58643.0,58691.0,58717.0,58769.0,58850.0,58920.0,58969.0,59012.0,59077.0,59131.0,59168.0,59255.0,59276.0,59368.0,59407.0,59429.0,59471.0,59540.0,59579.0,59599.0,59651.0,59694.0,59715.0,59785.0,59814.0,59844.0,59876.0,60054.0,60082.0,60119.0,60149.0,60221.0,60281.0,60314.0,60340.0,60436.0,60456.0,60485.0,60535.0,60608.0,60638.0,60660.0,60718.0,60770.0,60850.0
5009938,66600.0,66677.0,66719.0,66769.0,66810.0,66883.0,67168.0,67281.0,67428.0,67556.0,67643.0,67691.0,67717.0,67769.0,67850.0,67920.0,67969.0,68012.0,68077.0,68131.0,68168.0,68255.0,68276.0,68368.0,68407.0,68429.0,68471.0,68540.0,68579.0,68599.0,68651.0,68694.0,68715.0,68785.0,68814.0,68844.0,68876.0,69054.0,69082.0,69119.0,69149.0,69221.0,69281.0,69314.0,69340.0,69436.0,69456.0,69485.0,69535.0,69608.0,69638.0,69660.0,69718.0,69770.0,69850.0
5009940,75600.0,75677.0,75719.0,75769.0,75810.0,75883.0,76168.0,76281.0,76428.0,76556.0,76643.0,76691.0,76717.0,76769.0,76850.0,76920.0,76969.0,77012.0,77077.0,77131.0,77168.0,77255.0,77276.0,77368.0,77407.0,77429.0,77471.0,77540.0,77579.0,77599.0,77651.0,77694.0,77715.0,77785.0,77814.0,77844.0,77876.0,78054.0,78082.0,78119.0,78149.0,78221.0,78281.0,78314.0,78340.0,78436.0,78456.0,78485.0,78535.0,78608.0,78638.0,78660.0,78718.0,78770.0,78850.0
5009942,84600.0,84677.0,84719.0,84769.0,84810.0,84883.0,85168.0,85281.0,85428.0,85556.0,85643.0,85691.0,85717.0,85769.0,85850.0,85920.0,85969.0,86012.0,86077.0,86131.0,86168.0,86255.0,86276.0,86368.0,86407.0,86429.0,86471.0,86540.0,86579.0,86599.0,86651.0,86694.0,86715.0,86785.0,86814.0,86844.0,86876.0,87054.0,87082.0,87119.0,87149.0,87221.0,87281.0,87314.0,87340.0,87436.0,87456.0,87485.0,87535.0,87608.0,87638.0,87660.0,87718.0,87770.0,87850.0
5010828,30600.0,30675.0,30717.0,30765.0,30805.0,30877.0,31098.0,31199.0,31331.0,31437.0,31516.0,31559.0,31586.0,31642.0,31710.0,31785.0,31847.0,31902.0,31954.0,31997.0,32032.0,32115.0,32135.0,32223.0,32263.0,32285.0,32329.0,32402.0,32434.0,32450.0,32493.0,32528.0,32546.0,32607.0,32632.0,32659.0,32687.0,32843.0,32869.0,32904.0,32932.0,33000.0,33061.0,33089.0,33111.0,33213.0,33231.0,33259.0,33305.0,33378.0,33409.0,33432.0,33493.0,33547.0,33631.0
5010830,39600.0,39675.0,39717.0,39765.0,39805.0,39877.0,40098.0,40199.0,40331.0,40437.0,40516.0,40559.0,40586.0,40642.0,40710.0,40785.0,40847.0,40902.0,40954.0,40997.0,41032.0,41115.0,41135.0,41223.0,41263.0,41285.0,41329.0,41402.0,41434.0,41450.0,41493.0,41528.0,41546.0,41607.0,41632.0,41659.0,41687.0,41843.0,41869.0,41904.0,41932.0,42000.0,42061.0,42089.0,42111.0,42213.0,42231.0,42259.0,42305.0,42378.0,42409.0,42432.0,42493.0,42547.0,42631.0
5010832,48600.0,48675.0,48717.0,48765.0,48805.0,48877.0,49098.0,49199.0,49331.0,49437.0,49516.0,49559.0,49586.0,49642.0,49710.0,49785.0,49847.0,49902.0,49954.0,49997.0,50032.0,50115.0,50135.0,50223.0,50263.0,50285.0,50329.0,50402.0,50434.0,50450.0,50493.0,50528.0,50546.0,50607.0,50632.0,50659.0,50687.0,50843.0,50869.0,50904.0,50932.0,51000.0,51061.0,51089.0,51111.0,51213.0,51231.0,51259.0,51305.0,51378.0,51409.0,51432.0,51493.0,51547.0,51631.0
