tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P
0,4344.0,2349.0,2351.0,2621.0,2622.0,2750.0,2751.0,2752.0,2753.0,2754.0,2755.0,2756.0,2764.0,7178.0,2765.0,2766.0,2767.0,2772.0,2768.0,2769.0,2770.0,2771.0,2773.0,2774.0,2777.0,2775.0,2181.0,2182.0,2778.0,2185.0,7043.0,1424.0,2186.0,2187.0,2188.0,2189.0,1436.0,3952.0,2190.0,4434.0,2379.0,2380.0,2382.0,5099.0,2383.0,2003.0,1358.0,340.0,350.0,351.0,352.0,353.0,354.0
5005558,22800.0,22881.0,22955.0,23021.0,23046.0,23122.0,23156.0,23183.0,23223.0,23347.0,23371.0,23399.0,23482.0,23555.0,23612.0,23670.0,23783.0,23809.0,23834.0,23859.0,23902.0,23922.0,23954.0,23991.0,24004.0,24050.0,24075.0,24105.0,24129.0,24162.0,24251.0,24274.0,24320.0,24373.0,24421.0,24453.0,24497.0,24535.0,24585.0,24652.0,24711.0,24746.0,24766.0,24793.0,24835.0,24960.0,25072.0,25251.0,25330.0,25407.0,25443.0,25478.0,25509.0
5005560,30600.0,30681.0,30755.0,30821.0,30846.0,30922.0,30956.0,30983.0,31023.0,31147.0,31171.0,31199.0,31282.0,31355.0,31412.0,31470.0,31583.0,31609.0,31634.0,31659.0,31702.0,31722.0,31754.0,31791.0,31804.0,31850.0,31875.0,31905.0,31929.0,31962.0,32051.0,32074.0,32120.0,32173.0,32221.0,32253.0,32297.0,32335.0,32385.0,32452.0,32511.0,32546.0,32566.0,32593.0,32635.0,32760.0,32872.0,33051.0,33130.0,33207.0,33243.0,33278.0,33309.0
5005562,39600.0,39685.0,39763.0,39834.0,39878.0,39982.0,40017.0,40045.0,40082.0,40176.0,40202.0,40233.0,40290.0,40353.0,40402.0,40451.0,40580.0,40609.0,40637.0,40665.0,40715.0,40739.0,40778.0,40823.0,40839.0,40894.0,40936.0,40985.0,41024.0,41078.0,41162.0,41183.0,41220.0,41263.0,41306.0,41334.0,41372.0,41404.0,41447.0,41539.0,41633.0,41686.0,41720.0,41767.0,41840.0,42001.0,42155.0,42401.0,42483.0,42585.0,42632.0,42678.0,42727.0
5005564,48600.0,48684.0,48760.0,48829.0,48876.0,48965.0,49007.0,49040.0,49089.0,49202.0,49229.0,49260.0,49339.0,49418.0,49479.0,49541.0,49683.0,49715.0,49746.0,49777.0,49833.0,49867.0,49921.0,49984.0,50006.0,50081.0,50124.0,50175.0,50216.0,50273.0,50375.0,50401.0,50461.0,50532.0,50600.0,50645.0,50706.0,50733.0,50769.0,50863.0,50955.0,51007.0,51035.0,51074.0,51134.0,51288.0,51430.0,51656.0,51756.0,51864.0,51914.0,51962.0,51992.0
5005566,57600.0,57680.0,57753.0,57819.0,57862.0,57957.0,57991.0,58017.0,58058.0,58167.0,58193.0,58223.0,58298.0,58365.0,58417.0,58470.0,58596.0,58625.0,58652.0,58680.0,58728.0,58753.0,58793.0,58840.0,58856.0,58912.0,58942.0,58977.0,59005.0,59044.0,59128.0,59149.0,59193.0,59244.0,59298.0,59334.0,59381.0,59411.0,59451.0,59532.0,59623.0,59670.0,59699.0,59740.0,59803.0,59974.0,60148.0,60425.0,60479.0,60580.0,60627.0,60673.0,60698.0
5005568,66600.0,66680.0,66753.0,66819.0,66862.0,66957.0,66991.0,67017.0,67058.0,67167.0,67193.0,67223.0,67298.0,67365.0,67417.0,67470.0,67596.0,67625.0,67652.0,67680.0,67728.0,67753.0,67793.0,67840.0,67856.0,67912.0,67942.0,67977.0,68005.0,68044.0,68128.0,68149.0,68193.0,68244.0,68298.0,68334.0,68381.0,68411.0,68451.0,68532.0,68623.0,68670.0,68699.0,68740.0,68803.0,68974.0,69148.0,69425.0,69479.0,69580.0,69627.0,69673.0,69698.0
5005570,75600.0,75666.0,75726.0,75781.0,75806.0,75878.0,75908.0,75932.0,75971.0,76070.0,76102.0,76139.0,76205.0,76261.0,76305.0,76349.0,76475.0,76504.0,76531.0,76559.0,76607.0,76626.0,76656.0,76691.0,76703.0,76745.0,76769.0,76797.0,76819.0,76850.0,76919.0,76937.0,76966.0,77000.0,77040.0,77067.0,77102.0,77125.0,77156.0,77217.0,77282.0,77317.0,77337.0,77365.0,77407.0,77509.0,77669.0,77923.0,77990.0,78046.0,78072.0,78097.0,78122.0
5005572,84600.0,84666.0,84726.0,84781.0,84806.0,84878.0,84908.0,84932.0,84971.0,85070.0,85102.0,85139.0,85205.0,85261.0,85305.0,85349.0,85475.0,85504.0,85531.0,85559.0,85607.0,85626.0,85656.0,85691.0,85703.0,85745.0,85769.0,85797.0,85819.0,85850.0,85919.0,85937.0,85966.0,86000.0,86040.0,86067.0,86102.0,86125.0,86156.0,86217.0,86282.0,86317.0,86337.0,86365.0,86407.0,86509.0,86669.0,86923.0,86990.0,87046.0,87072.0,87097.0,87122.0
5009929,26400.0,26479.0,26551.0,26616.0,26665.0,26742.0,26783.0,26815.0,26855.0,26965.0,26993.0,27027.0,27100.0,27179.0,27240.0,27303.0,27477.0,27516.0,27554.0,27592.0,27660.0,27689.0,27736.0,27791.0,27811.0,27878.0,27914.0,27957.0,27991.0,28038.0,28130.0,28153.0,28207.0,28271.0,28332.0,28372.0,28426.0,28471.0,28529.0,28601.0,28676.0,28723.0,28765.0,28823.0,28912.0,29089.0,29247.0,29498.0,29623.0,29760.0,29824.0,29886.0,29927.0
5009931,35100.0,35201.0,35293.0,35378.0,35419.0,35522.0,35561.0,35591.0,35632.0,35798.0,35831.0,35871.0,35947.0,36030.0,36094.0,36160.0,36362.0,36408.0,36452.0,36496.0,36575.0,36613.0,36674.0,36746.0,36771.0,36858.0,36903.0,36956.0,36998.0,37056.0,37148.0,37171.0,37224.0,37287.0,37342.0,37378.0,37427.0,37475.0,37539.0,37631.0,37726.0,37773.0,37821.0,37888.0,37992.0,38208.0,38382.0,38660.0,38778.0,38903.0,38961.0,39017.0,39053.0
5009933,44100.0,44182.0,44257.0,44324.0,44355.0,44441.0,44478.0,44507.0,44550.0,44666.0,44695.0,44729.0,44803.0,44876.0,44932.0,44989.0,45182.0,45226.0,45268.0,45310.0,45384.0,45423.0,45486.0,45560.0,45586.0,45676.0,45714.0,45758.0,45794.0,45842.0,45951.0,45979.0,46028.0,46085.0,46138.0,46173.0,46220.0,46252.0,46294.0,46387.0,46466.0,46520.0,46551.0,46594.0,46659.0,46814.0,46989.0,47269.0,47364.0,47500.0,47563.0,47625.0,47662.0
5009935,53100.0,53186.0,53264.0,53335.0,53374.0,53465.0,53499.0,53525.0,53566.0,53689.0,53718.0,53752.0,53826.0,53890.0,53939.0,53989.0,54166.0,54206.0,54245.0,54284.0,54352.0,54389.0,54449.0,54518.0,54543.0,54626.0,54665.0,54712.0,54749.0,54800.0,54898.0,54923.0,54970.0,55025.0,55080.0,55117.0,55167.0,55198.0,55239.0,55323.0,55392.0,55432.0,55465.0,55511.0,55582.0,55738.0,55901.0,56162.0,56263.0,56369.0,56418.0,56466.0,56517.0
