tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P,054_P,055_P,056_P,057_P,058_P,059_P
0,7564.0,4521.0,1283.0,4456.0,1284.0,1285.0,1016.0,1017.0,1018.0,1019.0,1020.0,1076.0,1077.0,1078.0,1079.0,1080.0,1081.0,1082.0,1083.0,1085.0,1121.0,1122.0,1123.0,1124.0,1125.0,1127.0,1130.0,2550.0,2516.0,2517.0,2518.0,4749.0,4750.0,3006.0,4871.0,4872.0,4873.0,4874.0,2532.0,4877.0,4878.0,7180.0,7331.0,2559.0,2560.0,2561.0,2562.0,2564.0,4927.0,4928.0,2352.0,2573.0,2574.0,2575.0,4929.0,7460.0,4930.0,4931.0,7459.0
5004224,21000.0,21125.0,21213.0,21241.0,21267.0,21320.0,21368.0,21393.0,21419.0,21431.0,21446.0,21467.0,21487.0,21511.0,21539.0,21555.0,21577.0,21592.0,21606.0,21630.0,21649.0,21670.0,21685.0,21698.0,21726.0,21765.0,21805.0,21849.0,21930.0,21947.0,21966.0,22009.0,22031.0,22066.0,22110.0,22137.0,22160.0,22174.0,22199.0,22247.0,22301.0,22351.0,22392.0,22413.0,22445.0,22483.0,22510.0,22538.0,22562.0,22579.0,22624.0,22680.0,22699.0,22746.0,22790.0,22810.0,22865.0,22892.0,22915.0
5004226,30600.0,30902.0,31116.0,31190.0,31259.0,31397.0,31521.0,31568.0,31616.0,31644.0,31678.0,31726.0,31770.0,31809.0,31853.0,31885.0,31931.0,31962.0,31991.0,32041.0,32079.0,32121.0,32142.0,32160.0,32222.0,32289.0,32358.0,32419.0,32530.0,32550.0,32571.0,32645.0,32682.0,32742.0,32817.0,32859.0,32892.0,32910.0,32983.0,33050.0,33126.0,33196.0,33253.0,33283.0,33331.0,33376.0,33408.0,33442.0,33471.0,33491.0,33546.0,33619.0,33643.0,33704.0,33753.0,33775.0,33836.0,33866.0,33892.0
5004228,61800.0,62075.0,62271.0,62358.0,62439.0,62601.0,62746.0,62857.0,62970.0,63018.0,63077.0,63159.0,63235.0,63289.0,63352.0,63410.0,63493.0,63549.0,63601.0,63690.0,63742.0,63800.0,63832.0,63859.0,63938.0,64025.0,64116.0,64190.0,64327.0,64360.0,64394.0,64494.0,64544.0,64640.0,64760.0,64816.0,64851.0,64883.0,64968.0,65040.0,65121.0,65196.0,65257.0,65289.0,65340.0,65399.0,65441.0,65485.0,65523.0,65550.0,65621.0,65697.0,65722.0,65787.0,65839.0,65862.0,65926.0,65957.0,65985.0
5006832,39600.0,39810.0,39959.0,40013.0,40063.0,40164.0,40254.0,40291.0,40329.0,40359.0,40397.0,40449.0,40498.0,40539.0,40586.0,40616.0,40659.0,40688.0,40715.0,40761.0,40800.0,40845.0,40869.0,40889.0,40945.0,41010.0,41077.0,41131.0,41231.0,41255.0,41281.0,41341.0,41371.0,41424.0,41489.0,41533.0,41564.0,41585.0,41652.0,41715.0,41786.0,41852.0,41906.0,41934.0,41977.0,42025.0,42060.0,42097.0,42128.0,42150.0,42208.0,42276.0,42299.0,42357.0,42415.0,42441.0,42512.0,42547.0,42578.0
5006834,50400.0,50638.0,50807.0,50883.0,50954.0,51097.0,51225.0,51257.0,51289.0,51326.0,51372.0,51435.0,51494.0,51539.0,51590.0,51640.0,51711.0,51759.0,51804.0,51878.0,51913.0,51952.0,51975.0,51994.0,52056.0,52141.0,52230.0,52292.0,52406.0,52433.0,52461.0,52546.0,52588.0,52644.0,52714.0,52760.0,52791.0,52820.0,52895.0,52965.0,53043.0,53116.0,53175.0,53205.0,53254.0,53303.0,53338.0,53375.0,53406.0,53428.0,53487.0,53560.0,53584.0,53646.0,53705.0,53731.0,53804.0,53840.0,53872.0
5006836,60600.0,60875.0,61071.0,61158.0,61239.0,61401.0,61546.0,61657.0,61770.0,61818.0,61877.0,61959.0,62035.0,62089.0,62152.0,62210.0,62293.0,62349.0,62401.0,62490.0,62542.0,62600.0,62632.0,62659.0,62738.0,62825.0,62916.0,62990.0,63127.0,63160.0,63194.0,63294.0,63344.0,63440.0,63560.0,63616.0,63651.0,63683.0,63768.0,63840.0,63921.0,63996.0,64057.0,64089.0,64140.0,64199.0,64241.0,64285.0,64323.0,64350.0,64421.0,64497.0,64522.0,64587.0,64639.0,64662.0,64726.0,64757.0,64785.0
5006838,72000.0,72277.0,72474.0,72545.0,72611.0,72743.0,72860.0,72900.0,72940.0,72974.0,73017.0,73076.0,73131.0,73168.0,73211.0,73248.0,73301.0,73337.0,73370.0,73425.0,73470.0,73520.0,73545.0,73566.0,73628.0,73703.0,73782.0,73838.0,73942.0,73978.0,74017.0,74094.0,74133.0,74198.0,74278.0,74336.0,74372.0,74403.0,74471.0,74533.0,74603.0,74668.0,74721.0,74748.0,74792.0,74839.0,74872.0,74907.0,74937.0,74958.0,75015.0,75090.0,75115.0,75179.0,75225.0,75246.0,75303.0,75331.0,75356.0
5006840,81000.0,81248.0,81425.0,81481.0,81533.0,81637.0,81729.0,81766.0,81803.0,81828.0,81860.0,81904.0,81944.0,81976.0,82013.0,82037.0,82072.0,82096.0,82118.0,82155.0,82185.0,82220.0,82239.0,82256.0,82299.0,82353.0,82410.0,82456.0,82541.0,82567.0,82595.0,82666.0,82701.0,82758.0,82829.0,82877.0,82910.0,82933.0,82973.0,83027.0,83088.0,83145.0,83191.0,83215.0,83253.0,83294.0,83323.0,83354.0,83380.0,83399.0,83448.0,83518.0,83541.0,83601.0,83642.0,83660.0,83711.0,83736.0,83758.0
5008105,23400.0,23560.0,23674.0,23717.0,23757.0,23837.0,23907.0,23944.0,23981.0,23999.0,24021.0,24052.0,24080.0,24122.0,24170.0,24190.0,24219.0,24238.0,24256.0,24286.0,24323.0,24364.0,24381.0,24395.0,24439.0,24493.0,24550.0,24604.0,24704.0,24722.0,24741.0,24798.0,24827.0,24903.0,24997.0,25039.0,25066.0,25082.0,25134.0,25186.0,25245.0,25299.0,25343.0,25366.0,25403.0,25445.0,25475.0,25506.0,25533.0,25552.0,25602.0,25675.0,25699.0,25760.0,25814.0,25838.0,25905.0,25938.0,25967.0
