tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P,054_P,055_P,056_P,057_P
0,4713.0,4714.0,4960.0,4932.0,4933.0,2590.0,2591.0,2592.0,2357.0,2566.0,2568.0,2569.0,7550.0,2570.0,7222.0,6170.0,7183.0,4880.0,2539.0,2540.0,4882.0,4883.0,4884.0,4885.0,6343.0,4759.0,4760.0,2547.0,2548.0,2600.0,1155.0,1157.0,1158.0,1159.0,1160.0,1161.0,1162.0,1163.0,1164.0,1165.0,1166.0,1167.0,1168.0,1169.0,1170.0,1069.0,1070.0,1071.0,4528.0,1072.0,1352.0,1353.0,7589.0,1355.0,1357.0,1358.0,7564.0
5004225,25200.0,25265.0,25340.0,25457.0,25484.0,25525.0,25560.0,25589.0,25673.0,25708.0,25805.0,25850.0,25915.0,25967.0,25996.0,26029.0,26060.0,26124.0,26238.0,26269.0,26348.0,26370.0,26422.0,26527.0,26631.0,26687.0,26730.0,26825.0,26868.0,27080.0,27150.0,27215.0,27264.0,27321.0,27385.0,27439.0,27494.0,27598.0,27784.0,27857.0,27931.0,27979.0,28027.0,28105.0,28178.0,28228.0,28274.0,28337.0,28404.0,28496.0,28611.0,28664.0,28786.0,28806.0,28899.0,28986.0,29250.0
5004227,35100.0,35141.0,35188.0,35261.0,35277.0,35319.0,35355.0,35385.0,35469.0,35502.0,35595.0,35638.0,35700.0,35749.0,35776.0,35807.0,35837.0,35898.0,36006.0,36035.0,36088.0,36107.0,36146.0,36193.0,36258.0,36292.0,36327.0,36404.0,36434.0,36568.0,36612.0,36660.0,36696.0,36733.0,36766.0,36794.0,36822.0,36888.0,37007.0,37055.0,37104.0,37136.0,37167.0,37208.0,37247.0,37301.0,37350.0,37417.0,37458.0,37514.0,37628.0,37681.0,37803.0,37822.0,37909.0,38000.0,38279.0
5004229,69300.0,69343.0,69392.0,69468.0,69485.0,69519.0,69548.0,69572.0,69642.0,69675.0,69757.0,69795.0,69850.0,69894.0,69918.0,69946.0,69972.0,70026.0,70122.0,70150.0,70190.0,70209.0,70239.0,70278.0,70329.0,70357.0,70393.0,70473.0,70503.0,70638.0,70682.0,70738.0,70781.0,70809.0,70836.0,70859.0,70882.0,70925.0,71003.0,71045.0,71088.0,71116.0,71143.0,71177.0,71209.0,71250.0,71287.0,71338.0,71381.0,71441.0,71524.0,71562.0,71651.0,71667.0,71744.0,71828.0,72086.0
5006833,45000.0,45076.0,45163.0,45298.0,45329.0,45367.0,45400.0,45427.0,45504.0,45541.0,45639.0,45685.0,45751.0,45803.0,45832.0,45865.0,45896.0,45960.0,46075.0,46108.0,46155.0,46173.0,46211.0,46255.0,46316.0,46349.0,46386.0,46468.0,46494.0,46649.0,46700.0,46765.0,46815.0,46858.0,46885.0,46908.0,46931.0,47001.0,47127.0,47178.0,47229.0,47263.0,47296.0,47335.0,47372.0,47420.0,47463.0,47523.0,47558.0,47607.0,47717.0,47768.0,47884.0,47903.0,47994.0,48082.0,48352.0
5006835,55800.0,55849.0,55906.0,55994.0,56014.0,56052.0,56085.0,56112.0,56189.0,56230.0,56335.0,56383.0,56453.0,56509.0,56540.0,56575.0,56608.0,56676.0,56798.0,56832.0,56882.0,56901.0,56935.0,56974.0,57037.0,57070.0,57109.0,57196.0,57228.0,57429.0,57495.0,57551.0,57594.0,57654.0,57681.0,57704.0,57728.0,57787.0,57892.0,57952.0,58013.0,58053.0,58092.0,58130.0,58166.0,58214.0,58257.0,58317.0,58359.0,58418.0,58528.0,58579.0,58695.0,58711.0,58784.0,58875.0,59152.0
5006837,66600.0,66643.0,66692.0,66768.0,66785.0,66819.0,66848.0,66872.0,66942.0,66975.0,67057.0,67095.0,67150.0,67194.0,67218.0,67246.0,67272.0,67326.0,67422.0,67450.0,67490.0,67509.0,67539.0,67578.0,67629.0,67657.0,67693.0,67773.0,67803.0,67938.0,67982.0,68038.0,68081.0,68109.0,68136.0,68159.0,68182.0,68225.0,68303.0,68345.0,68388.0,68416.0,68443.0,68477.0,68509.0,68550.0,68587.0,68638.0,68681.0,68741.0,68824.0,68862.0,68951.0,68967.0,69044.0,69128.0,69386.0
5006839,76500.0,76543.0,76593.0,76670.0,76688.0,76718.0,76744.0,76765.0,76826.0,76847.0,76919.0,76952.0,77001.0,77039.0,77060.0,77084.0,77107.0,77154.0,77238.0,77263.0,77296.0,77312.0,77338.0,77370.0,77417.0,77442.0,77469.0,77530.0,77563.0,77689.0,77731.0,77776.0,77810.0,77834.0,77855.0,77873.0,77890.0,77913.0,77953.0,77992.0,78032.0,78058.0,78083.0,78110.0,78136.0,78168.0,78197.0,78236.0,78269.0,78315.0,78390.0,78425.0,78505.0,78519.0,78587.0,78678.0,78955.0
5006841,84600.0,84643.0,84692.0,84768.0,84785.0,84819.0,84848.0,84872.0,84942.0,84975.0,85057.0,85095.0,85150.0,85194.0,85218.0,85246.0,85272.0,85326.0,85422.0,85450.0,85490.0,85509.0,85539.0,85578.0,85629.0,85657.0,85693.0,85773.0,85803.0,85938.0,85982.0,86038.0,86081.0,86109.0,86136.0,86159.0,86182.0,86225.0,86303.0,86345.0,86388.0,86416.0,86443.0,86477.0,86509.0,86550.0,86587.0,86638.0,86681.0,86741.0,86824.0,86862.0,86951.0,86967.0,87044.0,87128.0,87386.0
5008106,27000.0,27056.0,27120.0,27220.0,27244.0,27296.0,27341.0,27378.0,27483.0,27523.0,27633.0,27684.0,27758.0,27816.0,27848.0,27885.0,27920.0,27992.0,28120.0,28154.0,28216.0,28241.0,28294.0,28480.0,28715.0,28840.0,28893.0,29011.0,29056.0,29327.0,29416.0,29503.0,29569.0,29638.0,29701.0,29755.0,29810.0,29917.0,30109.0,30183.0,30257.0,30305.0,30353.0,30404.0,30452.0,30506.0,30555.0,30623.0,30704.0,30816.0,30961.0,31028.0,31182.0,31200.0,31282.0,31373.0,31652.0
