tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P
0,3994.0,3995.0,3996.0,3997.0,3998.0,3999.0,4000.0,4001.0,3949.0,3950.0,3372.0,3373.0,3374.0,2233.0,2232.0,2234.0,2235.0,2236.0,2237.0,2238.0,5056.0,2239.0,2241.0,2242.0,2243.0,2244.0,2245.0,2246.0,2247.0,2248.0,2249.0,2250.0,2251.0,1472.0,4408.0,1473.0,1474.0,1476.0,7453.0,1478.0,1479.0,315.0,406.0,2810.0,7387.0
5002322,41100.0,41153.0,41205.0,41278.0,41334.0,41377.0,41403.0,41431.0,41505.0,41564.0,41636.0,41675.0,41714.0,41739.0,41760.0,41798.0,41820.0,41876.0,41881.0,41898.0,41913.0,41989.0,42093.0,42123.0,42199.0,42232.0,42283.0,42364.0,42438.0,42473.0,42499.0,42521.0,42556.0,42595.0,42622.0,42638.0,42702.0,42777.0,42842.0,42897.0,42935.0,43029.0,43239.0,43352.0,43399.0
5003148,27120.0,27183.0,27245.0,27322.0,27381.0,27436.0,27471.0,27508.0,27591.0,27629.0,27715.0,27772.0,27811.0,27863.0,27893.0,27944.0,27973.0,28047.0,28059.0,28077.0,28099.0,28209.0,28471.0,28516.0,28629.0,28678.0,28754.0,28876.0,28943.0,28980.0,29007.0,29041.0,29113.0,29195.0,29242.0,29268.0,29380.0,29473.0,29652.0,29802.0,29905.0,30132.0,30342.0,30455.0,30502.0
5003160,78000.0,78038.0,78074.0,78127.0,78168.0,78214.0,78242.0,78271.0,78337.0,78368.0,78433.0,78471.0,78494.0,78513.0,78532.0,78564.0,78582.0,78628.0,78635.0,78650.0,78663.0,78728.0,78825.0,78863.0,78958.0,78998.0,79028.0,79076.0,79131.0,79162.0,79185.0,79208.0,79232.0,79259.0,79286.0,79302.0,79367.0,79419.0,79491.0,79551.0,79592.0,79696.0,79904.0,80017.0,80064.0
5003357,23580.0,23643.0,23705.0,23782.0,23841.0,23896.0,23931.0,23968.0,24051.0,24089.0,24175.0,24232.0,24271.0,24323.0,24353.0,24404.0,24433.0,24507.0,24519.0,24537.0,24559.0,24669.0,24931.0,24976.0,25089.0,25138.0,25214.0,25336.0,25403.0,25440.0,25467.0,25501.0,25573.0,25655.0,25702.0,25728.0,25840.0,25933.0,26112.0,26262.0,26365.0,26592.0,26802.0,26915.0,26962.0
5003361,42600.0,42658.0,42714.0,42809.0,42881.0,43011.0,43043.0,43077.0,43174.0,43211.0,43331.0,43377.0,43415.0,43453.0,43479.0,43522.0,43547.0,43609.0,43615.0,43632.0,43650.0,43744.0,43881.0,43922.0,44025.0,44070.0,44109.0,44171.0,44222.0,44259.0,44287.0,44313.0,44353.0,44399.0,44433.0,44453.0,44547.0,44618.0,44739.0,44840.0,44909.0,45132.0,45342.0,45455.0,45502.0
5003415,64800.0,64858.0,64915.0,65014.0,65089.0,65148.0,65183.0,65219.0,65317.0,65352.0,65462.0,65510.0,65549.0,65591.0,65616.0,65674.0,65707.0,65791.0,65809.0,65829.0,65848.0,65947.0,66080.0,66117.0,66209.0,66248.0,66295.0,66370.0,66437.0,66473.0,66499.0,66524.0,66577.0,66636.0,66669.0,66688.0,66778.0,66871.0,66982.0,67075.0,67138.0,67370.0,67580.0,67693.0,67740.0
5003963,61200.0,61258.0,61315.0,61414.0,61489.0,61548.0,61583.0,61619.0,61717.0,61752.0,61862.0,61910.0,61949.0,61991.0,62016.0,62074.0,62107.0,62191.0,62209.0,62229.0,62248.0,62347.0,62480.0,62517.0,62609.0,62648.0,62695.0,62770.0,62837.0,62873.0,62899.0,62924.0,62977.0,63036.0,63069.0,63088.0,63178.0,63271.0,63382.0,63475.0,63538.0,63770.0,63980.0,64093.0,64140.0
5004506,39000.0,39058.0,39114.0,39209.0,39281.0,39411.0,39443.0,39477.0,39574.0,39611.0,39731.0,39777.0,39815.0,39853.0,39879.0,39922.0,39947.0,40009.0,40015.0,40032.0,40050.0,40144.0,40281.0,40322.0,40425.0,40470.0,40509.0,40571.0,40622.0,40659.0,40687.0,40713.0,40753.0,40799.0,40833.0,40853.0,40947.0,41018.0,41139.0,41240.0,41309.0,41532.0,41742.0,41855.0,41902.0
5004544,57600.0,57658.0,57715.0,57814.0,57889.0,57948.0,57983.0,58019.0,58117.0,58152.0,58262.0,58310.0,58349.0,58391.0,58416.0,58474.0,58507.0,58591.0,58609.0,58629.0,58648.0,58747.0,58880.0,58917.0,59009.0,59048.0,59095.0,59170.0,59237.0,59273.0,59299.0,59324.0,59377.0,59436.0,59469.0,59488.0,59578.0,59671.0,59782.0,59875.0,59938.0,60170.0,60380.0,60493.0,60540.0
