tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P
0,4003.0,4404.0,4405.0,3991.0,3998.0,3999.0,4000.0,4001.0,3949.0,3950.0,3372.0,3373.0,3374.0,2233.0,2232.0,2234.0,2235.0,2236.0,2237.0,2238.0,5056.0,2239.0,2241.0,2242.0,2243.0,2244.0,2245.0,2246.0,2247.0,2248.0,2249.0,2250.0,2251.0,1472.0,4408.0,1473.0,1474.0,1476.0,7453.0,1478.0,1479.0,315.0,406.0,2810.0,7387.0
5002955,33300.0,33423.0,33465.0,33555.0,33685.0,33750.0,33786.0,33824.0,33912.0,33943.0,34044.0,34108.0,34204.0,34322.0,34357.0,34403.0,34430.0,34498.0,34507.0,34523.0,34544.0,34654.0,34863.0,34903.0,35005.0,35049.0,35099.0,35179.0,35240.0,35274.0,35299.0,35323.0,35400.0,35486.0,35552.0,35590.0,35704.0,35832.0,36062.0,36256.0,36388.0,36791.0,37001.0,37114.0,37161.0
5003019,65520.0,65613.0,65652.0,65734.0,65819.0,65869.0,65907.0,65947.0,66014.0,66040.0,66129.0,66175.0,66208.0,66241.0,66262.0,66300.0,66322.0,66377.0,66387.0,66402.0,66420.0,66513.0,66643.0,66686.0,66796.0,66843.0,66871.0,66917.0,66993.0,67043.0,67080.0,67106.0,67160.0,67221.0,67254.0,67273.0,67324.0,67389.0,67485.0,67566.0,67622.0,67809.0,68019.0,68132.0,68179.0
5003158,69300.0,69392.0,69428.0,69505.0,69607.0,69657.0,69684.0,69713.0,69792.0,69821.0,69909.0,69948.0,69971.0,70006.0,70028.0,70063.0,70083.0,70133.0,70143.0,70160.0,70178.0,70269.0,70380.0,70415.0,70504.0,70543.0,70572.0,70619.0,70674.0,70710.0,70737.0,70762.0,70800.0,70843.0,70865.0,70877.0,70944.0,70994.0,71078.0,71149.0,71197.0,71351.0,71561.0,71674.0,71721.0
5003363,51300.0,51411.0,51453.0,51543.0,51678.0,51801.0,51834.0,51869.0,51953.0,51986.0,52110.0,52165.0,52208.0,52263.0,52288.0,52328.0,52351.0,52411.0,52419.0,52435.0,52453.0,52544.0,52669.0,52707.0,52804.0,52846.0,52884.0,52945.0,53004.0,53038.0,53064.0,53089.0,53124.0,53163.0,53193.0,53210.0,53297.0,53367.0,53478.0,53571.0,53634.0,53857.0,54067.0,54180.0,54227.0
5003368,76200.0,76303.0,76336.0,76408.0,76475.0,76523.0,76554.0,76587.0,76660.0,76689.0,76750.0,76793.0,76818.0,76847.0,76870.0,76906.0,76926.0,76978.0,76983.0,76998.0,77015.0,77104.0,77217.0,77248.0,77326.0,77360.0,77389.0,77435.0,77477.0,77510.0,77534.0,77559.0,77588.0,77621.0,77643.0,77656.0,77709.0,77764.0,77832.0,77889.0,77929.0,78024.0,78228.0,78339.0,78385.0
5003411,36900.0,37011.0,37054.0,37145.0,37275.0,37382.0,37411.0,37442.0,37519.0,37547.0,37654.0,37702.0,37739.0,37778.0,37803.0,37845.0,37869.0,37931.0,37938.0,37954.0,37973.0,38070.0,38193.0,38230.0,38323.0,38362.0,38394.0,38445.0,38503.0,38536.0,38561.0,38586.0,38638.0,38696.0,38746.0,38774.0,38853.0,38922.0,39036.0,39132.0,39197.0,39424.0,39634.0,39747.0,39794.0
5003956,21720.0,21828.0,21868.0,21954.0,22042.0,22091.0,22124.0,22158.0,22252.0,22292.0,22363.0,22418.0,22448.0,22488.0,22520.0,22566.0,22592.0,22659.0,22671.0,22687.0,22707.0,22810.0,22989.0,23032.0,23142.0,23189.0,23265.0,23386.0,23449.0,23485.0,23511.0,23534.0,23592.0,23657.0,23695.0,23717.0,23801.0,23884.0,23992.0,24083.0,24144.0,24311.0,24521.0,24634.0,24681.0
5003958,29400.0,29523.0,29565.0,29655.0,29785.0,29850.0,29886.0,29924.0,30012.0,30043.0,30144.0,30208.0,30304.0,30422.0,30457.0,30503.0,30530.0,30598.0,30607.0,30623.0,30644.0,30754.0,30963.0,31003.0,31105.0,31149.0,31199.0,31279.0,31340.0,31374.0,31399.0,31423.0,31500.0,31586.0,31652.0,31690.0,31804.0,31932.0,32162.0,32356.0,32488.0,32891.0,33101.0,33214.0,33261.0
5003969,79800.0,79903.0,79936.0,80008.0,80075.0,80123.0,80154.0,80187.0,80260.0,80289.0,80350.0,80393.0,80418.0,80447.0,80470.0,80506.0,80526.0,80578.0,80583.0,80598.0,80615.0,80704.0,80817.0,80848.0,80926.0,80960.0,80989.0,81035.0,81077.0,81110.0,81134.0,81159.0,81188.0,81221.0,81243.0,81256.0,81309.0,81364.0,81432.0,81489.0,81529.0,81624.0,81828.0,81939.0,81985.0
