tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P,054_P,055_P,056_P
0,3921.0,3922.0,3923.0,7079.0,7080.0,7081.0,7565.0,7082.0,7083.0,7084.0,7108.0,3935.0,3936.0,3938.0,3939.0,3940.0,3941.0,3943.0,3944.0,3945.0,3946.0,4001.0,7193.0,7049.0,2236.0,2239.0,2241.0,2242.0,7435.0,2722.0,4413.0,1476.0,7453.0,1478.0,1479.0,315.0,336.0,406.0,747.0,748.0,749.0,750.0,751.0,752.0,753.0,754.0,755.0,756.0,757.0,758.0,759.0,760.0,761.0,762.0,763.0,4952.0
5009596,25800.0,25939.0,25981.0,26037.0,26086.0,26124.0,26147.0,26250.0,26325.0,26453.0,26482.0,26556.0,26656.0,26714.0,26772.0,26790.0,26799.0,26817.0,26838.0,26881.0,26925.0,26982.0,27085.0,27151.0,27390.0,27512.0,27646.0,27685.0,27948.0,27966.0,28142.0,28244.0,28379.0,28493.0,28570.0,28843.0,29040.0,29222.0,29330.0,29402.0,29489.0,29545.0,29601.0,29670.0,29721.0,29779.0,29845.0,29882.0,29916.0,29937.0,29978.0,30008.0,30041.0,30070.0,30104.0,30215.0
5012114,27000.0,27089.0,27141.0,27211.0,27272.0,27319.0,27347.0,27474.0,27567.0,27726.0,27762.0,27854.0,27977.0,28049.0,28117.0,28136.0,28145.0,28163.0,28185.0,28230.0,28280.0,28344.0,28455.0,28526.0,28783.0,28914.0,29057.0,29095.0,29352.0,29370.0,29566.0,29702.0,29882.0,30034.0,30137.0,30483.0,30731.0,30971.0,31113.0,31187.0,31277.0,31335.0,31393.0,31464.0,31516.0,31576.0,31646.0,31683.0,31717.0,31738.0,31779.0,31809.0,31842.0,31871.0,31905.0,32016.0
5012807,27600.0,27689.0,27741.0,27811.0,27872.0,27919.0,27947.0,28074.0,28167.0,28326.0,28362.0,28454.0,28577.0,28649.0,28717.0,28736.0,28745.0,28763.0,28785.0,28830.0,28880.0,28944.0,29055.0,29126.0,29383.0,29514.0,29657.0,29695.0,29952.0,29970.0,30166.0,30302.0,30482.0,30634.0,30737.0,31083.0,31331.0,31571.0,31713.0,31787.0,31877.0,31935.0,31993.0,32064.0,32116.0,32176.0,32246.0,32283.0,32317.0,32338.0,32379.0,32409.0,32442.0,32471.0,32505.0,32616.0
5014669,25200.0,25339.0,25381.0,25437.0,25486.0,25524.0,25547.0,25650.0,25725.0,25853.0,25882.0,25956.0,26056.0,26114.0,26172.0,26190.0,26199.0,26217.0,26238.0,26281.0,26325.0,26382.0,26485.0,26551.0,26790.0,26912.0,27046.0,27085.0,27348.0,27366.0,27542.0,27644.0,27779.0,27893.0,27970.0,28243.0,28440.0,28622.0,28730.0,28802.0,28889.0,28945.0,29001.0,29070.0,29121.0,29179.0,29245.0,29282.0,29316.0,29337.0,29378.0,29408.0,29441.0,29470.0,29504.0,29615.0
5018226,26400.0,26489.0,26541.0,26611.0,26672.0,26719.0,26747.0,26874.0,26967.0,27126.0,27162.0,27254.0,27377.0,27449.0,27517.0,27536.0,27545.0,27563.0,27585.0,27630.0,27680.0,27744.0,27855.0,27926.0,28183.0,28314.0,28457.0,28495.0,28752.0,28770.0,28966.0,29102.0,29282.0,29434.0,29537.0,29883.0,30131.0,30371.0,30513.0,30587.0,30677.0,30735.0,30793.0,30864.0,30916.0,30976.0,31046.0,31083.0,31117.0,31138.0,31179.0,31209.0,31242.0,31271.0,31305.0,31416.0
5090820,26400.0,26486.0,26536.0,26603.0,26662.0,26707.0,26734.0,26856.0,26945.0,27097.0,27131.0,27219.0,27337.0,27406.0,27474.0,27492.0,27500.0,27518.0,27539.0,27582.0,27630.0,27692.0,27799.0,27868.0,28115.0,28241.0,28378.0,28415.0,28662.0,28679.0,28867.0,28998.0,29171.0,29317.0,29416.0,29748.0,29987.0,30217.0,30354.0,30426.0,30513.0,30569.0,30624.0,30693.0,30743.0,30801.0,30867.0,30903.0,30935.0,30955.0,30994.0,31023.0,31055.0,31083.0,31116.0,31223.0
5091094,27000.0,27086.0,27136.0,27203.0,27262.0,27307.0,27334.0,27456.0,27545.0,27697.0,27731.0,27819.0,27937.0,28006.0,28074.0,28092.0,28100.0,28118.0,28139.0,28182.0,28230.0,28292.0,28399.0,28468.0,28715.0,28841.0,28978.0,29015.0,29262.0,29279.0,29467.0,29598.0,29771.0,29917.0,30016.0,30348.0,30587.0,30817.0,30954.0,31026.0,31113.0,31169.0,31224.0,31293.0,31343.0,31401.0,31467.0,31503.0,31535.0,31555.0,31594.0,31623.0,31655.0,31683.0,31716.0,31823.0
5091326,25800.0,25934.0,25975.0,26029.0,26076.0,26113.0,26135.0,26234.0,26306.0,26430.0,26458.0,26530.0,26626.0,26682.0,26735.0,26752.0,26760.0,26778.0,26798.0,26839.0,26881.0,26936.0,27035.0,27099.0,27329.0,27446.0,27574.0,27612.0,27865.0,27882.0,28051.0,28149.0,28279.0,28388.0,28462.0,28725.0,28914.0,29089.0,29193.0,29262.0,29346.0,29400.0,29454.0,29520.0,29569.0,29625.0,29688.0,29724.0,29756.0,29776.0,29815.0,29844.0,29876.0,29904.0,29937.0,30044.0
5091859,25200.0,25334.0,25375.0,25429.0,25476.0,25513.0,25535.0,25634.0,25706.0,25830.0,25858.0,25930.0,26026.0,26082.0,26135.0,26152.0,26160.0,26178.0,26198.0,26239.0,26281.0,26336.0,26435.0,26499.0,26729.0,26846.0,26974.0,27012.0,27265.0,27282.0,27451.0,27549.0,27679.0,27788.0,27862.0,28125.0,28314.0,28489.0,28593.0,28662.0,28746.0,28800.0,28854.0,28920.0,28969.0,29025.0,29088.0,29124.0,29156.0,29176.0,29215.0,29244.0,29276.0,29304.0,29337.0,29444.0
