tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P,054_P,055_P,056_P,057_P,058_P,059_P,060_P,061_P,062_P,063_P,064_P,065_P,066_P,067_P,068_P,069_P
0,7391.0,493.0,494.0,495.0,400.0,346.0,317.0,312.0,1444.0,1445.0,7078.0,1449.0,1450.0,1451.0,2191.0,2192.0,2193.0,2194.0,2195.0,2196.0,2197.0,2198.0,2200.0,2201.0,7239.0,4401.0,2213.0,2214.0,2215.0,2216.0,4599.0,2217.0,2218.0,2219.0,3365.0,3366.0,3367.0,3886.0,3887.0,3888.0,7186.0,7187.0,3947.0,3892.0,3893.0,3895.0,3896.0,3897.0,3898.0,3899.0,3900.0,3901.0,3902.0,3904.0,3905.0,3906.0,3907.0,3908.0,3909.0,5118.0,3910.0,3911.0,3912.0,3913.0,3914.0,7075.0,3925.0,3008.0,6089.0
5002475,28380.0,28491.0,28614.0,28762.0,28881.0,28967.0,29060.0,29258.0,29366.0,29432.0,29685.0,29722.0,29751.0,29776.0,29855.0,29881.0,29913.0,29936.0,29977.0,30030.0,30098.0,30169.0,30207.0,30359.0,30398.0,30425.0,30563.0,30609.0,30652.0,30695.0,30808.0,30880.0,30961.0,31016.0,31050.0,31091.0,31171.0,31229.0,31270.0,31303.0,31366.0,31378.0,31413.0,31440.0,31485.0,31533.0,31553.0,31571.0,31580.0,31626.0,31651.0,31678.0,31696.0,31749.0,31882.0,31931.0,31973.0,32040.0,32132.0,32213.0,32253.0,32280.0,32360.0,32397.0,32477.0,32550.0,32583.0,32604.0,32678.0
5002477,39180.0,39282.0,39395.0,39531.0,39641.0,39719.0,39824.0,40047.0,40147.0,40209.0,40425.0,40489.0,40513.0,40534.0,40586.0,40613.0,40644.0,40665.0,40703.0,40742.0,40792.0,40844.0,40872.0,41012.0,41047.0,41072.0,41189.0,41230.0,41271.0,41301.0,41377.0,41425.0,41463.0,41495.0,41515.0,41540.0,41614.0,41665.0,41704.0,41737.0,41803.0,41827.0,41873.0,41908.0,41967.0,42014.0,42033.0,42053.0,42062.0,42105.0,42122.0,42147.0,42165.0,42217.0,42341.0,42387.0,42426.0,42488.0,42574.0,42648.0,42684.0,42708.0,42781.0,42817.0,42896.0,42967.0,43000.0,43024.0,43096.0
5002479,51780.0,51886.0,52004.0,52146.0,52261.0,52343.0,52451.0,52681.0,52784.0,52848.0,53070.0,53129.0,53157.0,53181.0,53242.0,53267.0,53298.0,53319.0,53357.0,53400.0,53454.0,53511.0,53541.0,53696.0,53735.0,53763.0,53899.0,53942.0,53983.0,54016.0,54088.0,54134.0,54177.0,54228.0,54260.0,54299.0,54411.0,54486.0,54528.0,54563.0,54633.0,54650.0,54684.0,54710.0,54753.0,54798.0,54815.0,54833.0,54842.0,54886.0,54906.0,54932.0,54952.0,55007.0,55151.0,55204.0,55249.0,55321.0,55420.0,55502.0,55543.0,55568.0,55643.0,55679.0,55757.0,55828.0,55860.0,55888.0,55963.0
5002481,64380.0,64468.0,64566.0,64684.0,64779.0,64849.0,64964.0,65208.0,65306.0,65366.0,65564.0,65607.0,65633.0,65656.0,65741.0,65766.0,65797.0,65819.0,65859.0,65905.0,65963.0,66024.0,66055.0,66185.0,66218.0,66242.0,66369.0,66413.0,66457.0,66487.0,66565.0,66615.0,66650.0,66684.0,66705.0,66731.0,66807.0,66874.0,66915.0,66949.0,67009.0,67022.0,67054.0,67079.0,67121.0,67165.0,67182.0,67199.0,67207.0,67253.0,67276.0,67309.0,67331.0,67385.0,67502.0,67545.0,67581.0,67640.0,67720.0,67799.0,67838.0,67861.0,67930.0,67964.0,68039.0,68107.0,68140.0,68167.0,68237.0
5002483,75180.0,75248.0,75323.0,75414.0,75487.0,75540.0,75645.0,75867.0,75932.0,75972.0,76157.0,76194.0,76220.0,76242.0,76284.0,76309.0,76339.0,76359.0,76395.0,76430.0,76475.0,76522.0,76547.0,76666.0,76696.0,76717.0,76827.0,76867.0,76910.0,76942.0,77001.0,77039.0,77071.0,77097.0,77113.0,77132.0,77186.0,77225.0,77262.0,77292.0,77358.0,77373.0,77406.0,77431.0,77473.0,77517.0,77537.0,77556.0,77565.0,77594.0,77608.0,77628.0,77644.0,77695.0,77794.0,77830.0,77861.0,77911.0,77979.0,78049.0,78083.0,78104.0,78166.0,78201.0,78277.0,78346.0,78378.0,78403.0,78445.0
5002515,82380.0,82460.0,82549.0,82656.0,82743.0,82807.0,82940.0,83222.0,83286.0,83326.0,83513.0,83560.0,83583.0,83604.0,83659.0,83683.0,83714.0,83734.0,83770.0,83807.0,83854.0,83904.0,83930.0,84057.0,84089.0,84112.0,84227.0,84274.0,84320.0,84351.0,84427.0,84476.0,84510.0,84542.0,84561.0,84585.0,84653.0,84725.0,84780.0,84825.0,84918.0,84936.0,84971.0,84998.0,85043.0,85091.0,85110.0,85134.0,85145.0,85179.0,85197.0,85218.0,85237.0,85292.0,85396.0,85434.0,85466.0,85518.0,85590.0,85668.0,85706.0,85729.0,85798.0,85835.0,85915.0,85988.0,86022.0,86045.0,86089.0
5002724,24780.0,24828.0,24882.0,24947.0,24999.0,25037.0,25108.0,25260.0,25313.0,25345.0,25507.0,25532.0,25548.0,25563.0,25596.0,25617.0,25642.0,25660.0,25692.0,25722.0,25760.0,25800.0,25820.0,25919.0,25944.0,25962.0,26053.0,26085.0,26119.0,26148.0,26208.0,26247.0,26272.0,26294.0,26308.0,26325.0,26375.0,26406.0,26450.0,26487.0,26555.0,26563.0,26588.0,26607.0,26638.0,26678.0,26694.0,26711.0,26719.0,26744.0,26754.0,26775.0,26793.0,26843.0,26922.0,26951.0,26976.0,27016.0,27071.0,27129.0,27157.0,27177.0,27237.0,27270.0,27341.0,27406.0,27436.0,27452.0,27494.0
5002726,35580.0,35661.0,35751.0,35859.0,35946.0,36009.0,36093.0,36270.0,36360.0,36416.0,36618.0,36674.0,36696.0,36716.0,36769.0,36792.0,36825.0,36847.0,36887.0,36929.0,36983.0,37039.0,37069.0,37217.0,37255.0,37281.0,37393.0,37434.0,37472.0,37503.0,37576.0,37623.0,37658.0,37690.0,37709.0,37733.0,37807.0,37851.0,37889.0,37921.0,37985.0,37993.0,38027.0,38053.0,38096.0,38141.0,38159.0,38180.0,38190.0,38229.0,38247.0,38278.0,38298.0,38353.0,38477.0,38522.0,38561.0,38623.0,38708.0,38801.0,38847.0,38868.0,38932.0,38968.0,39046.0,39117.0,39149.0,39163.0,39237.0
5002728,46380.0,46465.0,46559.0,46672.0,46763.0,46829.0,46924.0,47125.0,47220.0,47279.0,47476.0,47529.0,47554.0,47576.0,47638.0,47663.0,47703.0,47730.0,47778.0,47820.0,47873.0,47929.0,47958.0,48120.0,48161.0,48190.0,48338.0,48379.0,48420.0,48449.0,48553.0,48619.0,48664.0,48698.0,48719.0,48744.0,48813.0,48888.0,48936.0,48975.0,49044.0,49065.0,49098.0,49123.0,49166.0,49213.0,49231.0,49249.0,49258.0,49293.0,49314.0,49342.0,49363.0,49415.0,49544.0,49591.0,49631.0,49696.0,49786.0,49870.0,49911.0,49935.0,50008.0,50045.0,50125.0,50198.0,50231.0,50256.0,50331.0
