tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P,054_P,055_P,056_P,057_P,058_P,059_P,060_P,061_P,062_P
0,4564.0,3443.0,3444.0,3445.0,3446.0,3447.0,3448.0,3449.0,3436.0,7432.0,3454.0,3455.0,3456.0,3457.0,3438.0,5022.0,6002.0,5119.0,5120.0,5121.0,5122.0,3461.0,4532.0,4534.0,4535.0,2169.0,2170.0,4672.0,3465.0,4673.0,2172.0,2159.0,4409.0,1972.0,1973.0,1974.0,1975.0,1977.0,1978.0,1980.0,1981.0,1982.0,4406.0,1984.0,1985.0,1986.0,1987.0,1988.0,2642.0,7435.0,2722.0,1471.0,1472.0,4408.0,1473.0,1474.0,1476.0,7453.0,1480.0,2912.0,1358.0,5192.0
5004158,45000.0,45084.0,45120.0,45164.0,45222.0,45260.0,45282.0,45314.0,45375.0,45408.0,45427.0,45494.0,45556.0,45605.0,45678.0,45741.0,45776.0,45816.0,45849.0,45960.0,46000.0,46050.0,46099.0,46131.0,46173.0,46213.0,46232.0,46255.0,46352.0,46388.0,46430.0,46543.0,46568.0,46654.0,46685.0,46710.0,46784.0,46837.0,46860.0,46939.0,46986.0,47014.0,47056.0,47115.0,47204.0,47258.0,47283.0,47332.0,47390.0,47454.0,47492.0,47549.0,47611.0,47639.0,47655.0,47729.0,47786.0,47860.0,47949.0,48023.0,48096.0,48186.0
5004164,77400.0,77472.0,77503.0,77528.0,77560.0,77581.0,77596.0,77617.0,77675.0,77702.0,77717.0,77761.0,77809.0,77861.0,77923.0,77975.0,78005.0,78039.0,78067.0,78160.0,78195.0,78237.0,78279.0,78306.0,78342.0,78376.0,78392.0,78411.0,78461.0,78480.0,78502.0,78561.0,78574.0,78614.0,78647.0,78673.0,78747.0,78799.0,78819.0,78882.0,78918.0,78939.0,78963.0,78998.0,79036.0,79069.0,79084.0,79114.0,79164.0,79219.0,79252.0,79299.0,79351.0,79372.0,79384.0,79440.0,79517.0,79585.0,79666.0,79743.0,79819.0,79913.0
5009610,45000.0,45064.0,45091.0,45130.0,45181.0,45214.0,45228.0,45248.0,45307.0,45343.0,45364.0,45461.0,45511.0,45559.0,45622.0,45676.0,45713.0,45755.0,45790.0,45906.0,45952.0,46011.0,46070.0,46108.0,46159.0,46207.0,46229.0,46256.0,46323.0,46348.0,46377.0,46456.0,46473.0,46556.0,46588.0,46614.0,46683.0,46732.0,46750.0,46801.0,46867.0,46906.0,46982.0,47091.0,47262.0,47339.0,47374.0,47447.0,47520.0,47601.0,47651.0,47737.0,47832.0,47865.0,47883.0,47959.0,48025.0,48106.0,48203.0,48277.0,48350.0,48440.0
5009616,77400.0,77442.0,77460.0,77479.0,77504.0,77520.0,77545.0,77580.0,77640.0,77678.0,77700.0,77760.0,77820.0,77880.0,77912.0,77940.0,77950.0,77961.0,77970.0,78000.0,78060.0,78120.0,78134.0,78143.0,78155.0,78167.0,78172.0,78180.0,78199.0,78206.0,78214.0,78236.0,78240.0,78300.0,78333.0,78360.0,78420.0,78480.0,78600.0,78660.0,78698.0,78720.0,78745.0,78780.0,78840.0,78865.0,78876.0,78900.0,78922.0,78946.0,78960.0,78989.0,79020.0,79058.0,79080.0,79140.0,79440.0,79467.0,79500.0,79551.0,79602.0,79665.0
5012938,22500.0,22589.0,22627.0,22667.0,22719.0,22753.0,22773.0,22801.0,22859.0,22903.0,22928.0,23005.0,23052.0,23100.0,23167.0,23224.0,23259.0,23298.0,23330.0,23440.0,23493.0,23554.0,23625.0,23672.0,23734.0,23793.0,23820.0,23853.0,23923.0,23949.0,23979.0,24061.0,24079.0,24141.0,24185.0,24221.0,24352.0,24409.0,24437.0,24514.0,24561.0,24589.0,24635.0,24701.0,24800.0,24856.0,24882.0,24935.0,25007.0,25087.0,25136.0,25222.0,25317.0,25359.0,25383.0,25489.0,25585.0,25701.0,25842.0,25916.0,25989.0,26079.0
5015070,24900.0,24989.0,25027.0,25067.0,25119.0,25153.0,25173.0,25201.0,25259.0,25303.0,25328.0,25405.0,25452.0,25500.0,25567.0,25624.0,25659.0,25698.0,25730.0,25840.0,25893.0,25954.0,26025.0,26072.0,26134.0,26193.0,26220.0,26253.0,26323.0,26349.0,26379.0,26461.0,26479.0,26541.0,26585.0,26621.0,26752.0,26809.0,26837.0,26914.0,26961.0,26989.0,27035.0,27101.0,27200.0,27256.0,27282.0,27335.0,27407.0,27487.0,27536.0,27622.0,27717.0,27759.0,27783.0,27889.0,27985.0,28101.0,28242.0,28316.0,28389.0,28479.0
5016080,27900.0,27962.0,27988.0,28010.0,28040.0,28059.0,28074.0,28096.0,28149.0,28183.0,28202.0,28240.0,28290.0,28336.0,28392.0,28440.0,28466.0,28495.0,28519.0,28600.0,28631.0,28672.0,28714.0,28741.0,28777.0,28812.0,28828.0,28848.0,28899.0,28918.0,28940.0,28999.0,29012.0,29047.0,29072.0,29093.0,29161.0,29219.0,29243.0,29301.0,29319.0,29330.0,29351.0,29380.0,29420.0,29456.0,29472.0,29506.0,29545.0,29588.0,29614.0,29656.0,29702.0,29722.0,29733.0,29779.0,29818.0,29864.0,29919.0,29991.0,30062.0,30150.0
5016082,41400.0,41566.0,41636.0,41673.0,41723.0,41755.0,41782.0,41820.0,41883.0,41915.0,41933.0,41982.0,42038.0,42090.0,42146.0,42194.0,42235.0,42281.0,42319.0,42445.0,42481.0,42677.0,42736.0,42775.0,42826.0,42875.0,42898.0,42925.0,43001.0,43029.0,43062.0,43151.0,43171.0,43244.0,43270.0,43292.0,43360.0,43409.0,43426.0,43496.0,43558.0,43594.0,43630.0,43682.0,43742.0,43826.0,43864.0,43942.0,43992.0,44047.0,44081.0,44149.0,44224.0,44276.0,44306.0,44387.0,44445.0,44512.0,44592.0,44666.0,44739.0,44829.0
5016084,52200.0,52264.0,52291.0,52330.0,52381.0,52414.0,52428.0,52448.0,52507.0,52543.0,52564.0,52661.0,52711.0,52759.0,52822.0,52876.0,52913.0,52955.0,52990.0,53106.0,53152.0,53211.0,53270.0,53308.0,53359.0,53407.0,53429.0,53456.0,53523.0,53548.0,53577.0,53656.0,53673.0,53756.0,53788.0,53814.0,53883.0,53932.0,53950.0,54001.0,54067.0,54106.0,54182.0,54291.0,54462.0,54539.0,54574.0,54647.0,54720.0,54801.0,54851.0,54937.0,55032.0,55065.0,55083.0,55159.0,55225.0,55306.0,55403.0,55477.0,55550.0,55640.0
