tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P
0,7333.0,783.0,784.0,785.0,786.0,793.0,7576.0,7586.0,7587.0,7588.0,329.0,1443.0,1444.0,1445.0,1647.0,1648.0,1649.0,1911.0,1913.0,1914.0,1805.0,1806.0,1660.0,1661.0,1662.0,1664.0,1665.0,1666.0,1807.0,7167.0,1808.0,7389.0,4324.0,4769.0,4770.0,4765.0,4766.0,4767.0,4768.0,4325.0,3328.0,3329.0,3330.0,3331.0,3351.0,3332.0,3333.0
5003300,25200.0,25292.0,25315.0,25353.0,25434.0,25554.0,25562.0,25679.0,25771.0,25807.0,25947.0,26034.0,26114.0,26203.0,26352.0,26447.0,26477.0,26557.0,26597.0,26627.0,26652.0,26710.0,26789.0,26835.0,26887.0,26949.0,26988.0,27033.0,27101.0,27128.0,27191.0,27312.0,27769.0,27789.0,27840.0,27878.0,27938.0,27988.0,28017.0,28124.0,28224.0,28286.0,28304.0,28360.0,28437.0,28629.0,28793.0
5003987,39600.0,39660.0,39705.0,39780.0,39873.0,40010.0,40020.0,40238.0,40409.0,40477.0,40740.0,40860.0,40883.0,40909.0,40952.0,40980.0,41013.0,41100.0,41169.0,41220.0,41280.0,41340.0,41400.0,41428.0,41460.0,41497.0,41520.0,41580.0,41640.0,41700.0,41740.0,41817.0,42107.0,42120.0,42147.0,42167.0,42199.0,42225.0,42240.0,42360.0,42480.0,42600.0,42629.0,42720.0,42840.0,42905.0,42960.0
5003989,57900.0,58069.0,58106.0,58169.0,58302.0,58499.0,58513.0,58681.0,58813.0,58865.0,59067.0,59224.0,59299.0,59382.0,59522.0,59611.0,59669.0,59823.0,59867.0,59899.0,59934.0,60021.0,60181.0,60247.0,60320.0,60384.0,60424.0,60486.0,60552.0,60594.0,60651.0,60761.0,61177.0,61196.0,61239.0,61271.0,61322.0,61364.0,61389.0,61463.0,61553.0,61655.0,61670.0,61719.0,61784.0,61983.0,62154.0
5014590,46800.0,46954.0,46993.0,47060.0,47177.0,47350.0,47362.0,47585.0,47761.0,47830.0,48099.0,48206.0,48281.0,48364.0,48504.0,48592.0,48622.0,48703.0,48755.0,48793.0,48812.0,48861.0,48975.0,49033.0,49098.0,49164.0,49205.0,49241.0,49303.0,49328.0,49387.0,49501.0,49931.0,49950.0,49992.0,50023.0,50073.0,50114.0,50139.0,50214.0,50306.0,50372.0,50392.0,50456.0,50507.0,50655.0,50782.0
5014595,76200.0,76260.0,76305.0,76380.0,76426.0,76495.0,76500.0,76736.0,76922.0,76995.0,77280.0,77340.0,77352.0,77365.0,77387.0,77400.0,77416.0,77460.0,77494.0,77520.0,77580.0,77640.0,77700.0,77728.0,77760.0,77797.0,77820.0,77880.0,77940.0,78000.0,78046.0,78134.0,78466.0,78480.0,78493.0,78503.0,78519.0,78532.0,78540.0,78600.0,78720.0,78840.0,78869.0,78960.0,79080.0,79145.0,79200.0
5014597,83700.0,83760.0,83805.0,83880.0,83926.0,83995.0,84000.0,84236.0,84422.0,84495.0,84780.0,84840.0,84852.0,84865.0,84887.0,84900.0,84916.0,84960.0,84994.0,85020.0,85080.0,85140.0,85200.0,85228.0,85260.0,85297.0,85320.0,85380.0,85440.0,85500.0,85546.0,85634.0,85966.0,85980.0,85993.0,86003.0,86019.0,86032.0,86040.0,86100.0,86220.0,86340.0,86369.0,86460.0,86580.0,86645.0,86700.0
5014729,32400.0,32681.0,32710.0,32760.0,32893.0,33090.0,33104.0,33296.0,33447.0,33506.0,33736.0,33814.0,33867.0,33925.0,34023.0,34085.0,34109.0,34174.0,34236.0,34283.0,34313.0,34358.0,34423.0,34458.0,34496.0,34539.0,34566.0,34587.0,34630.0,34651.0,34700.0,34794.0,35147.0,35162.0,35201.0,35230.0,35276.0,35314.0,35336.0,35408.0,35482.0,35532.0,35547.0,35593.0,35629.0,35828.0,35999.0
5015360,60600.0,60769.0,60806.0,60869.0,61002.0,61199.0,61213.0,61381.0,61513.0,61565.0,61767.0,61924.0,61999.0,62082.0,62222.0,62311.0,62369.0,62523.0,62567.0,62599.0,62634.0,62721.0,62881.0,62947.0,63020.0,63084.0,63124.0,63186.0,63252.0,63294.0,63351.0,63461.0,63877.0,63896.0,63939.0,63971.0,64022.0,64064.0,64089.0,64163.0,64253.0,64355.0,64370.0,64419.0,64484.0,64683.0,64854.0
5015362,70500.0,70560.0,70605.0,70680.0,70750.0,70853.0,70860.0,71078.0,71249.0,71317.0,71580.0,71760.0,71783.0,71809.0,71852.0,71880.0,71913.0,72000.0,72034.0,72060.0,72120.0,72180.0,72240.0,72268.0,72300.0,72337.0,72360.0,72420.0,72480.0,72540.0,72597.0,72707.0,73122.0,73140.0,73167.0,73187.0,73219.0,73245.0,73260.0,73380.0,73500.0,73620.0,73649.0,73740.0,73860.0,73925.0,73980.0
