tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P,054_P,055_P,056_P,057_P,058_P,059_P,060_P,061_P,062_P,063_P,064_P,065_P,066_P,067_P,068_P,069_P,070_P,071_P,072_P,073_P,074_P,075_P,076_P,077_P,078_P,079_P,080_P,081_P,082_P,083_P,084_P,085_P,086_P,087_P
0,4342.0,4348.0,4646.0,4647.0,4435.0,2605.0,2538.0,2539.0,2540.0,2542.0,6128.0,2544.0,2545.0,2547.0,2548.0,946.0,1131.0,1132.0,1133.0,1134.0,5131.0,5132.0,1305.0,1306.0,1307.0,1308.0,1309.0,4332.0,4333.0,4334.0,4712.0,2853.0,2854.0,2855.0,2856.0,2857.0,2858.0,2859.0,2860.0,2861.0,2862.0,2863.0,2864.0,4486.0,4586.0,2872.0,2873.0,2874.0,2877.0,7394.0,2878.0,2879.0,4779.0,7057.0,4847.0,4848.0,449.0,450.0,3181.0,447.0,5045.0,4460.0,453.0,4477.0,3321.0,4571.0,2013.0,2014.0,4636.0,2016.0,2015.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,4565.0,4566.0,4567.0,2031.0,2032.0,2033.0,2034.0,2035.0,2036.0,2038.0
5002531,28800.0,28896.0,28979.0,29018.0,29163.0,29263.0,29342.0,29460.0,29520.0,29580.0,29705.0,29721.0,29771.0,29880.0,29940.0,29955.0,29959.0,29961.0,29968.0,29972.0,29981.0,29989.0,30000.0,30060.0,30102.0,30133.0,30186.0,30259.0,30360.0,30428.0,30464.0,30540.0,30583.0,30625.0,30668.0,30720.0,30806.0,30900.0,30978.0,31054.0,31200.0,31209.0,31260.0,31320.0,31450.0,31620.0,31673.0,31740.0,31828.0,31849.0,31866.0,31920.0,31974.0,32047.0,32101.0,32204.0,32272.0,32326.0,32437.0,32563.0,32645.0,32733.0,32763.0,32807.0,32880.0,32970.0,33060.0,33120.0,33161.0,33240.0,33275.0,33300.0,33332.0,33361.0,33396.0,33420.0,33513.0,33660.0,33720.0,33803.0,33900.0,34020.0,34079.0,34114.0,34200.0,34481.0,34680.0
5006413,27000.0,27096.0,27179.0,27218.0,27363.0,27463.0,27542.0,27660.0,27720.0,27780.0,27905.0,27921.0,27971.0,28080.0,28140.0,28155.0,28159.0,28161.0,28168.0,28172.0,28181.0,28189.0,28200.0,28260.0,28302.0,28333.0,28386.0,28459.0,28560.0,28628.0,28664.0,28740.0,28783.0,28825.0,28868.0,28920.0,29006.0,29100.0,29178.0,29254.0,29400.0,29409.0,29460.0,29520.0,29650.0,29820.0,29873.0,29940.0,30028.0,30049.0,30066.0,30120.0,30174.0,30247.0,30301.0,30404.0,30472.0,30526.0,30637.0,30763.0,30845.0,30933.0,30963.0,31007.0,31080.0,31170.0,31260.0,31320.0,31361.0,31440.0,31475.0,31500.0,31532.0,31561.0,31596.0,31620.0,31713.0,31860.0,31920.0,32003.0,32100.0,32220.0,32279.0,32314.0,32400.0,32681.0,32880.0
5012809,25200.0,25296.0,25379.0,25418.0,25563.0,25663.0,25742.0,25860.0,25920.0,25980.0,26105.0,26121.0,26171.0,26280.0,26340.0,26355.0,26359.0,26361.0,26368.0,26372.0,26381.0,26389.0,26400.0,26460.0,26494.0,26519.0,26562.0,26620.0,26700.0,26745.0,26769.0,26820.0,26849.0,26877.0,26906.0,26940.0,26997.0,27060.0,27122.0,27183.0,27300.0,27305.0,27331.0,27360.0,27438.0,27540.0,27567.0,27600.0,27717.0,27745.0,27767.0,27840.0,27891.0,27960.0,28011.0,28107.0,28171.0,28222.0,28326.0,28444.0,28520.0,28603.0,28631.0,28672.0,28740.0,28830.0,28920.0,28980.0,29021.0,29100.0,29135.0,29160.0,29208.0,29251.0,29303.0,29340.0,29410.0,29520.0,29580.0,29636.0,29700.0,29760.0,29800.0,29824.0,29880.0,30196.0,30420.0
5013569,23400.0,23496.0,23579.0,23618.0,23763.0,23863.0,23942.0,24060.0,24120.0,24180.0,24305.0,24321.0,24371.0,24480.0,24540.0,24555.0,24559.0,24561.0,24568.0,24572.0,24581.0,24589.0,24600.0,24660.0,24694.0,24719.0,24762.0,24820.0,24900.0,24945.0,24969.0,25020.0,25049.0,25077.0,25106.0,25140.0,25197.0,25260.0,25322.0,25383.0,25500.0,25505.0,25531.0,25560.0,25638.0,25740.0,25767.0,25800.0,25917.0,25945.0,25967.0,26040.0,26091.0,26160.0,26211.0,26307.0,26371.0,26422.0,26526.0,26644.0,26720.0,26803.0,26831.0,26872.0,26940.0,27030.0,27120.0,27180.0,27221.0,27300.0,27335.0,27360.0,27408.0,27451.0,27503.0,27540.0,27610.0,27720.0,27780.0,27836.0,27900.0,27960.0,28000.0,28024.0,28080.0,28396.0,28620.0
5018197,59400.0,59531.0,59644.0,59697.0,59895.0,60031.0,60139.0,60300.0,60360.0,60420.0,60545.0,60561.0,60611.0,60720.0,60780.0,60795.0,60799.0,60801.0,60808.0,60812.0,60821.0,60829.0,60840.0,60900.0,60942.0,60973.0,61026.0,61099.0,61200.0,61245.0,61269.0,61320.0,61349.0,61377.0,61406.0,61440.0,61497.0,61560.0,61607.0,61652.0,61740.0,61745.0,61771.0,61800.0,61904.0,62040.0,62067.0,62100.0,62217.0,62245.0,62267.0,62340.0,62398.0,62476.0,62534.0,62643.0,62715.0,62773.0,62890.0,63023.0,63110.0,63204.0,63235.0,63282.0,63360.0,63480.0,63600.0,63660.0,63701.0,63780.0,63815.0,63840.0,63872.0,63901.0,63936.0,63960.0,64030.0,64140.0,64200.0,64256.0,64320.0,64440.0,64480.0,64504.0,64560.0,64841.0,65040.0
5083637,28800.0,28896.0,28979.0,29018.0,29163.0,29263.0,29342.0,29460.0,29520.0,29580.0,29705.0,29721.0,29771.0,29880.0,29940.0,29955.0,29959.0,29961.0,29968.0,29972.0,29981.0,29989.0,30000.0,30060.0,30102.0,30133.0,30186.0,30259.0,30360.0,30428.0,30464.0,30540.0,30583.0,30625.0,30668.0,30720.0,30806.0,30900.0,30978.0,31054.0,31200.0,31209.0,31260.0,31320.0,31450.0,31620.0,31673.0,31740.0,31828.0,31849.0,31866.0,31920.0,31974.0,32047.0,32101.0,32204.0,32272.0,32326.0,32437.0,32563.0,32645.0,32733.0,32763.0,32807.0,32880.0,32970.0,33060.0,33120.0,33161.0,33240.0,33275.0,33300.0,33332.0,33361.0,33396.0,33420.0,33513.0,33660.0,33720.0,33803.0,33900.0,34020.0,34079.0,34114.0,34200.0,34481.0,34680.0
5085360,23400.0,23496.0,23579.0,23618.0,23763.0,23863.0,23942.0,24060.0,24120.0,24180.0,24305.0,24321.0,24371.0,24480.0,24540.0,24555.0,24559.0,24561.0,24568.0,24572.0,24581.0,24589.0,24600.0,24660.0,24694.0,24719.0,24762.0,24820.0,24900.0,24945.0,24969.0,25020.0,25049.0,25077.0,25106.0,25140.0,25197.0,25260.0,25322.0,25383.0,25500.0,25505.0,25531.0,25560.0,25638.0,25740.0,25767.0,25800.0,25917.0,25945.0,25967.0,26040.0,26091.0,26160.0,26211.0,26307.0,26371.0,26422.0,26526.0,26644.0,26720.0,26803.0,26831.0,26872.0,26940.0,27030.0,27120.0,27180.0,27221.0,27300.0,27335.0,27360.0,27408.0,27451.0,27503.0,27540.0,27610.0,27720.0,27780.0,27836.0,27900.0,27960.0,28000.0,28024.0,28080.0,28396.0,28620.0
5085429,25200.0,25296.0,25379.0,25418.0,25563.0,25663.0,25742.0,25860.0,25920.0,25980.0,26105.0,26121.0,26171.0,26280.0,26340.0,26355.0,26359.0,26361.0,26368.0,26372.0,26381.0,26389.0,26400.0,26460.0,26494.0,26519.0,26562.0,26620.0,26700.0,26745.0,26769.0,26820.0,26849.0,26877.0,26906.0,26940.0,26997.0,27060.0,27122.0,27183.0,27300.0,27305.0,27331.0,27360.0,27438.0,27540.0,27567.0,27600.0,27717.0,27745.0,27767.0,27840.0,27891.0,27960.0,28011.0,28107.0,28171.0,28222.0,28326.0,28444.0,28520.0,28603.0,28631.0,28672.0,28740.0,28830.0,28920.0,28980.0,29021.0,29100.0,29135.0,29160.0,29208.0,29251.0,29303.0,29340.0,29410.0,29520.0,29580.0,29636.0,29700.0,29760.0,29800.0,29824.0,29880.0,30196.0,30420.0
5095646,59400.0,59531.0,59644.0,59697.0,59895.0,60031.0,60139.0,60300.0,60360.0,60420.0,60545.0,60561.0,60611.0,60720.0,60780.0,60795.0,60799.0,60801.0,60808.0,60812.0,60821.0,60829.0,60840.0,60900.0,60942.0,60973.0,61026.0,61099.0,61200.0,61245.0,61269.0,61320.0,61349.0,61377.0,61406.0,61440.0,61497.0,61560.0,61607.0,61652.0,61740.0,61745.0,61771.0,61800.0,61904.0,62040.0,62067.0,62100.0,62217.0,62245.0,62267.0,62340.0,62398.0,62476.0,62534.0,62643.0,62715.0,62773.0,62890.0,63023.0,63110.0,63204.0,63235.0,63282.0,63360.0,63480.0,63600.0,63660.0,63701.0,63780.0,63815.0,63840.0,63872.0,63901.0,63936.0,63960.0,64030.0,64140.0,64200.0,64256.0,64320.0,64440.0,64480.0,64504.0,64560.0,64841.0,65040.0
