tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P,054_P,055_P,056_P,057_P,058_P,059_P,060_P,061_P,062_P,063_P,064_P,065_P,066_P,067_P,068_P,069_P,070_P,071_P,072_P,073_P,074_P,075_P,076_P,077_P,078_P,079_P,080_P,081_P,082_P,083_P,084_P,085_P,086_P,087_P,088_P,089_P,090_P,091_P,092_P,093_P,094_P
0,2038.0,2039.0,2040.0,2041.0,2042.0,2043.0,2044.0,2045.0,2046.0,4568.0,4569.0,7658.0,4570.0,2056.0,2057.0,2058.0,2059.0,2060.0,2061.0,2062.0,2063.0,2064.0,2065.0,4637.0,3322.0,3563.0,444.0,445.0,4779.0,7057.0,4847.0,4848.0,449.0,450.0,3181.0,447.0,5045.0,7393.0,2880.0,2882.0,2883.0,2885.0,2886.0,2887.0,4587.0,2842.0,2843.0,2844.0,2845.0,2846.0,2847.0,4397.0,2848.0,2849.0,2850.0,2851.0,2852.0,4707.0,4708.0,4336.0,4337.0,1317.0,1318.0,1319.0,1281.0,1329.0,1330.0,5129.0,5130.0,1138.0,1139.0,1140.0,2515.0,2516.0,2517.0,2518.0,2520.0,2521.0,2522.0,2524.0,2523.0,2532.0,2533.0,2534.0,2535.0,2536.0,2616.0,2617.0,2557.0,4436.0,5008.0,4640.0,4347.0,7181.0
5003299,64800.0,64816.0,64907.0,65020.0,65160.0,65189.0,65232.0,65280.0,65340.0,65460.0,65520.0,65640.0,65689.0,65841.0,65940.0,65982.0,66040.0,66120.0,66168.0,66240.0,66288.0,66360.0,66420.0,66518.0,66587.0,66623.0,66677.0,66726.0,66777.0,66840.0,66887.0,66975.0,67033.0,67080.0,67175.0,67283.0,67353.0,67395.0,67440.0,67488.0,67536.0,67620.0,67686.0,67731.0,67860.0,68040.0,68100.0,68135.0,68208.0,68280.0,68307.0,68328.0,68400.0,68431.0,68466.0,68496.0,68520.0,68563.0,68601.0,68640.0,68752.0,68785.0,68814.0,68859.0,68892.0,68940.0,69000.0,69046.0,69135.0,69223.0,69295.0,69334.0,69385.0,69420.0,69449.0,69480.0,69564.0,69600.0,69704.0,69786.0,69819.0,69900.0,69979.0,70019.0,70080.0,70126.0,70168.0,70218.0,70265.0,70330.0,70393.0,70461.0,70556.0,70620.0
5003677,27600.0,27608.0,27653.0,27710.0,27780.0,27795.0,27816.0,27840.0,27900.0,27960.0,28020.0,28080.0,28099.0,28160.0,28200.0,28228.0,28267.0,28320.0,28368.0,28440.0,28464.0,28500.0,28560.0,28612.0,28648.0,28667.0,28696.0,28722.0,28749.0,28782.0,28807.0,28854.0,28885.0,28910.0,28960.0,29017.0,29054.0,29076.0,29100.0,29116.0,29132.0,29160.0,29193.0,29215.0,29280.0,29340.0,29400.0,29423.0,29472.0,29520.0,29547.0,29568.0,29640.0,29671.0,29706.0,29736.0,29760.0,29781.0,29800.0,29820.0,29910.0,29936.0,29959.0,29995.0,30021.0,30060.0,30120.0,30153.0,30216.0,30279.0,30331.0,30359.0,30395.0,30420.0,30449.0,30480.0,30522.0,30540.0,30602.0,30651.0,30671.0,30720.0,30746.0,30759.0,30780.0,30831.0,30878.0,30933.0,30986.0,31058.0,31128.0,31203.0,31308.0,31380.0
5006418,63000.0,63016.0,63107.0,63220.0,63360.0,63389.0,63432.0,63480.0,63540.0,63660.0,63720.0,63840.0,63889.0,64041.0,64140.0,64182.0,64240.0,64320.0,64368.0,64440.0,64488.0,64560.0,64620.0,64718.0,64787.0,64823.0,64877.0,64926.0,64977.0,65040.0,65087.0,65175.0,65233.0,65280.0,65375.0,65483.0,65553.0,65595.0,65640.0,65688.0,65736.0,65820.0,65886.0,65931.0,66060.0,66240.0,66300.0,66335.0,66408.0,66480.0,66507.0,66528.0,66600.0,66631.0,66666.0,66696.0,66720.0,66763.0,66801.0,66840.0,66952.0,66985.0,67014.0,67059.0,67092.0,67140.0,67200.0,67246.0,67335.0,67423.0,67495.0,67534.0,67585.0,67620.0,67649.0,67680.0,67764.0,67800.0,67904.0,67986.0,68019.0,68100.0,68179.0,68219.0,68280.0,68326.0,68368.0,68418.0,68465.0,68530.0,68593.0,68661.0,68756.0,68820.0
5008467,27000.0,27011.0,27071.0,27146.0,27240.0,27255.0,27276.0,27300.0,27360.0,27420.0,27480.0,27540.0,27569.0,27660.0,27720.0,27762.0,27820.0,27900.0,27972.0,28080.0,28128.0,28200.0,28260.0,28352.0,28417.0,28451.0,28502.0,28548.0,28596.0,28655.0,28699.0,28782.0,28837.0,28881.0,28970.0,29072.0,29138.0,29178.0,29220.0,29268.0,29316.0,29400.0,29449.0,29483.0,29580.0,29640.0,29700.0,29747.0,29845.0,29940.0,29967.0,29988.0,30060.0,30091.0,30126.0,30156.0,30180.0,30223.0,30261.0,30300.0,30412.0,30445.0,30474.0,30519.0,30552.0,30600.0,30660.0,30712.0,30814.0,30915.0,30998.0,31042.0,31100.0,31140.0,31169.0,31200.0,31327.0,31380.0,31504.0,31603.0,31643.0,31740.0,31819.0,31859.0,31920.0,31971.0,32018.0,32073.0,32126.0,32198.0,32268.0,32343.0,32448.0,32520.0
5013574,59400.0,59416.0,59507.0,59620.0,59760.0,59789.0,59832.0,59880.0,59940.0,60060.0,60120.0,60240.0,60289.0,60441.0,60540.0,60582.0,60640.0,60720.0,60768.0,60840.0,60888.0,60960.0,61020.0,61118.0,61187.0,61223.0,61277.0,61326.0,61377.0,61440.0,61487.0,61575.0,61633.0,61680.0,61775.0,61883.0,61953.0,61995.0,62040.0,62088.0,62136.0,62220.0,62286.0,62331.0,62460.0,62640.0,62700.0,62735.0,62808.0,62880.0,62907.0,62928.0,63000.0,63031.0,63066.0,63096.0,63120.0,63163.0,63201.0,63240.0,63352.0,63385.0,63414.0,63459.0,63492.0,63540.0,63600.0,63646.0,63735.0,63823.0,63895.0,63934.0,63985.0,64020.0,64049.0,64080.0,64164.0,64200.0,64304.0,64386.0,64419.0,64500.0,64579.0,64619.0,64680.0,64726.0,64768.0,64818.0,64865.0,64930.0,64993.0,65061.0,65156.0,65220.0
5017688,24000.0,24008.0,24053.0,24110.0,24180.0,24195.0,24216.0,24240.0,24300.0,24360.0,24420.0,24480.0,24499.0,24560.0,24600.0,24628.0,24667.0,24720.0,24768.0,24840.0,24864.0,24900.0,24960.0,25012.0,25048.0,25067.0,25096.0,25122.0,25149.0,25182.0,25207.0,25254.0,25285.0,25310.0,25360.0,25417.0,25454.0,25476.0,25500.0,25516.0,25532.0,25560.0,25593.0,25615.0,25680.0,25740.0,25800.0,25823.0,25872.0,25920.0,25934.0,25945.0,25980.0,26011.0,26046.0,26076.0,26100.0,26121.0,26140.0,26160.0,26227.0,26247.0,26264.0,26291.0,26311.0,26340.0,26400.0,26426.0,26477.0,26527.0,26568.0,26590.0,26619.0,26640.0,26669.0,26700.0,26742.0,26760.0,26822.0,26871.0,26891.0,26940.0,26966.0,26979.0,27000.0,27051.0,27098.0,27153.0,27206.0,27278.0,27348.0,27423.0,27528.0,27600.0
5085365,59400.0,59416.0,59507.0,59620.0,59760.0,59789.0,59832.0,59880.0,59940.0,60060.0,60120.0,60240.0,60289.0,60441.0,60540.0,60582.0,60640.0,60720.0,60768.0,60840.0,60888.0,60960.0,61020.0,61118.0,61187.0,61223.0,61277.0,61326.0,61377.0,61440.0,61487.0,61575.0,61633.0,61680.0,61775.0,61883.0,61953.0,61995.0,62040.0,62088.0,62136.0,62220.0,62286.0,62331.0,62460.0,62640.0,62700.0,62735.0,62808.0,62880.0,62907.0,62928.0,63000.0,63031.0,63066.0,63096.0,63120.0,63163.0,63201.0,63240.0,63352.0,63385.0,63414.0,63459.0,63492.0,63540.0,63600.0,63646.0,63735.0,63823.0,63895.0,63934.0,63985.0,64020.0,64049.0,64080.0,64164.0,64200.0,64304.0,64386.0,64419.0,64500.0,64579.0,64619.0,64680.0,64726.0,64768.0,64818.0,64865.0,64930.0,64993.0,65061.0,65156.0,65220.0
5085793,64800.0,64816.0,64907.0,65020.0,65160.0,65189.0,65232.0,65280.0,65340.0,65460.0,65520.0,65640.0,65689.0,65841.0,65940.0,65982.0,66040.0,66120.0,66168.0,66240.0,66288.0,66360.0,66420.0,66518.0,66587.0,66623.0,66677.0,66726.0,66777.0,66840.0,66887.0,66975.0,67033.0,67080.0,67175.0,67283.0,67353.0,67395.0,67440.0,67488.0,67536.0,67620.0,67686.0,67731.0,67860.0,68040.0,68100.0,68135.0,68208.0,68280.0,68307.0,68328.0,68400.0,68431.0,68466.0,68496.0,68520.0,68563.0,68601.0,68640.0,68752.0,68785.0,68814.0,68859.0,68892.0,68940.0,69000.0,69046.0,69135.0,69223.0,69295.0,69334.0,69385.0,69420.0,69449.0,69480.0,69564.0,69600.0,69704.0,69786.0,69819.0,69900.0,69979.0,70019.0,70080.0,70126.0,70168.0,70218.0,70265.0,70330.0,70393.0,70461.0,70556.0,70620.0
5088584,27000.0,27011.0,27071.0,27146.0,27240.0,27255.0,27276.0,27300.0,27360.0,27420.0,27480.0,27540.0,27569.0,27660.0,27720.0,27762.0,27820.0,27900.0,27972.0,28080.0,28128.0,28200.0,28260.0,28352.0,28417.0,28451.0,28502.0,28548.0,28596.0,28655.0,28699.0,28782.0,28837.0,28881.0,28970.0,29072.0,29138.0,29178.0,29220.0,29268.0,29316.0,29400.0,29449.0,29483.0,29580.0,29640.0,29700.0,29747.0,29845.0,29940.0,29967.0,29988.0,30060.0,30091.0,30126.0,30156.0,30180.0,30223.0,30261.0,30300.0,30412.0,30445.0,30474.0,30519.0,30552.0,30600.0,30660.0,30712.0,30814.0,30915.0,30998.0,31042.0,31100.0,31140.0,31169.0,31200.0,31327.0,31380.0,31504.0,31603.0,31643.0,31740.0,31819.0,31859.0,31920.0,31971.0,32018.0,32073.0,32126.0,32198.0,32268.0,32343.0,32448.0,32520.0
