tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P
0,2243.0,2200.0,5006.0,5007.0,2655.0,2656.0,2668.0,2672.0,2673.0,2206.0,4798.0,4795.0,2675.0,2124.0,2125.0,2126.0,2127.0,2128.0,2129.0,2130.0,2158.0,2159.0,4409.0,2173.0,2174.0,3425.0,2763.0,2619.0,2620.0,2345.0,5008.0,4640.0,4347.0,4341.0
5002507,41400.0,41460.0,41553.0,41605.0,41711.0,41787.0,41849.0,41908.0,41948.0,41988.0,42033.0,42314.0,42495.0,42535.0,42568.0,42609.0,42668.0,42716.0,42812.0,42976.0,43087.0,43164.0,43202.0,43357.0,43402.0,43481.0,43605.0,43683.0,43761.0,43837.0,43896.0,43940.0,44001.0,44053.0
5002509,48600.0,48660.0,48753.0,48805.0,48911.0,48987.0,49049.0,49108.0,49148.0,49188.0,49233.0,49514.0,49695.0,49735.0,49768.0,49809.0,49868.0,49916.0,50012.0,50176.0,50287.0,50364.0,50402.0,50557.0,50602.0,50681.0,50805.0,50883.0,50961.0,51037.0,51096.0,51140.0,51201.0,51253.0
5002512,66600.0,66648.0,66723.0,66765.0,66851.0,66914.0,66963.0,67009.0,67042.0,67075.0,67114.0,67355.0,67510.0,67544.0,67568.0,67598.0,67641.0,67676.0,67746.0,67866.0,67947.0,68011.0,68034.0,68127.0,68189.0,68297.0,68467.0,68540.0,68618.0,68694.0,68753.0,68797.0,68858.0,68910.0
5002745,32400.0,32444.0,32512.0,32550.0,32628.0,32685.0,32724.0,32762.0,32785.0,32808.0,32839.0,33029.0,33152.0,33178.0,33199.0,33226.0,33264.0,33295.0,33357.0,33463.0,33536.0,33607.0,33629.0,33721.0,33753.0,33809.0,33898.0,33960.0,34038.0,34114.0,34173.0,34217.0,34278.0,34330.0
5002747,45000.0,45060.0,45153.0,45205.0,45311.0,45387.0,45449.0,45508.0,45548.0,45588.0,45633.0,45914.0,46095.0,46135.0,46168.0,46209.0,46268.0,46316.0,46412.0,46576.0,46687.0,46764.0,46802.0,46957.0,47002.0,47081.0,47205.0,47283.0,47361.0,47437.0,47496.0,47540.0,47601.0,47653.0
5002749,57600.0,57657.0,57745.0,57794.0,57895.0,57969.0,58045.0,58117.0,58160.0,58203.0,58262.0,58627.0,58863.0,58915.0,58945.0,58982.0,59034.0,59077.0,59163.0,59309.0,59407.0,59494.0,59525.0,59652.0,59694.0,59768.0,59885.0,59958.0,60036.0,60112.0,60171.0,60215.0,60276.0,60328.0
5002751,64800.0,64849.0,64926.0,64969.0,65057.0,65120.0,65179.0,65235.0,65268.0,65302.0,65354.0,65674.0,65881.0,65926.0,65953.0,65987.0,66036.0,66076.0,66156.0,66292.0,66383.0,66462.0,66497.0,66640.0,66673.0,66730.0,66820.0,66898.0,66976.0,67052.0,67111.0,67155.0,67216.0,67268.0
5002752,75600.0,75645.0,75715.0,75754.0,75834.0,75892.0,75942.0,75990.0,76015.0,76041.0,76071.0,76260.0,76382.0,76410.0,76430.0,76454.0,76489.0,76518.0,76575.0,76672.0,76736.0,76784.0,76807.0,76900.0,76933.0,76990.0,77079.0,77141.0,77217.0,77292.0,77350.0,77393.0,77453.0,77504.0
5002754,81000.0,81045.0,81115.0,81154.0,81234.0,81292.0,81342.0,81390.0,81415.0,81441.0,81471.0,81660.0,81782.0,81810.0,81830.0,81854.0,81889.0,81918.0,81975.0,82072.0,82136.0,82184.0,82207.0,82300.0,82333.0,82390.0,82479.0,82541.0,82617.0,82692.0,82750.0,82793.0,82853.0,82904.0
5003254,27000.0,27038.0,27098.0,27131.0,27199.0,27249.0,27289.0,27328.0,27354.0,27381.0,27408.0,27574.0,27681.0,27704.0,27723.0,27746.0,27780.0,27808.0,27863.0,27956.0,28019.0,28056.0,28075.0,28151.0,28183.0,28239.0,28326.0,28382.0,28456.0,28528.0,28584.0,28626.0,28684.0,28733.0
5003256,34200.0,34244.0,34312.0,34350.0,34428.0,34485.0,34541.0,34595.0,34621.0,34648.0,34684.0,34907.0,35051.0,35083.0,35109.0,35141.0,35187.0,35225.0,35300.0,35427.0,35511.0,35564.0,35596.0,35724.0,35763.0,35831.0,35939.0,36024.0,36102.0,36178.0,36237.0,36281.0,36342.0,36394.0
5003259,50400.0,50460.0,50553.0,50605.0,50711.0,50787.0,50849.0,50908.0,50948.0,50988.0,51033.0,51314.0,51495.0,51535.0,51568.0,51609.0,51668.0,51716.0,51812.0,51976.0,52087.0,52164.0,52202.0,52357.0,52402.0,52481.0,52605.0,52683.0,52761.0,52837.0,52896.0,52940.0,53001.0,53053.0
5003261,61200.0,61254.0,61337.0,61384.0,61480.0,61549.0,61598.0,61644.0,61688.0,61733.0,61780.0,62074.0,62264.0,62306.0,62328.0,62355.0,62393.0,62425.0,62488.0,62595.0,62667.0,62740.0,62766.0,62871.0,62907.0,62969.0,63067.0,63156.0,63234.0,63310.0,63369.0,63413.0,63474.0,63526.0
5003263,70200.0,70248.0,70323.0,70365.0,70451.0,70514.0,70563.0,70609.0,70642.0,70675.0,70714.0,70955.0,71110.0,71144.0,71168.0,71198.0,71241.0,71276.0,71346.0,71466.0,71547.0,71611.0,71634.0,71727.0,71789.0,71897.0,72067.0,72140.0,72218.0,72294.0,72353.0,72397.0,72458.0,72510.0
5003265,77400.0,77445.0,77515.0,77554.0,77634.0,77692.0,77742.0,77790.0,77815.0,77841.0,77871.0,78060.0,78182.0,78210.0,78230.0,78254.0,78289.0,78318.0,78375.0,78472.0,78536.0,78584.0,78607.0,78700.0,78733.0,78790.0,78879.0,78941.0,79017.0,79092.0,79150.0,79193.0,79253.0,79304.0
5003267,82800.0,82845.0,82915.0,82954.0,83034.0,83092.0,83142.0,83190.0,83215.0,83241.0,83271.0,83460.0,83582.0,83610.0,83630.0,83654.0,83689.0,83718.0,83775.0,83872.0,83936.0,83984.0,84007.0,84100.0,84133.0,84190.0,84279.0,84341.0,84417.0,84492.0,84550.0,84593.0,84653.0,84704.0
5004440,27000.0,27051.0,27131.0,27176.0,27267.0,27333.0,27392.0,27448.0,27484.0,27520.0,27562.0,27825.0,27995.0,28032.0,28072.0,28121.0,28191.0,28249.0,28364.0,28559.0,28690.0,28764.0,28806.0,28979.0,29033.0,29128.0,29276.0,29356.0,29434.0,29510.0,29569.0,29613.0,29674.0,29726.0
5004442,34200.0,34252.0,34333.0,34379.0,34472.0,34540.0,34596.0,34649.0,34688.0,34727.0,34766.0,35005.0,35159.0,35193.0,35224.0,35262.0,35317.0,35362.0,35452.0,35605.0,35709.0,35783.0,35815.0,35946.0,35999.0,36091.0,36236.0,36315.0,36393.0,36469.0,36528.0,36572.0,36633.0,36685.0
5004768,28800.0,28838.0,28898.0,28931.0,28999.0,29049.0,29089.0,29128.0,29154.0,29181.0,29208.0,29374.0,29481.0,29504.0,29523.0,29546.0,29580.0,29608.0,29663.0,29756.0,29819.0,29856.0,29875.0,29951.0,29983.0,30039.0,30126.0,30182.0,30256.0,30328.0,30384.0,30426.0,30484.0,30533.0
5004769,39600.0,39660.0,39753.0,39805.0,39911.0,39987.0,40049.0,40108.0,40148.0,40188.0,40233.0,40514.0,40695.0,40735.0,40768.0,40809.0,40868.0,40916.0,41012.0,41176.0,41287.0,41364.0,41402.0,41557.0,41602.0,41681.0,41805.0,41883.0,41961.0,42037.0,42096.0,42140.0,42201.0,42253.0
