tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P,054_P,055_P,056_P,057_P,058_P,059_P,060_P,061_P,062_P,063_P,064_P,065_P,066_P,067_P,068_P
0,4713.0,4714.0,4960.0,4932.0,4933.0,2590.0,2591.0,2592.0,2357.0,2566.0,2568.0,2569.0,7550.0,2570.0,2571.0,2359.0,2360.0,4348.0,4646.0,4647.0,2346.0,4435.0,2604.0,2605.0,2538.0,2606.0,2607.0,2608.0,2609.0,2610.0,2554.0,2425.0,2426.0,2427.0,2428.0,2429.0,2430.0,2371.0,2372.0,2373.0,2377.0,2378.0,2183.0,2184.0,2185.0,7043.0,1424.0,2186.0,2187.0,2188.0,2189.0,1436.0,3952.0,2190.0,4434.0,2379.0,2380.0,2382.0,5099.0,2383.0,2002.0,1358.0,340.0,350.0,351.0,352.0,353.0,354.0
5002672,84000.0,84034.0,84074.0,84136.0,84150.0,84179.0,84204.0,84224.0,84283.0,84302.0,84367.0,84397.0,84440.0,84474.0,84546.0,84589.0,84641.0,84701.0,84760.0,84788.0,84835.0,84897.0,84935.0,84968.0,85025.0,85080.0,85154.0,85179.0,85224.0,85268.0,85301.0,85351.0,85385.0,85425.0,85459.0,85482.0,85511.0,85558.0,85590.0,85618.0,85679.0,85706.0,85769.0,85795.0,85822.0,85902.0,85922.0,85957.0,85997.0,86027.0,86047.0,86075.0,86096.0,86124.0,86178.0,86213.0,86237.0,86253.0,86275.0,86309.0,86408.0,86605.0,86861.0,86926.0,86987.0,87015.0,87042.0,87067.0
5003736,58800.0,58848.0,58903.0,58989.0,59009.0,59048.0,59082.0,59110.0,59189.0,59214.0,59303.0,59344.0,59404.0,59451.0,59550.0,59610.0,59669.0,59736.0,59817.0,59855.0,59919.0,60004.0,60056.0,60101.0,60178.0,60235.0,60312.0,60355.0,60433.0,60509.0,60566.0,60649.0,60693.0,60746.0,60800.0,60836.0,60884.0,60971.0,61024.0,61072.0,61184.0,61277.0,61371.0,61409.0,61450.0,61559.0,61587.0,61642.0,61706.0,61767.0,61808.0,61863.0,61908.0,61968.0,62073.0,62152.0,62205.0,62278.0,62378.0,62533.0,62697.0,62910.0,63187.0,63289.0,63440.0,63510.0,63578.0,63619.0
5003738,70200.0,70239.0,70284.0,70354.0,70371.0,70407.0,70438.0,70464.0,70538.0,70561.0,70640.0,70677.0,70730.0,70772.0,70860.0,70913.0,70979.0,71054.0,71134.0,71172.0,71235.0,71319.0,71370.0,71414.0,71490.0,71535.0,71596.0,71624.0,71675.0,71725.0,71762.0,71817.0,71852.0,71893.0,71936.0,71965.0,72003.0,72076.0,72115.0,72148.0,72217.0,72261.0,72327.0,72354.0,72383.0,72464.0,72485.0,72523.0,72567.0,72611.0,72640.0,72679.0,72708.0,72747.0,72810.0,72877.0,72914.0,72940.0,72976.0,73033.0,73149.0,73303.0,73502.0,73578.0,73667.0,73708.0,73749.0,73782.0
5003740,81000.0,81035.0,81076.0,81139.0,81154.0,81188.0,81217.0,81241.0,81309.0,81329.0,81399.0,81432.0,81479.0,81516.0,81595.0,81643.0,81695.0,81755.0,81823.0,81855.0,81909.0,81980.0,82024.0,82062.0,82126.0,82161.0,82209.0,82235.0,82282.0,82328.0,82362.0,82412.0,82446.0,82486.0,82524.0,82550.0,82583.0,82635.0,82667.0,82697.0,82766.0,82802.0,82861.0,82885.0,82910.0,82979.0,82997.0,83031.0,83071.0,83105.0,83128.0,83158.0,83178.0,83204.0,83250.0,83294.0,83327.0,83345.0,83370.0,83408.0,83505.0,83656.0,83851.0,83916.0,83982.0,84013.0,84043.0,84068.0
5003995,24000.0,24048.0,24103.0,24189.0,24209.0,24248.0,24282.0,24310.0,24389.0,24414.0,24503.0,24544.0,24604.0,24651.0,24750.0,24810.0,24869.0,24936.0,25017.0,25055.0,25119.0,25204.0,25256.0,25301.0,25378.0,25435.0,25512.0,25555.0,25633.0,25709.0,25766.0,25849.0,25893.0,25946.0,26000.0,26036.0,26084.0,26171.0,26224.0,26272.0,26384.0,26477.0,26571.0,26609.0,26650.0,26759.0,26787.0,26842.0,26906.0,26967.0,27008.0,27063.0,27108.0,27168.0,27273.0,27352.0,27405.0,27478.0,27578.0,27733.0,27897.0,28110.0,28387.0,28489.0,28640.0,28710.0,28778.0,28819.0
5003997,36000.0,36044.0,36094.0,36173.0,36191.0,36230.0,36264.0,36292.0,36372.0,36399.0,36493.0,36536.0,36599.0,36649.0,36754.0,36816.0,36887.0,36968.0,37060.0,37103.0,37176.0,37273.0,37332.0,37383.0,37472.0,37525.0,37597.0,37633.0,37697.0,37760.0,37807.0,37875.0,37917.0,37966.0,38010.0,38040.0,38079.0,38159.0,38206.0,38249.0,38334.0,38402.0,38504.0,38545.0,38589.0,38698.0,38725.0,38785.0,38855.0,38913.0,38952.0,39004.0,39039.0,39085.0,39181.0,39273.0,39322.0,39355.0,39400.0,39469.0,39613.0,39802.0,40047.0,40140.0,40268.0,40327.0,40385.0,40420.0
5003999,48000.0,48049.0,48105.0,48193.0,48213.0,48253.0,48287.0,48315.0,48395.0,48423.0,48522.0,48568.0,48634.0,48686.0,48796.0,48862.0,48942.0,49032.0,49136.0,49185.0,49267.0,49376.0,49442.0,49499.0,49598.0,49651.0,49723.0,49761.0,49829.0,49896.0,49946.0,50019.0,50060.0,50108.0,50151.0,50180.0,50217.0,50298.0,50340.0,50381.0,50481.0,50550.0,50649.0,50689.0,50732.0,50834.0,50860.0,50915.0,50980.0,51038.0,51077.0,51129.0,51162.0,51206.0,51300.0,51382.0,51435.0,51471.0,51521.0,51598.0,51742.0,51917.0,52144.0,52239.0,52360.0,52416.0,52470.0,52505.0
5004000,62100.0,62157.0,62222.0,62323.0,62346.0,62386.0,62420.0,62448.0,62530.0,62558.0,62655.0,62700.0,62765.0,62816.0,62924.0,62989.0,63063.0,63147.0,63256.0,63307.0,63393.0,63507.0,63577.0,63637.0,63740.0,63793.0,63864.0,63899.0,63962.0,64024.0,64070.0,64139.0,64176.0,64220.0,64260.0,64287.0,64322.0,64409.0,64464.0,64510.0,64597.0,64662.0,64750.0,64786.0,64824.0,64922.0,64947.0,64996.0,65054.0,65106.0,65141.0,65188.0,65220.0,65263.0,65346.0,65422.0,65461.0,65499.0,65551.0,65631.0,65793.0,65984.0,66232.0,66336.0,66462.0,66521.0,66578.0,66620.0
5004002,73800.0,73839.0,73884.0,73954.0,73971.0,74007.0,74038.0,74064.0,74138.0,74161.0,74240.0,74277.0,74330.0,74372.0,74460.0,74513.0,74579.0,74654.0,74734.0,74772.0,74835.0,74919.0,74970.0,75014.0,75090.0,75135.0,75196.0,75224.0,75275.0,75325.0,75362.0,75417.0,75452.0,75493.0,75536.0,75565.0,75603.0,75676.0,75715.0,75748.0,75817.0,75861.0,75927.0,75954.0,75983.0,76064.0,76085.0,76123.0,76167.0,76211.0,76240.0,76279.0,76308.0,76347.0,76410.0,76477.0,76514.0,76540.0,76576.0,76633.0,76749.0,76903.0,77102.0,77178.0,77267.0,77308.0,77349.0,77382.0
