tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P
0,326.0,1443.0,1444.0,1445.0,4407.0,2637.0,2638.0,2721.0,7012.0,2644.0,2645.0,2646.0,2647.0,2648.0,2649.0,2650.0,2652.0,2653.0,2654.0,2655.0,2656.0,2657.0,2658.0,2659.0,2660.0,2661.0,2662.0,2909.0,6020.0,6023.0,6026.0,6027.0,6029.0
5004136,53100.0,53244.0,53308.0,53378.0,53464.0,53554.0,53585.0,53684.0,53716.0,53810.0,53861.0,53898.0,53960.0,54024.0,54067.0,54109.0,54152.0,54182.0,54205.0,54330.0,54461.0,54536.0,54568.0,54599.0,54622.0,54661.0,54710.0,54744.0,54772.0,54801.0,54835.0,54858.0,54904.0
5004580,27900.0,27992.0,28059.0,28133.0,28232.0,28336.0,28359.0,28465.0,28500.0,28590.0,28643.0,28681.0,28735.0,28790.0,28827.0,28863.0,28900.0,28926.0,28945.0,29009.0,29075.0,29129.0,29160.0,29190.0,29212.0,29250.0,29298.0,29330.0,29357.0,29385.0,29417.0,29440.0,29485.0
5004586,49800.0,49944.0,50008.0,50078.0,50164.0,50254.0,50285.0,50384.0,50416.0,50510.0,50561.0,50598.0,50660.0,50724.0,50767.0,50809.0,50852.0,50882.0,50905.0,51030.0,51161.0,51236.0,51268.0,51299.0,51322.0,51361.0,51410.0,51444.0,51472.0,51501.0,51535.0,51558.0,51604.0
5004588,56100.0,56279.0,56342.0,56411.0,56507.0,56606.0,56640.0,56745.0,56780.0,56894.0,56953.0,56995.0,57058.0,57122.0,57165.0,57207.0,57251.0,57282.0,57305.0,57437.0,57574.0,57667.0,57699.0,57730.0,57753.0,57793.0,57842.0,57876.0,57905.0,57934.0,57968.0,57992.0,58037.0
5005051,77400.0,77503.0,77543.0,77588.0,77660.0,77735.0,77757.0,77824.0,77846.0,77921.0,77987.0,78034.0,78090.0,78147.0,78185.0,78222.0,78261.0,78288.0,78308.0,78371.0,78437.0,78512.0,78544.0,78575.0,78598.0,78637.0,78686.0,78719.0,78747.0,78776.0,78809.0,78832.0,78878.0
5005266,25800.0,25874.0,25894.0,25916.0,25975.0,26037.0,26057.0,26113.0,26132.0,26192.0,26226.0,26250.0,26288.0,26326.0,26352.0,26377.0,26403.0,26421.0,26435.0,26500.0,26567.0,26631.0,26656.0,26680.0,26697.0,26727.0,26765.0,26791.0,26813.0,26835.0,26861.0,26879.0,26913.0
5005268,30600.0,30678.0,30710.0,30746.0,30830.0,30918.0,30932.0,31004.0,31026.0,31100.0,31143.0,31173.0,31213.0,31254.0,31281.0,31308.0,31336.0,31356.0,31370.0,31434.0,31500.0,31566.0,31594.0,31621.0,31640.0,31674.0,31716.0,31745.0,31769.0,31794.0,31823.0,31843.0,31882.0
5005270,35700.0,35778.0,35810.0,35846.0,35930.0,36018.0,36032.0,36104.0,36126.0,36200.0,36243.0,36273.0,36313.0,36354.0,36381.0,36408.0,36436.0,36456.0,36470.0,36534.0,36600.0,36666.0,36694.0,36721.0,36740.0,36774.0,36816.0,36845.0,36869.0,36894.0,36923.0,36943.0,36982.0
5005272,41100.0,41226.0,41287.0,41355.0,41418.0,41484.0,41502.0,41603.0,41623.0,41748.0,41799.0,41836.0,41892.0,41949.0,41987.0,42024.0,42063.0,42090.0,42112.0,42248.0,42391.0,42448.0,42480.0,42511.0,42534.0,42574.0,42623.0,42657.0,42686.0,42715.0,42749.0,42773.0,42818.0
5005274,46500.0,46626.0,46661.0,46700.0,46770.0,46842.0,46876.0,46986.0,47015.0,47088.0,47142.0,47181.0,47242.0,47304.0,47346.0,47387.0,47429.0,47459.0,47480.0,47597.0,47720.0,47775.0,47807.0,47838.0,47861.0,47901.0,47950.0,47984.0,48013.0,48042.0,48076.0,48100.0,48145.0
5005276,51900.0,52026.0,52061.0,52100.0,52170.0,52242.0,52276.0,52386.0,52415.0,52488.0,52542.0,52581.0,52642.0,52704.0,52746.0,52787.0,52829.0,52859.0,52880.0,52997.0,53120.0,53175.0,53207.0,53238.0,53261.0,53301.0,53350.0,53384.0,53413.0,53442.0,53476.0,53500.0,53545.0
5005278,57300.0,57425.0,57475.0,57530.0,57616.0,57705.0,57740.0,57847.0,57882.0,57980.0,58047.0,58094.0,58157.0,58221.0,58264.0,58306.0,58350.0,58381.0,58404.0,58498.0,58597.0,58672.0,58704.0,58735.0,58758.0,58798.0,58847.0,58881.0,58910.0,58939.0,58973.0,58997.0,59042.0
5005280,62700.0,62825.0,62875.0,62930.0,63016.0,63105.0,63140.0,63247.0,63282.0,63380.0,63447.0,63494.0,63557.0,63621.0,63664.0,63706.0,63750.0,63781.0,63804.0,63898.0,63997.0,64072.0,64104.0,64135.0,64158.0,64198.0,64247.0,64281.0,64310.0,64339.0,64373.0,64397.0,64442.0
