tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P
0,6030.0,6028.0,6025.0,6024.0,6021.0,7507.0,2663.0,2664.0,2665.0,2666.0,2667.0,2696.0,2697.0,2700.0,2701.0,2702.0,2703.0,2704.0,2706.0,6070.0,2708.0,5134.0,2718.0,7435.0,2722.0,4413.0,1476.0,7453.0,1480.0,2912.0,1358.0,326.0
5004137,56400.0,56445.0,56473.0,56499.0,56530.0,56568.0,56598.0,56653.0,56696.0,56730.0,56775.0,56918.0,57009.0,57126.0,57148.0,57192.0,57228.0,57259.0,57307.0,57368.0,57425.0,57461.0,57501.0,57616.0,57652.0,57838.0,58005.0,58117.0,58252.0,58351.0,58449.0,58618.0
5004581,30600.0,30657.0,30693.0,30726.0,30766.0,30814.0,30852.0,30923.0,30978.0,31021.0,31078.0,31264.0,31363.0,31490.0,31517.0,31571.0,31615.0,31653.0,31711.0,31784.0,31852.0,31895.0,31943.0,32059.0,32095.0,32290.0,32438.0,32649.0,32903.0,33003.0,33101.0,33271.0
5004587,52500.0,52550.0,52581.0,52609.0,52644.0,52686.0,52719.0,52780.0,52828.0,52865.0,52915.0,53086.0,53196.0,53336.0,53359.0,53406.0,53444.0,53477.0,53526.0,53588.0,53646.0,53683.0,53724.0,53837.0,53872.0,54046.0,54159.0,54260.0,54381.0,54478.0,54574.0,54739.0
5004589,59400.0,59445.0,59473.0,59499.0,59530.0,59568.0,59598.0,59653.0,59696.0,59730.0,59775.0,59918.0,60009.0,60126.0,60148.0,60192.0,60228.0,60259.0,60307.0,60368.0,60425.0,60461.0,60501.0,60616.0,60652.0,60838.0,61005.0,61117.0,61252.0,61351.0,61449.0,61618.0
5005052,79800.0,79836.0,79858.0,79878.0,79903.0,79933.0,79956.0,80000.0,80034.0,80061.0,80096.0,80152.0,80204.0,80270.0,80285.0,80315.0,80339.0,80361.0,80391.0,80429.0,80465.0,80488.0,80513.0,80601.0,80628.0,80728.0,80816.0,80877.0,80950.0,81050.0,81149.0,81320.0
5005267,28200.0,28236.0,28258.0,28278.0,28303.0,28333.0,28357.0,28401.0,28435.0,28462.0,28500.0,28620.0,28699.0,28800.0,28830.0,28890.0,28938.0,28980.0,29040.0,29115.0,29186.0,29231.0,29280.0,29417.0,29460.0,29640.0,29880.0,29934.0,30000.0,30065.0,30129.0,30240.0
5005269,33000.0,33045.0,33073.0,33099.0,33130.0,33168.0,33198.0,33253.0,33296.0,33330.0,33376.0,33478.0,33532.0,33601.0,33616.0,33646.0,33670.0,33692.0,33739.0,33798.0,33854.0,33889.0,33928.0,34051.0,34090.0,34206.0,34278.0,34342.0,34420.0,34508.0,34595.0,34745.0
5005271,38400.0,38458.0,38494.0,38527.0,38567.0,38615.0,38653.0,38724.0,38779.0,38822.0,38881.0,39028.0,39148.0,39302.0,39324.0,39368.0,39403.0,39434.0,39489.0,39558.0,39623.0,39664.0,39710.0,39843.0,39885.0,40147.0,40222.0,40318.0,40434.0,40519.0,40603.0,40748.0
5005273,43800.0,43854.0,43887.0,43917.0,43954.0,43999.0,44034.0,44100.0,44151.0,44191.0,44246.0,44429.0,44541.0,44683.0,44704.0,44746.0,44780.0,44810.0,44863.0,44930.0,44993.0,45033.0,45077.0,45172.0,45202.0,45340.0,45431.0,45519.0,45625.0,45725.0,45824.0,45995.0
5005275,49200.0,49254.0,49287.0,49317.0,49354.0,49399.0,49434.0,49500.0,49551.0,49591.0,49646.0,49829.0,49941.0,50083.0,50104.0,50146.0,50180.0,50210.0,50263.0,50330.0,50393.0,50433.0,50477.0,50572.0,50602.0,50740.0,50831.0,50919.0,51025.0,51125.0,51224.0,51395.0
5005279,60000.0,60046.0,60075.0,60101.0,60133.0,60172.0,60202.0,60259.0,60303.0,60337.0,60384.0,60499.0,60574.0,60670.0,60690.0,60731.0,60764.0,60793.0,60841.0,60902.0,60959.0,60995.0,61035.0,61123.0,61151.0,61297.0,61386.0,61488.0,61611.0,61706.0,61800.0,61963.0
