tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P
0,326.0,1443.0,1444.0,1445.0,4407.0,2637.0,2638.0,2640.0,2641.0,2643.0,2644.0,2645.0,2646.0,2647.0,2648.0,2649.0,2650.0,2652.0,2653.0,2654.0,2655.0,2656.0,2657.0,2658.0,2659.0,2660.0,2661.0,2662.0,2909.0,2906.0,2907.0,2908.0
5004138,59400.0,59578.0,59641.0,59711.0,59808.0,59909.0,59945.0,60160.0,60225.0,60295.0,60359.0,60420.0,60463.0,60527.0,60592.0,60636.0,60679.0,60723.0,60754.0,60777.0,60910.0,61049.0,61137.0,61175.0,61212.0,61239.0,61286.0,61344.0,61384.0,61417.0,61443.0,61500.0
5004140,65400.0,65578.0,65641.0,65711.0,65808.0,65909.0,65945.0,66160.0,66225.0,66295.0,66359.0,66420.0,66463.0,66527.0,66592.0,66636.0,66679.0,66723.0,66754.0,66777.0,66910.0,67049.0,67137.0,67175.0,67212.0,67239.0,67286.0,67344.0,67384.0,67417.0,67443.0,67500.0
5004142,71400.0,71525.0,71573.0,71625.0,71698.0,71775.0,71806.0,71954.0,72007.0,72064.0,72125.0,72177.0,72214.0,72273.0,72333.0,72373.0,72412.0,72453.0,72482.0,72503.0,72587.0,72674.0,72731.0,72768.0,72804.0,72830.0,72875.0,72931.0,72969.0,73001.0,73026.0,73083.0
5004578,23700.0,23789.0,23847.0,23911.0,23988.0,24069.0,24094.0,24252.0,24298.0,24347.0,24401.0,24451.0,24486.0,24529.0,24573.0,24602.0,24631.0,24661.0,24682.0,24698.0,24757.0,24819.0,24870.0,24900.0,24929.0,24950.0,24986.0,25031.0,25062.0,25087.0,25107.0,25152.0
5004582,34200.0,34306.0,34375.0,34452.0,34555.0,34662.0,34700.0,34974.0,35033.0,35098.0,35167.0,35229.0,35274.0,35341.0,35409.0,35455.0,35500.0,35546.0,35579.0,35604.0,35705.0,35811.0,35871.0,35906.0,35940.0,35965.0,36008.0,36061.0,36097.0,36127.0,36151.0,36204.0
5004584,43800.0,43940.0,44002.0,44070.0,44155.0,44244.0,44277.0,44466.0,44522.0,44582.0,44642.0,44699.0,44740.0,44802.0,44866.0,44909.0,44951.0,44994.0,45024.0,45047.0,45175.0,45308.0,45380.0,45417.0,45453.0,45479.0,45524.0,45581.0,45620.0,45652.0,45677.0,45734.0
5004590,62400.0,62578.0,62641.0,62711.0,62808.0,62909.0,62945.0,63160.0,63225.0,63295.0,63359.0,63420.0,63463.0,63527.0,63592.0,63636.0,63679.0,63723.0,63754.0,63777.0,63910.0,64049.0,64137.0,64175.0,64212.0,64239.0,64286.0,64344.0,64384.0,64417.0,64443.0,64500.0
5004812,36600.0,36708.0,36749.0,36795.0,36872.0,36952.0,36976.0,37140.0,37183.0,37230.0,37285.0,37336.0,37373.0,37427.0,37482.0,37519.0,37555.0,37592.0,37618.0,37638.0,37756.0,37879.0,37944.0,37980.0,38014.0,38039.0,38082.0,38136.0,38173.0,38204.0,38228.0,38283.0
5004814,42000.0,42108.0,42149.0,42195.0,42272.0,42352.0,42376.0,42540.0,42583.0,42630.0,42685.0,42736.0,42773.0,42827.0,42882.0,42919.0,42955.0,42992.0,43018.0,43038.0,43156.0,43279.0,43344.0,43380.0,43414.0,43439.0,43482.0,43536.0,43573.0,43604.0,43628.0,43683.0
5004816,47400.0,47518.0,47570.0,47628.0,47712.0,47800.0,47827.0,48011.0,48068.0,48130.0,48190.0,48250.0,48293.0,48354.0,48416.0,48458.0,48499.0,48541.0,48571.0,48593.0,48728.0,48870.0,48944.0,48982.0,49018.0,49044.0,49090.0,49147.0,49186.0,49218.0,49244.0,49302.0
5004818,52800.0,52918.0,52970.0,53028.0,53112.0,53200.0,53227.0,53411.0,53468.0,53530.0,53590.0,53650.0,53693.0,53754.0,53816.0,53858.0,53899.0,53941.0,53971.0,53993.0,54128.0,54270.0,54344.0,54382.0,54418.0,54444.0,54490.0,54547.0,54586.0,54618.0,54644.0,54702.0
5004820,58200.0,58316.0,58361.0,58410.0,58496.0,58586.0,58613.0,58778.0,58833.0,58893.0,58958.0,59018.0,59061.0,59126.0,59192.0,59236.0,59279.0,59324.0,59356.0,59380.0,59480.0,59584.0,59655.0,59693.0,59729.0,59755.0,59801.0,59858.0,59897.0,59929.0,59955.0,60013.0
5004822,63600.0,63716.0,63761.0,63810.0,63896.0,63986.0,64013.0,64178.0,64233.0,64293.0,64358.0,64418.0,64461.0,64526.0,64592.0,64636.0,64679.0,64724.0,64756.0,64780.0,64880.0,64984.0,65055.0,65093.0,65129.0,65155.0,65201.0,65258.0,65297.0,65329.0,65355.0,65413.0
5004824,69420.0,69517.0,69561.0,69610.0,69684.0,69762.0,69787.0,69914.0,69960.0,70010.0,70074.0,70117.0,70148.0,70203.0,70259.0,70297.0,70334.0,70372.0,70399.0,70418.0,70502.0,70589.0,70650.0,70684.0,70717.0,70741.0,70782.0,70834.0,70869.0,70898.0,70921.0,70972.0
5004826,73800.0,73897.0,73941.0,73990.0,74064.0,74142.0,74167.0,74294.0,74340.0,74390.0,74454.0,74497.0,74528.0,74583.0,74639.0,74677.0,74714.0,74752.0,74779.0,74798.0,74882.0,74969.0,75030.0,75064.0,75097.0,75121.0,75162.0,75214.0,75249.0,75278.0,75301.0,75352.0
