tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P
0,2670.0,2910.0,2911.0,7507.0,2663.0,2664.0,2665.0,2666.0,2667.0,2696.0,2697.0,2700.0,2701.0,2702.0,2703.0,2704.0,2706.0,6070.0,2708.0,5134.0,2718.0,2719.0,7435.0,2722.0,4413.0,1476.0,7453.0,1480.0,2912.0,1358.0,326.0
5004135,49800.0,49842.0,49889.0,49922.0,49954.0,50014.0,50060.0,50096.0,50145.0,50323.0,50424.0,50552.0,50577.0,50628.0,50669.0,50705.0,50756.0,50820.0,50880.0,50918.0,50960.0,51034.0,51124.0,51177.0,51323.0,51436.0,51539.0,51663.0,51761.0,51858.0,52026.0
5004139,62700.0,62737.0,62779.0,62808.0,62836.0,62889.0,62930.0,62962.0,63006.0,63164.0,63258.0,63378.0,63402.0,63450.0,63489.0,63523.0,63572.0,63633.0,63691.0,63727.0,63768.0,63843.0,63931.0,63983.0,64154.0,64321.0,64428.0,64558.0,64656.0,64752.0,64918.0
5004141,68700.0,68735.0,68775.0,68803.0,68830.0,68880.0,68919.0,68950.0,68992.0,69104.0,69168.0,69249.0,69267.0,69303.0,69332.0,69357.0,69394.0,69441.0,69485.0,69513.0,69544.0,69599.0,69665.0,69703.0,69838.0,69964.0,70044.0,70141.0,70236.0,70330.0,70492.0
5004143,73500.0,73535.0,73575.0,73603.0,73630.0,73680.0,73719.0,73750.0,73792.0,73904.0,73968.0,74049.0,74067.0,74103.0,74132.0,74157.0,74194.0,74241.0,74285.0,74313.0,74344.0,74399.0,74465.0,74503.0,74638.0,74764.0,74844.0,74941.0,75036.0,75130.0,75292.0
5004579,25500.0,25540.0,25585.0,25616.0,25646.0,25702.0,25746.0,25780.0,25827.0,25960.0,26020.0,26096.0,26117.0,26159.0,26193.0,26224.0,26275.0,26339.0,26399.0,26437.0,26480.0,26562.0,26641.0,26687.0,26866.0,26971.0,27093.0,27241.0,27338.0,27433.0,27598.0
5004583,36900.0,36941.0,36987.0,37020.0,37051.0,37109.0,37154.0,37189.0,37238.0,37384.0,37481.0,37605.0,37627.0,37671.0,37707.0,37739.0,37792.0,37859.0,37922.0,37962.0,38006.0,38073.0,38154.0,38201.0,38362.0,38460.0,38574.0,38712.0,38809.0,38905.0,39070.0
5004585,46500.0,46542.0,46589.0,46622.0,46654.0,46714.0,46760.0,46796.0,46845.0,47023.0,47124.0,47252.0,47277.0,47328.0,47369.0,47405.0,47456.0,47520.0,47580.0,47618.0,47660.0,47734.0,47824.0,47877.0,48023.0,48136.0,48239.0,48363.0,48461.0,48558.0,48726.0
5004809,28800.0,28835.0,28874.0,28902.0,28929.0,28979.0,29018.0,29048.0,29088.0,29157.0,29209.0,29275.0,29292.0,29326.0,29353.0,29377.0,29418.0,29470.0,29519.0,29550.0,29584.0,29649.0,29713.0,29750.0,29872.0,29980.0,30039.0,30111.0,30204.0,30295.0,30453.0
5004813,39300.0,39337.0,39379.0,39409.0,39437.0,39490.0,39531.0,39563.0,39607.0,39709.0,39788.0,39888.0,39908.0,39949.0,39982.0,40011.0,40058.0,40117.0,40173.0,40208.0,40248.0,40309.0,40373.0,40410.0,40540.0,40630.0,40710.0,40807.0,40906.0,41003.0,41172.0
5004815,44700.0,44746.0,44797.0,44833.0,44868.0,44933.0,44983.0,45023.0,45077.0,45227.0,45339.0,45482.0,45508.0,45560.0,45602.0,45640.0,45693.0,45760.0,45823.0,45863.0,45907.0,45973.0,46048.0,46091.0,46239.0,46367.0,46462.0,46577.0,46672.0,46766.0,46929.0
5004817,50100.0,50146.0,50197.0,50233.0,50268.0,50333.0,50383.0,50423.0,50477.0,50627.0,50739.0,50882.0,50908.0,50960.0,51002.0,51040.0,51093.0,51160.0,51223.0,51263.0,51307.0,51373.0,51448.0,51491.0,51639.0,51767.0,51862.0,51977.0,52072.0,52166.0,52329.0
5004819,55500.0,55546.0,55597.0,55633.0,55668.0,55733.0,55783.0,55823.0,55877.0,56002.0,56080.0,56179.0,56199.0,56240.0,56273.0,56302.0,56359.0,56431.0,56499.0,56542.0,56589.0,56662.0,56733.0,56775.0,56938.0,57026.0,57125.0,57245.0,57345.0,57444.0,57615.0
5004821,60900.0,60946.0,60997.0,61033.0,61068.0,61133.0,61183.0,61223.0,61277.0,61402.0,61480.0,61579.0,61599.0,61640.0,61673.0,61702.0,61759.0,61831.0,61899.0,61942.0,61989.0,62062.0,62133.0,62175.0,62338.0,62426.0,62525.0,62645.0,62745.0,62844.0,63015.0
5004823,66300.0,66346.0,66397.0,66433.0,66468.0,66533.0,66583.0,66623.0,66677.0,66802.0,66880.0,66979.0,66999.0,67040.0,67073.0,67102.0,67159.0,67231.0,67299.0,67342.0,67389.0,67462.0,67533.0,67575.0,67738.0,67826.0,67925.0,68045.0,68145.0,68244.0,68415.0
5004825,71700.0,71738.0,71781.0,71812.0,71841.0,71896.0,71939.0,71972.0,72018.0,72135.0,72205.0,72295.0,72315.0,72356.0,72389.0,72418.0,72465.0,72524.0,72579.0,72614.0,72653.0,72733.0,72832.0,72889.0,73030.0,73136.0,73223.0,73328.0,73420.0,73511.0,73669.0
5004829,81000.0,81031.0,81066.0,81091.0,81115.0,81160.0,81195.0,81222.0,81258.0,81323.0,81377.0,81446.0,81457.0,81479.0,81497.0,81512.0,81549.0,81595.0,81638.0,81665.0,81695.0,81752.0,81801.0,81830.0,81955.0,82014.0,82074.0,82146.0,82245.0,82343.0,82513.0
5005034,27300.0,27339.0,27383.0,27414.0,27444.0,27499.0,27542.0,27575.0,27619.0,27682.0,27726.0,27782.0,27795.0,27821.0,27842.0,27861.0,27902.0,27953.0,28001.0,28031.0,28064.0,28111.0,28154.0,28179.0,28288.0,28353.0,28413.0,28485.0,28546.0,28606.0,28711.0
5005036,32100.0,32135.0,32174.0,32202.0,32229.0,32279.0,32318.0,32348.0,32388.0,32457.0,32509.0,32575.0,32592.0,32626.0,32653.0,32677.0,32718.0,32770.0,32819.0,32850.0,32884.0,32949.0,33013.0,33050.0,33172.0,33280.0,33339.0,33411.0,33504.0,33595.0,33753.0
5005038,37500.0,37537.0,37579.0,37609.0,37637.0,37690.0,37731.0,37763.0,37807.0,37909.0,37988.0,38088.0,38108.0,38149.0,38182.0,38211.0,38258.0,38317.0,38373.0,38408.0,38448.0,38509.0,38573.0,38610.0,38740.0,38830.0,38910.0,39007.0,39106.0,39203.0,39372.0
5005040,42900.0,42937.0,42979.0,43009.0,43037.0,43090.0,43131.0,43163.0,43207.0,43309.0,43388.0,43488.0,43508.0,43549.0,43582.0,43611.0,43658.0,43717.0,43773.0,43808.0,43848.0,43909.0,43973.0,44010.0,44140.0,44230.0,44310.0,44407.0,44506.0,44603.0,44772.0
5005042,48300.0,48346.0,48397.0,48433.0,48468.0,48533.0,48583.0,48623.0,48677.0,48827.0,48939.0,49082.0,49108.0,49160.0,49202.0,49240.0,49293.0,49360.0,49423.0,49463.0,49507.0,49573.0,49648.0,49691.0,49839.0,49967.0,50062.0,50177.0,50272.0,50366.0,50529.0
5005044,53700.0,53746.0,53797.0,53833.0,53868.0,53933.0,53983.0,54023.0,54077.0,54227.0,54339.0,54482.0,54508.0,54560.0,54602.0,54640.0,54693.0,54760.0,54823.0,54863.0,54907.0,54973.0,55048.0,55091.0,55239.0,55367.0,55462.0,55577.0,55672.0,55766.0,55929.0
5005046,59100.0,59146.0,59197.0,59233.0,59268.0,59333.0,59383.0,59423.0,59477.0,59602.0,59680.0,59779.0,59799.0,59840.0,59873.0,59902.0,59959.0,60031.0,60099.0,60142.0,60189.0,60262.0,60333.0,60375.0,60538.0,60626.0,60725.0,60845.0,60945.0,61044.0,61215.0
