tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P,054_P,055_P,056_P,057_P,058_P,059_P,060_P,061_P
0,4962.0,4725.0,273.0,405.0,408.0,409.0,410.0,411.0,412.0,413.0,414.0,415.0,416.0,417.0,418.0,419.0,420.0,421.0,422.0,423.0,424.0,425.0,426.0,427.0,428.0,429.0,3032.0,3033.0,3034.0,3036.0,3037.0,3038.0,3039.0,3040.0,3041.0,2035.0,2036.0,2040.0,3047.0,3202.0,3203.0,3204.0,3205.0,3206.0,3207.0,3208.0,3209.0,3210.0,4981.0,3211.0,3212.0,3213.0,3214.0,3215.0,3216.0,3217.0,3218.0,3219.0,3220.0,3221.0,4982.0
5002935,54000.0,54242.0,54463.0,54777.0,54938.0,54960.0,55005.0,55030.0,55099.0,55114.0,55148.0,55189.0,55266.0,55299.0,55336.0,55373.0,55423.0,55471.0,55529.0,55554.0,55591.0,55626.0,55646.0,55705.0,55737.0,55771.0,55848.0,55898.0,55971.0,56075.0,56096.0,56134.0,56157.0,56185.0,56239.0,56336.0,56407.0,56527.0,56602.0,56633.0,56705.0,56742.0,56823.0,56848.0,56871.0,56893.0,56920.0,56940.0,56977.0,57011.0,57069.0,57121.0,57189.0,57243.0,57300.0,57346.0,57389.0,57436.0,57470.0,57498.0,57572.0
5003802,55800.0,56093.0,56301.0,56597.0,56749.0,56775.0,56844.0,56883.0,56988.0,57012.0,57068.0,57114.0,57202.0,57239.0,57281.0,57323.0,57361.0,57398.0,57442.0,57471.0,57512.0,57578.0,57616.0,57674.0,57705.0,57737.0,57827.0,57886.0,57970.0,58101.0,58127.0,58183.0,58217.0,58258.0,58324.0,58442.0,58534.0,58687.0,58797.0,58843.0,58947.0,58993.0,59073.0,59112.0,59148.0,59182.0,59225.0,59256.0,59295.0,59331.0,59392.0,59447.0,59528.0,59593.0,59659.0,59712.0,59761.0,59814.0,59863.0,59903.0,60009.0
5005021,63000.0,63218.0,63402.0,63664.0,63799.0,63832.0,63876.0,63900.0,63966.0,63992.0,64052.0,64083.0,64141.0,64170.0,64203.0,64235.0,64274.0,64312.0,64357.0,64378.0,64407.0,64468.0,64504.0,64544.0,64579.0,64616.0,64741.0,64824.0,64898.0,65003.0,65024.0,65066.0,65092.0,65122.0,65162.0,65235.0,65356.0,65560.0,65632.0,65662.0,65731.0,65759.0,65846.0,65891.0,65932.0,65971.0,66020.0,66056.0,66104.0,66148.0,66223.0,66291.0,66354.0,66405.0,66459.0,66502.0,66543.0,66588.0,66619.0,66644.0,66711.0
5005460,35400.0,35622.0,35769.0,35978.0,36085.0,36105.0,36154.0,36182.0,36257.0,36280.0,36332.0,36360.0,36412.0,36446.0,36484.0,36522.0,36568.0,36612.0,36666.0,36693.0,36731.0,36771.0,36794.0,36856.0,36885.0,36915.0,36995.0,37047.0,37132.0,37229.0,37248.0,37286.0,37309.0,37337.0,37407.0,37534.0,37608.0,37732.0,37824.0,37863.0,37950.0,37986.0,38070.0,38103.0,38133.0,38161.0,38197.0,38224.0,38266.0,38304.0,38369.0,38427.0,38489.0,38539.0,38595.0,38639.0,38681.0,38726.0,38769.0,38804.0,38897.0
5005462,45900.0,46136.0,46330.0,46606.0,46749.0,46774.0,46833.0,46866.0,46955.0,46979.0,47033.0,47069.0,47137.0,47173.0,47214.0,47254.0,47293.0,47331.0,47376.0,47397.0,47428.0,47469.0,47493.0,47542.0,47576.0,47611.0,47697.0,47753.0,47820.0,47908.0,47925.0,47961.0,47983.0,48010.0,48078.0,48200.0,48294.0,48452.0,48570.0,48619.0,48730.0,48761.0,48838.0,48874.0,48907.0,48938.0,48977.0,49006.0,49047.0,49085.0,49148.0,49205.0,49283.0,49346.0,49399.0,49442.0,49482.0,49525.0,49559.0,49587.0,49663.0
5006150,25200.0,25419.0,25548.0,25732.0,25827.0,25859.0,25913.0,25943.0,26025.0,26047.0,26099.0,26134.0,26201.0,26237.0,26277.0,26317.0,26357.0,26396.0,26442.0,26479.0,26532.0,26574.0,26598.0,26640.0,26668.0,26697.0,26760.0,26801.0,26854.0,26932.0,26947.0,26978.0,26997.0,27020.0,27061.0,27134.0,27183.0,27265.0,27337.0,27367.0,27436.0,27469.0,27530.0,27552.0,27572.0,27591.0,27615.0,27631.0,27661.0,27689.0,27736.0,27779.0,27844.0,27896.0,27932.0,27961.0,27988.0,28018.0,28057.0,28089.0,28176.0
5006156,62100.0,62389.0,62617.0,62942.0,63109.0,63137.0,63210.0,63251.0,63363.0,63394.0,63466.0,63517.0,63612.0,63677.0,63750.0,63823.0,63935.0,64044.0,64176.0,64223.0,64290.0,64356.0,64394.0,64457.0,64500.0,64545.0,64659.0,64735.0,64821.0,64944.0,64969.0,65017.0,65047.0,65082.0,65143.0,65252.0,65349.0,65511.0,65635.0,65687.0,65804.0,65847.0,65943.0,65982.0,66017.0,66050.0,66092.0,66124.0,66168.0,66209.0,66278.0,66340.0,66413.0,66471.0,66528.0,66573.0,66616.0,66662.0,66707.0,66744.0,66844.0
5006687,57000.0,57262.0,57476.0,57780.0,57937.0,57965.0,58037.0,58077.0,58186.0,58214.0,58278.0,58332.0,58434.0,58489.0,58550.0,58610.0,58705.0,58797.0,58908.0,58953.0,59018.0,59085.0,59124.0,59185.0,59226.0,59268.0,59373.0,59443.0,59542.0,59684.0,59712.0,59760.0,59789.0,59824.0,59888.0,60004.0,60124.0,60324.0,60447.0,60498.0,60613.0,60653.0,60759.0,60800.0,60837.0,60872.0,60917.0,60950.0,60994.0,61034.0,61102.0,61163.0,61255.0,61328.0,61400.0,61457.0,61511.0,61569.0,61617.0,61657.0,61762.0
5006785,63900.0,64145.0,64373.0,64697.0,64864.0,64890.0,64963.0,65004.0,65115.0,65146.0,65217.0,65271.0,65373.0,65435.0,65505.0,65574.0,65662.0,65747.0,65849.0,65887.0,65942.0,66008.0,66047.0,66112.0,66150.0,66189.0,66278.0,66337.0,66416.0,66529.0,66552.0,66596.0,66623.0,66655.0,66713.0,66818.0,66902.0,67044.0,67139.0,67179.0,67269.0,67310.0,67399.0,67434.0,67465.0,67495.0,67533.0,67560.0,67600.0,67636.0,67698.0,67753.0,67840.0,67909.0,67970.0,68019.0,68065.0,68116.0,68161.0,68198.0,68295.0
