tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P,054_P,055_P,056_P,057_P,058_P,059_P,060_P,061_P,062_P,063_P,064_P,065_P
0,3222.0,3223.0,3224.0,3225.0,3226.0,3227.0,3228.0,3229.0,7472.0,3230.0,3232.0,3233.0,3234.0,4462.0,3235.0,3236.0,3237.0,3238.0,3239.0,3240.0,3068.0,3069.0,3070.0,2041.0,3071.0,3072.0,3073.0,3074.0,3075.0,3076.0,3077.0,7653.0,3079.0,3080.0,3081.0,3084.0,469.0,470.0,471.0,472.0,473.0,4705.0,475.0,476.0,477.0,478.0,479.0,480.0,481.0,482.0,483.0,485.0,487.0,488.0,489.0,490.0,491.0,492.0,493.0,494.0,495.0,400.0,281.0,4.0,4962.0
5002936,60300.0,60384.0,60429.0,60498.0,60566.0,60611.0,60665.0,60685.0,60720.0,60751.0,60860.0,60897.0,60928.0,60976.0,61012.0,61064.0,61103.0,61179.0,61203.0,61266.0,61361.0,61409.0,61479.0,61560.0,61685.0,61727.0,61796.0,61825.0,61845.0,61871.0,61933.0,62015.0,62062.0,62192.0,62293.0,62393.0,62429.0,62493.0,62521.0,62554.0,62579.0,62608.0,62640.0,62694.0,62731.0,62792.0,62818.0,62857.0,62888.0,62940.0,62973.0,63048.0,63136.0,63175.0,63218.0,63259.0,63301.0,63335.0,63390.0,63449.0,63557.0,63645.0,63941.0,64020.0,64311.0
5003844,55800.0,55945.0,56022.0,56099.0,56176.0,56234.0,56303.0,56329.0,56375.0,56414.0,56510.0,56542.0,56582.0,56643.0,56689.0,56756.0,56807.0,56880.0,56904.0,56966.0,57062.0,57110.0,57181.0,57270.0,57406.0,57451.0,57526.0,57563.0,57588.0,57621.0,57686.0,57772.0,57819.0,57947.0,58046.0,58145.0,58185.0,58255.0,58287.0,58320.0,58349.0,58381.0,58431.0,58514.0,58547.0,58602.0,58632.0,58676.0,58711.0,58769.0,58816.0,58920.0,59024.0,59078.0,59130.0,59180.0,59230.0,59271.0,59337.0,59433.0,59559.0,59661.0,60005.0,60084.0,60375.0
5005461,40500.0,40607.0,40664.0,40729.0,40794.0,40848.0,40912.0,40936.0,40978.0,41015.0,41125.0,41162.0,41199.0,41256.0,41299.0,41362.0,41410.0,41484.0,41507.0,41567.0,41667.0,41717.0,41791.0,41865.0,41979.0,42016.0,42077.0,42117.0,42144.0,42179.0,42229.0,42296.0,42335.0,42440.0,42522.0,42603.0,42637.0,42697.0,42723.0,42745.0,42777.0,42813.0,42854.0,42922.0,42949.0,42994.0,43023.0,43065.0,43098.0,43155.0,43196.0,43287.0,43365.0,43423.0,43469.0,43513.0,43558.0,43594.0,43653.0,43730.0,43857.0,43960.0,44305.0,44376.0,44638.0
5005463,51300.0,51447.0,51525.0,51595.0,51664.0,51700.0,51743.0,51759.0,51787.0,51812.0,51921.0,51958.0,51995.0,52052.0,52094.0,52156.0,52202.0,52274.0,52293.0,52343.0,52477.0,52544.0,52641.0,52728.0,52862.0,52904.0,52973.0,53013.0,53041.0,53076.0,53143.0,53232.0,53272.0,53380.0,53464.0,53547.0,53574.0,53622.0,53644.0,53669.0,53699.0,53733.0,53771.0,53834.0,53866.0,53919.0,53951.0,53999.0,54037.0,54102.0,54136.0,54212.0,54305.0,54379.0,54435.0,54489.0,54544.0,54588.0,54661.0,54731.0,54855.0,54955.0,55292.0,55364.0,55629.0
5006151,30600.0,30736.0,30808.0,30893.0,30978.0,31045.0,31125.0,31155.0,31208.0,31252.0,31368.0,31407.0,31450.0,31516.0,31566.0,31639.0,31694.0,31827.0,31868.0,31976.0,32093.0,32152.0,32237.0,32296.0,32386.0,32420.0,32477.0,32506.0,32526.0,32552.0,32632.0,32739.0,32778.0,32886.0,32970.0,33053.0,33077.0,33119.0,33138.0,33163.0,33198.0,33237.0,33275.0,33339.0,33376.0,33437.0,33464.0,33504.0,33535.0,33588.0,33630.0,33725.0,33808.0,33854.0,33908.0,33960.0,34012.0,34055.0,34125.0,34198.0,34328.0,34433.0,34787.0,34860.0,35132.0
5006682,28800.0,28946.0,29023.0,29086.0,29148.0,29204.0,29270.0,29295.0,29339.0,29376.0,29482.0,29518.0,29555.0,29612.0,29654.0,29716.0,29762.0,29878.0,29900.0,29959.0,30053.0,30100.0,30168.0,30227.0,30316.0,30351.0,30410.0,30458.0,30491.0,30533.0,30607.0,30706.0,30750.0,30871.0,30965.0,31058.0,31106.0,31190.0,31228.0,31272.0,31345.0,31427.0,31488.0,31590.0,31639.0,31719.0,31759.0,31817.0,31863.0,31942.0,31991.0,32100.0,32221.0,32299.0,32367.0,32433.0,32499.0,32553.0,32642.0,32761.0,32894.0,33001.0,33362.0,33438.0,33717.0
5006688,63000.0,63134.0,63205.0,63280.0,63355.0,63382.0,63414.0,63426.0,63447.0,63466.0,63539.0,63563.0,63583.0,63613.0,63636.0,63669.0,63694.0,63762.0,63787.0,63853.0,63961.0,64015.0,64094.0,64177.0,64304.0,64332.0,64378.0,64411.0,64433.0,64462.0,64520.0,64598.0,64657.0,64817.0,64941.0,65065.0,65130.0,65245.0,65296.0,65341.0,65395.0,65456.0,65510.0,65599.0,65634.0,65691.0,65713.0,65746.0,65772.0,65817.0,65844.0,65906.0,65971.0,66043.0,66098.0,66151.0,66204.0,66247.0,66318.0,66374.0,66495.0,66593.0,66922.0,67001.0,67292.0
5007010,34200.0,34325.0,34392.0,34461.0,34530.0,34583.0,34647.0,34671.0,34713.0,34748.0,34836.0,34865.0,34904.0,34964.0,35009.0,35075.0,35124.0,35204.0,35226.0,35284.0,35419.0,35487.0,35586.0,35667.0,35791.0,35831.0,35897.0,35937.0,35965.0,36001.0,36070.0,36163.0,36203.0,36312.0,36396.0,36480.0,36518.0,36585.0,36615.0,36640.0,36672.0,36709.0,36746.0,36808.0,36846.0,36908.0,36939.0,36985.0,37021.0,37083.0,37125.0,37220.0,37321.0,37385.0,37443.0,37499.0,37556.0,37602.0,37678.0,37775.0,37913.0,38025.0,38403.0,38474.0,38735.0
5007012,45000.0,45124.0,45190.0,45252.0,45314.0,45363.0,45422.0,45444.0,45483.0,45515.0,45606.0,45637.0,45674.0,45732.0,45775.0,45838.0,45886.0,45963.0,45986.0,46046.0,46148.0,46199.0,46273.0,46342.0,46448.0,46482.0,46540.0,46582.0,46611.0,46647.0,46722.0,46822.0,46860.0,46963.0,47043.0,47121.0,47157.0,47221.0,47250.0,47276.0,47316.0,47360.0,47394.0,47450.0,47481.0,47532.0,47564.0,47611.0,47648.0,47710.0,47742.0,47813.0,47901.0,47964.0,48021.0,48076.0,48132.0,48177.0,48252.0,48326.0,48455.0,48560.0,48912.0,48982.0,49242.0
