tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P
0,4962.0,6059.0,334.0,406.0,747.0,842.0,845.0,846.0,847.0,848.0,2795.0,756.0,757.0,758.0,759.0,760.0,761.0,762.0,763.0,2007.0,2008.0,2009.0,2010.0,435.0,7353.0,7584.0,3344.0,7421.0,7422.0,6085.0,2053.0,2054.0,2055.0,4732.0,3243.0,3244.0,3245.0,3212.0,3213.0,3214.0,3215.0,3216.0,3217.0,3218.0,3219.0,3537.0,3538.0,7556.0,3539.0,3540.0,3541.0,3542.0,3544.0
5007014,63000.0,63268.0,63474.0,63793.0,63970.0,64073.0,64140.0,64224.0,64300.0,64376.0,64434.0,64499.0,64561.0,64604.0,64674.0,64726.0,64756.0,64782.0,64848.0,64913.0,64973.0,65028.0,65116.0,65184.0,65232.0,65363.0,65446.0,65563.0,65630.0,65698.0,65794.0,65830.0,65869.0,66009.0,66053.0,66094.0,66149.0,66196.0,66259.0,66337.0,66399.0,66455.0,66499.0,66541.0,66586.0,66735.0,66763.0,66787.0,66851.0,66870.0,66925.0,66958.0,66993.0
5007285,61800.0,62068.0,62274.0,62593.0,62770.0,62873.0,62940.0,63024.0,63100.0,63176.0,63234.0,63299.0,63361.0,63404.0,63474.0,63526.0,63556.0,63582.0,63648.0,63713.0,63773.0,63828.0,63916.0,63984.0,64032.0,64163.0,64246.0,64363.0,64430.0,64498.0,64594.0,64630.0,64669.0,64809.0,64853.0,64894.0,64949.0,64996.0,65059.0,65137.0,65199.0,65255.0,65299.0,65341.0,65386.0,65535.0,65563.0,65587.0,65651.0,65670.0,65725.0,65758.0,65793.0
5010741,62400.0,62668.0,62874.0,63193.0,63370.0,63473.0,63540.0,63624.0,63700.0,63776.0,63834.0,63899.0,63961.0,64004.0,64074.0,64126.0,64156.0,64182.0,64248.0,64313.0,64373.0,64428.0,64516.0,64584.0,64632.0,64763.0,64846.0,64963.0,65030.0,65098.0,65194.0,65230.0,65269.0,65409.0,65453.0,65494.0,65549.0,65596.0,65659.0,65737.0,65799.0,65855.0,65899.0,65941.0,65986.0,66135.0,66163.0,66187.0,66251.0,66270.0,66325.0,66358.0,66393.0
5017126,63600.0,63868.0,64074.0,64393.0,64570.0,64673.0,64740.0,64824.0,64900.0,64976.0,65034.0,65099.0,65161.0,65204.0,65274.0,65326.0,65356.0,65382.0,65448.0,65513.0,65573.0,65628.0,65716.0,65784.0,65832.0,65963.0,66046.0,66163.0,66230.0,66298.0,66394.0,66430.0,66469.0,66609.0,66653.0,66694.0,66749.0,66796.0,66859.0,66937.0,66999.0,67055.0,67099.0,67141.0,67186.0,67335.0,67363.0,67387.0,67451.0,67470.0,67525.0,67558.0,67593.0
5084112,62400.0,62658.0,62856.0,63163.0,63333.0,63432.0,63496.0,63577.0,63650.0,63723.0,63779.0,63841.0,63901.0,63942.0,64009.0,64059.0,64088.0,64113.0,64176.0,64238.0,64296.0,64349.0,64434.0,64499.0,64545.0,64671.0,64751.0,64864.0,64929.0,64993.0,65085.0,65120.0,65157.0,65292.0,65335.0,65375.0,65426.0,65471.0,65532.0,65607.0,65667.0,65720.0,65763.0,65803.0,65847.0,65990.0,66017.0,66040.0,66102.0,66120.0,66173.0,66205.0,66238.0
5085013,63000.0,63258.0,63456.0,63763.0,63933.0,64032.0,64096.0,64177.0,64250.0,64323.0,64379.0,64441.0,64501.0,64542.0,64609.0,64659.0,64688.0,64713.0,64776.0,64838.0,64896.0,64949.0,65034.0,65099.0,65145.0,65271.0,65351.0,65464.0,65529.0,65593.0,65685.0,65720.0,65757.0,65892.0,65935.0,65975.0,66026.0,66071.0,66132.0,66207.0,66267.0,66320.0,66363.0,66403.0,66447.0,66590.0,66617.0,66640.0,66702.0,66720.0,66773.0,66805.0,66838.0
5085500,63600.0,63858.0,64056.0,64363.0,64533.0,64632.0,64696.0,64777.0,64850.0,64923.0,64979.0,65041.0,65101.0,65142.0,65209.0,65259.0,65288.0,65313.0,65376.0,65438.0,65496.0,65549.0,65634.0,65699.0,65745.0,65871.0,65951.0,66064.0,66129.0,66193.0,66285.0,66320.0,66357.0,66492.0,66535.0,66575.0,66626.0,66671.0,66732.0,66807.0,66867.0,66920.0,66963.0,67003.0,67047.0,67190.0,67217.0,67240.0,67302.0,67320.0,67373.0,67405.0,67438.0
5097608,61800.0,62058.0,62256.0,62563.0,62733.0,62832.0,62896.0,62977.0,63050.0,63123.0,63179.0,63241.0,63301.0,63342.0,63409.0,63459.0,63488.0,63513.0,63576.0,63638.0,63696.0,63749.0,63834.0,63899.0,63945.0,64071.0,64151.0,64264.0,64329.0,64393.0,64485.0,64520.0,64557.0,64692.0,64735.0,64775.0,64826.0,64871.0,64932.0,65007.0,65067.0,65120.0,65163.0,65203.0,65247.0,65390.0,65417.0,65440.0,65502.0,65520.0,65573.0,65605.0,65638.0
5100914,61800.0,62058.0,62256.0,62563.0,62733.0,62832.0,62896.0,62977.0,63050.0,63123.0,63179.0,63241.0,63301.0,63342.0,63409.0,63459.0,63488.0,63513.0,63576.0,63638.0,63696.0,63749.0,63834.0,63899.0,63945.0,64071.0,64151.0,64264.0,64329.0,64393.0,64485.0,64520.0,64557.0,64692.0,64735.0,64775.0,64826.0,64871.0,64932.0,65007.0,65067.0,65120.0,65163.0,65203.0,65247.0,65390.0,65417.0,65440.0,65502.0,65520.0,65573.0,65605.0,65638.0
