tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P,054_P,055_P,056_P,057_P,058_P
0,3544.0,3552.0,3553.0,3554.0,3555.0,3556.0,3557.0,7317.0,3224.0,3225.0,3226.0,3227.0,3228.0,3229.0,7472.0,3230.0,3231.0,3246.0,3247.0,7056.0,4731.0,2023.0,2024.0,2025.0,6086.0,7419.0,7420.0,3345.0,4727.0,4728.0,461.0,2068.0,2069.0,2070.0,2084.0,768.0,769.0,770.0,771.0,772.0,773.0,774.0,775.0,776.0,777.0,906.0,907.0,908.0,909.0,786.0,792.0,7586.0,7587.0,345.0,320.0,281.0,4.0,4962.0
5003841,27000.0,27057.0,27087.0,27154.0,27207.0,27254.0,27271.0,27355.0,27477.0,27541.0,27605.0,27668.0,27743.0,27771.0,27820.0,27863.0,27944.0,27988.0,28030.0,28052.0,28108.0,28245.0,28283.0,28332.0,28452.0,28550.0,28688.0,28842.0,29055.0,29157.0,29200.0,29258.0,29338.0,29442.0,29498.0,29602.0,29637.0,29707.0,29736.0,29795.0,29843.0,29900.0,29977.0,30038.0,30085.0,30165.0,30237.0,30296.0,30374.0,30454.0,30659.0,30874.0,31027.0,31135.0,31211.0,31427.0,31502.0,31781.0
5011958,26100.0,26157.0,26187.0,26254.0,26307.0,26354.0,26371.0,26455.0,26577.0,26641.0,26705.0,26768.0,26843.0,26871.0,26920.0,26963.0,27044.0,27088.0,27130.0,27152.0,27208.0,27345.0,27383.0,27432.0,27552.0,27650.0,27788.0,27942.0,28155.0,28257.0,28300.0,28358.0,28438.0,28542.0,28598.0,28702.0,28737.0,28807.0,28836.0,28895.0,28943.0,29000.0,29077.0,29138.0,29185.0,29265.0,29337.0,29396.0,29474.0,29554.0,29759.0,29974.0,30127.0,30235.0,30311.0,30527.0,30602.0,30881.0
5017351,29400.0,29463.0,29496.0,29571.0,29627.0,29679.0,29698.0,29799.0,29945.0,30022.0,30099.0,30162.0,30236.0,30264.0,30313.0,30354.0,30452.0,30505.0,30540.0,30559.0,30605.0,30843.0,30909.0,30964.0,31099.0,31210.0,31366.0,31539.0,31758.0,31863.0,31907.0,31961.0,32029.0,32104.0,32190.0,32349.0,32374.0,32462.0,32498.0,32571.0,32618.0,32674.0,32750.0,32812.0,32851.0,32918.0,32988.0,33046.0,33123.0,33202.0,33402.0,33689.0,33893.0,34037.0,34138.0,34425.0,34494.0,34750.0
5087864,29400.0,29461.0,29493.0,29564.0,29618.0,29668.0,29686.0,29783.0,29924.0,29998.0,30072.0,30132.0,30203.0,30229.0,30276.0,30317.0,30411.0,30462.0,30495.0,30513.0,30558.0,30787.0,30850.0,30903.0,31033.0,31140.0,31290.0,31456.0,31666.0,31767.0,31810.0,31862.0,31927.0,31999.0,32082.0,32235.0,32259.0,32343.0,32377.0,32448.0,32494.0,32548.0,32620.0,32680.0,32718.0,32782.0,32850.0,32905.0,32979.0,33055.0,33247.0,33523.0,33719.0,33857.0,33955.0,34231.0,34298.0,34544.0
5092606,27000.0,27055.0,27084.0,27148.0,27199.0,27244.0,27261.0,27342.0,27459.0,27521.0,27582.0,27643.0,27715.0,27742.0,27790.0,27830.0,27908.0,27950.0,27990.0,28011.0,28065.0,28197.0,28233.0,28280.0,28396.0,28491.0,28624.0,28771.0,28976.0,29074.0,29115.0,29171.0,29248.0,29348.0,29402.0,29502.0,29536.0,29604.0,29632.0,29688.0,29734.0,29789.0,29863.0,29922.0,29967.0,30044.0,30113.0,30169.0,30244.0,30322.0,30519.0,30726.0,30873.0,30977.0,31050.0,31257.0,31329.0,31597.0
5093260,24600.0,24655.0,24684.0,24748.0,24799.0,24844.0,24861.0,24942.0,25059.0,25121.0,25182.0,25243.0,25315.0,25342.0,25390.0,25430.0,25508.0,25550.0,25590.0,25611.0,25665.0,25797.0,25833.0,25880.0,25996.0,26091.0,26224.0,26371.0,26576.0,26674.0,26715.0,26771.0,26848.0,26948.0,27002.0,27102.0,27136.0,27204.0,27232.0,27288.0,27334.0,27389.0,27463.0,27522.0,27567.0,27644.0,27713.0,27769.0,27844.0,27922.0,28119.0,28326.0,28473.0,28577.0,28650.0,28857.0,28929.0,29197.0
5096895,27900.0,27961.0,27993.0,28064.0,28118.0,28168.0,28186.0,28283.0,28424.0,28498.0,28572.0,28632.0,28703.0,28729.0,28776.0,28817.0,28911.0,28962.0,28995.0,29013.0,29058.0,29287.0,29350.0,29403.0,29533.0,29640.0,29790.0,29956.0,30166.0,30267.0,30310.0,30362.0,30427.0,30499.0,30582.0,30735.0,30759.0,30843.0,30877.0,30948.0,30994.0,31048.0,31120.0,31180.0,31218.0,31282.0,31350.0,31405.0,31479.0,31555.0,31747.0,32023.0,32219.0,32357.0,32455.0,32731.0,32798.0,33044.0
5100406,26100.0,26155.0,26184.0,26248.0,26299.0,26344.0,26361.0,26442.0,26559.0,26621.0,26682.0,26743.0,26815.0,26842.0,26890.0,26930.0,27008.0,27050.0,27090.0,27111.0,27165.0,27297.0,27333.0,27380.0,27496.0,27591.0,27724.0,27871.0,28076.0,28174.0,28215.0,28271.0,28348.0,28448.0,28502.0,28602.0,28636.0,28704.0,28732.0,28788.0,28834.0,28889.0,28963.0,29022.0,29067.0,29144.0,29213.0,29269.0,29344.0,29422.0,29619.0,29826.0,29973.0,30077.0,30150.0,30357.0,30429.0,30697.0
5112322,24600.0,24655.0,24684.0,24748.0,24799.0,24844.0,24861.0,24942.0,25059.0,25121.0,25182.0,25243.0,25315.0,25342.0,25390.0,25430.0,25508.0,25550.0,25590.0,25611.0,25665.0,25797.0,25833.0,25880.0,25996.0,26091.0,26224.0,26371.0,26576.0,26674.0,26715.0,26771.0,26848.0,26948.0,27002.0,27102.0,27136.0,27204.0,27232.0,27288.0,27334.0,27389.0,27463.0,27522.0,27567.0,27644.0,27713.0,27769.0,27844.0,27922.0,28119.0,28326.0,28473.0,28577.0,28650.0,28857.0,28929.0,29197.0
5113385,27000.0,27055.0,27084.0,27148.0,27199.0,27244.0,27261.0,27342.0,27459.0,27521.0,27582.0,27643.0,27715.0,27742.0,27790.0,27830.0,27908.0,27950.0,27990.0,28011.0,28065.0,28197.0,28233.0,28280.0,28396.0,28491.0,28624.0,28771.0,28976.0,29074.0,29115.0,29171.0,29248.0,29348.0,29402.0,29502.0,29536.0,29604.0,29632.0,29688.0,29734.0,29789.0,29863.0,29922.0,29967.0,30044.0,30113.0,30169.0,30244.0,30322.0,30519.0,30726.0,30873.0,30977.0,31050.0,31257.0,31329.0,31597.0
5114584,26100.0,26155.0,26184.0,26248.0,26299.0,26344.0,26361.0,26442.0,26559.0,26621.0,26682.0,26743.0,26815.0,26842.0,26890.0,26930.0,27008.0,27050.0,27090.0,27111.0,27165.0,27297.0,27333.0,27380.0,27496.0,27591.0,27724.0,27871.0,28076.0,28174.0,28215.0,28271.0,28348.0,28448.0,28502.0,28602.0,28636.0,28704.0,28732.0,28788.0,28834.0,28889.0,28963.0,29022.0,29067.0,29144.0,29213.0,29269.0,29344.0,29422.0,29619.0,29826.0,29973.0,30077.0,30150.0,30357.0,30429.0,30697.0
5117077,29400.0,29461.0,29493.0,29564.0,29618.0,29668.0,29686.0,29783.0,29924.0,29998.0,30072.0,30132.0,30203.0,30229.0,30276.0,30317.0,30411.0,30462.0,30495.0,30513.0,30558.0,30787.0,30850.0,30903.0,31033.0,31140.0,31290.0,31456.0,31666.0,31767.0,31810.0,31862.0,31927.0,31999.0,32082.0,32235.0,32259.0,32343.0,32377.0,32448.0,32494.0,32548.0,32620.0,32680.0,32718.0,32782.0,32850.0,32905.0,32979.0,33055.0,33247.0,33523.0,33719.0,33857.0,33955.0,34231.0,34298.0,34544.0
