tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P,054_P,055_P,056_P
0,4962.0,4725.0,273.0,405.0,408.0,409.0,410.0,411.0,412.0,413.0,414.0,415.0,416.0,417.0,418.0,419.0,420.0,421.0,422.0,423.0,424.0,425.0,426.0,427.0,428.0,429.0,3032.0,3033.0,3034.0,3036.0,3037.0,3038.0,3039.0,3040.0,3041.0,3042.0,2035.0,2036.0,2040.0,3047.0,3202.0,3203.0,3204.0,7641.0,7642.0,7643.0,3214.0,3215.0,3216.0,3217.0,3218.0,3219.0,3220.0,4982.0,5046.0,7639.0
5002931,33300.0,33647.0,33801.0,34020.0,34132.0,34163.0,34239.0,34281.0,34397.0,34423.0,34483.0,34523.0,34598.0,34647.0,34702.0,34756.0,34797.0,34837.0,34885.0,34912.0,34951.0,34997.0,35024.0,35076.0,35109.0,35144.0,35223.0,35275.0,35342.0,35421.0,35437.0,35476.0,35500.0,35529.0,35573.0,35607.0,35651.0,35719.0,35832.0,35926.0,35965.0,36054.0,36086.0,36137.0,36183.0,36240.0,36274.0,36304.0,36346.0,36379.0,36410.0,36445.0,36468.0,36536.0,36547.0,36680.0
5003800,45000.0,45294.0,45504.0,45803.0,45957.0,45980.0,46030.0,46058.0,46135.0,46152.0,46191.0,46221.0,46277.0,46317.0,46362.0,46407.0,46460.0,46511.0,46573.0,46603.0,46645.0,46683.0,46705.0,46757.0,46791.0,46826.0,46958.0,47045.0,47146.0,47263.0,47286.0,47328.0,47354.0,47384.0,47433.0,47471.0,47522.0,47630.0,47812.0,47921.0,47967.0,48070.0,48106.0,48194.0,48245.0,48333.0,48390.0,48441.0,48500.0,48547.0,48591.0,48640.0,48680.0,48801.0,48820.0,48906.0
5003842,33300.0,33565.0,33821.0,34185.0,34372.0,34399.0,34468.0,34506.0,34611.0,34640.0,34705.0,34746.0,34822.0,34875.0,34934.0,34992.0,35042.0,35090.0,35148.0,35192.0,35256.0,35304.0,35332.0,35378.0,35409.0,35442.0,35516.0,35564.0,35657.0,35744.0,35761.0,35800.0,35824.0,35852.0,35912.0,35959.0,36021.0,36086.0,36196.0,36285.0,36322.0,36406.0,36435.0,36510.0,36560.0,36625.0,36682.0,36734.0,36774.0,36806.0,36836.0,36870.0,36901.0,36993.0,37006.0,37270.0
5003845,61200.0,61443.0,61662.0,61973.0,62133.0,62164.0,62243.0,62287.0,62408.0,62438.0,62507.0,62560.0,62660.0,62727.0,62802.0,62877.0,62998.0,63116.0,63258.0,63302.0,63364.0,63439.0,63483.0,63546.0,63588.0,63632.0,63725.0,63787.0,63875.0,64010.0,64037.0,64083.0,64112.0,64146.0,64204.0,64249.0,64307.0,64382.0,64508.0,64608.0,64650.0,64743.0,64780.0,64895.0,64950.0,65029.0,65092.0,65149.0,65207.0,65253.0,65297.0,65344.0,65378.0,65482.0,65500.0,65661.0
5005019,52200.0,52372.0,52629.0,52994.0,53182.0,53218.0,53293.0,53335.0,53448.0,53485.0,53571.0,53604.0,53667.0,53713.0,53764.0,53815.0,53876.0,53935.0,54005.0,54022.0,54046.0,54118.0,54160.0,54209.0,54252.0,54297.0,54403.0,54473.0,54574.0,54705.0,54731.0,54773.0,54799.0,54831.0,54882.0,54921.0,54973.0,55048.0,55175.0,55271.0,55311.0,55401.0,55448.0,55542.0,55601.0,55661.0,55714.0,55763.0,55829.0,55882.0,55931.0,55984.0,56022.0,56135.0,56147.0,56517.0
5006152,40500.0,40782.0,40987.0,41278.0,41428.0,41459.0,41529.0,41568.0,41675.0,41701.0,41760.0,41803.0,41883.0,41922.0,41965.0,42008.0,42061.0,42112.0,42174.0,42213.0,42269.0,42320.0,42349.0,42404.0,42440.0,42478.0,42567.0,42626.0,42736.0,42835.0,42855.0,42895.0,42920.0,42950.0,43012.0,43060.0,43124.0,43213.0,43361.0,43470.0,43516.0,43619.0,43659.0,43743.0,43796.0,43867.0,43928.0,43983.0,44039.0,44084.0,44126.0,44173.0,44208.0,44313.0,44371.0,44594.0
5006154,51300.0,51568.0,51765.0,52045.0,52190.0,52217.0,52285.0,52323.0,52426.0,52452.0,52513.0,52556.0,52638.0,52676.0,52719.0,52761.0,52814.0,52865.0,52927.0,52962.0,53013.0,53069.0,53102.0,53177.0,53215.0,53255.0,53360.0,53430.0,53537.0,53675.0,53703.0,53754.0,53786.0,53824.0,53899.0,53957.0,54033.0,54128.0,54288.0,54402.0,54450.0,54558.0,54601.0,54692.0,54749.0,54826.0,54906.0,54978.0,55039.0,55088.0,55134.0,55185.0,55223.0,55338.0,55357.0,55532.0
5006683,35100.0,35382.0,35587.0,35878.0,36028.0,36059.0,36129.0,36168.0,36275.0,36301.0,36360.0,36403.0,36483.0,36522.0,36565.0,36608.0,36661.0,36712.0,36774.0,36813.0,36869.0,36920.0,36949.0,37004.0,37040.0,37078.0,37167.0,37226.0,37336.0,37435.0,37455.0,37495.0,37520.0,37550.0,37612.0,37660.0,37724.0,37813.0,37961.0,38070.0,38116.0,38219.0,38259.0,38343.0,38396.0,38467.0,38528.0,38583.0,38639.0,38684.0,38726.0,38773.0,38808.0,38913.0,38971.0,39194.0
5006685,45900.0,46168.0,46365.0,46645.0,46790.0,46817.0,46885.0,46923.0,47026.0,47052.0,47113.0,47156.0,47238.0,47276.0,47319.0,47361.0,47414.0,47465.0,47527.0,47562.0,47613.0,47669.0,47702.0,47777.0,47815.0,47855.0,47960.0,48030.0,48137.0,48275.0,48303.0,48354.0,48386.0,48424.0,48499.0,48557.0,48633.0,48728.0,48888.0,49002.0,49050.0,49158.0,49201.0,49292.0,49349.0,49426.0,49506.0,49578.0,49639.0,49688.0,49734.0,49785.0,49823.0,49938.0,49957.0,50132.0
