tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P,054_P,055_P,056_P,057_P,058_P,059_P,060_P,061_P,062_P,063_P,064_P,065_P,066_P,067_P,068_P,069_P
0,2492.0,2493.0,2465.0,2466.0,2467.0,2494.0,2495.0,2496.0,2497.0,2471.0,2472.0,2473.0,2474.0,2475.0,2476.0,2477.0,2478.0,1170.0,1069.0,1070.0,1071.0,4528.0,1072.0,1352.0,1353.0,1355.0,1357.0,1359.0,319.0,1443.0,1616.0,1617.0,1618.0,1619.0,195.0,196.0,197.0,198.0,199.0,200.0,201.0,202.0,151.0,153.0,154.0,155.0,156.0,157.0,158.0,159.0,1539.0,1540.0,7426.0,7427.0,7428.0,138.0,133.0,134.0,4890.0,4369.0,6219.0,6229.0,6348.0,1182.0,1550.0,1551.0,1552.0,6234.0,332.0
5002557,41400.0,41449.0,41481.0,41507.0,41544.0,41608.0,41666.0,41711.0,41768.0,41831.0,41881.0,41907.0,41932.0,41959.0,41998.0,42050.0,42129.0,42184.0,42239.0,42289.0,42357.0,42404.0,42469.0,42570.0,42617.0,42799.0,42889.0,43037.0,43148.0,43404.0,43629.0,43703.0,43742.0,43790.0,43839.0,43882.0,43929.0,43991.0,44038.0,44146.0,44176.0,44211.0,44249.0,44325.0,44398.0,44448.0,44484.0,44526.0,44574.0,44610.0,44655.0,44709.0,44751.0,44817.0,44845.0,44874.0,44954.0,45005.0,45076.0,45138.0,45210.0,45283.0,45342.0,45385.0,45410.0,45434.0,45508.0,45793.0,45803.0
5003974,42000.0,42049.0,42081.0,42107.0,42145.0,42205.0,42260.0,42302.0,42359.0,42420.0,42458.0,42478.0,42497.0,42517.0,42553.0,42601.0,42673.0,42723.0,42795.0,42860.0,42950.0,43002.0,43074.0,43186.0,43239.0,43458.0,43604.0,43726.0,43817.0,44011.0,44202.0,44264.0,44301.0,44347.0,44393.0,44433.0,44477.0,44536.0,44570.0,44649.0,44683.0,44716.0,44753.0,44827.0,44892.0,44937.0,44969.0,45006.0,45049.0,45080.0,45115.0,45157.0,45189.0,45242.0,45264.0,45287.0,45350.0,45401.0,45472.0,45534.0,45599.0,45664.0,45717.0,45755.0,45782.0,45808.0,45886.0,46142.0,46151.0
5005031,59400.0,59465.0,59508.0,59542.0,59593.0,59662.0,59725.0,59774.0,59828.0,59886.0,59945.0,59976.0,60006.0,60038.0,60069.0,60110.0,60172.0,60215.0,60270.0,60320.0,60389.0,60436.0,60501.0,60601.0,60647.0,60795.0,60903.0,61069.0,61194.0,61438.0,61679.0,61757.0,61829.0,61917.0,62006.0,62084.0,62169.0,62282.0,62325.0,62425.0,62455.0,62497.0,62544.0,62637.0,62706.0,62754.0,62788.0,62828.0,62874.0,62908.0,62955.0,63011.0,63053.0,63111.0,63135.0,63160.0,63229.0,63295.0,63388.0,63468.0,63574.0,63681.0,63768.0,63831.0,63859.0,63884.0,63961.0,64250.0,64260.0
5005033,71100.0,71142.0,71170.0,71192.0,71225.0,71283.0,71336.0,71377.0,71426.0,71479.0,71524.0,71547.0,71569.0,71594.0,71628.0,71673.0,71741.0,71787.0,71833.0,71874.0,71931.0,71975.0,72036.0,72131.0,72176.0,72320.0,72443.0,72618.0,72750.0,72935.0,73110.0,73167.0,73207.0,73256.0,73305.0,73348.0,73395.0,73456.0,73497.0,73591.0,73621.0,73651.0,73685.0,73752.0,73819.0,73866.0,73899.0,73938.0,73982.0,74015.0,74058.0,74109.0,74148.0,74200.0,74222.0,74244.0,74307.0,74347.0,74404.0,74453.0,74511.0,74570.0,74618.0,74652.0,74677.0,74700.0,74770.0,75036.0,75045.0
5006200,38400.0,38458.0,38496.0,38526.0,38571.0,38637.0,38697.0,38743.0,38796.0,38853.0,38896.0,38918.0,38939.0,38963.0,39007.0,39065.0,39153.0,39213.0,39274.0,39329.0,39406.0,39447.0,39504.0,39593.0,39635.0,39778.0,39840.0,39940.0,40015.0,40187.0,40357.0,40413.0,40446.0,40487.0,40528.0,40564.0,40603.0,40654.0,40696.0,40793.0,40810.0,40841.0,40876.0,40944.0,41008.0,41052.0,41083.0,41120.0,41162.0,41193.0,41239.0,41293.0,41335.0,41383.0,41403.0,41424.0,41482.0,41519.0,41571.0,41615.0,41679.0,41744.0,41797.0,41834.0,41856.0,41879.0,41951.0,42250.0,42260.0
5006206,70800.0,70860.0,70900.0,70932.0,70978.0,71038.0,71093.0,71136.0,71195.0,71260.0,71310.0,71336.0,71361.0,71388.0,71424.0,71471.0,71543.0,71592.0,71641.0,71686.0,71748.0,71786.0,71839.0,71921.0,71960.0,72132.0,72302.0,72539.0,72717.0,72913.0,73055.0,73101.0,73136.0,73178.0,73221.0,73258.0,73299.0,73353.0,73391.0,73478.0,73503.0,73531.0,73562.0,73623.0,73684.0,73726.0,73756.0,73791.0,73831.0,73863.0,73904.0,73953.0,73990.0,74044.0,74067.0,74090.0,74154.0,74194.0,74250.0,74299.0,74339.0,74379.0,74412.0,74436.0,74458.0,74481.0,74550.0,74802.0,74811.0
5006489,52200.0,52261.0,52301.0,52333.0,52381.0,52446.0,52505.0,52550.0,52598.0,52650.0,52725.0,52764.0,52802.0,52843.0,52882.0,52933.0,53011.0,53065.0,53131.0,53190.0,53272.0,53322.0,53392.0,53500.0,53550.0,53687.0,53782.0,53949.0,54074.0,54300.0,54568.0,54656.0,54702.0,54759.0,54816.0,54866.0,54921.0,54993.0,55055.0,55198.0,55256.0,55302.0,55353.0,55454.0,55531.0,55584.0,55622.0,55666.0,55716.0,55753.0,55803.0,55862.0,55908.0,55973.0,56001.0,56029.0,56108.0,56162.0,56237.0,56301.0,56381.0,56462.0,56528.0,56576.0,56608.0,56633.0,56710.0,57009.0,57019.0
5006493,74400.0,74442.0,74470.0,74492.0,74524.0,74575.0,74621.0,74656.0,74689.0,74724.0,74760.0,74779.0,74797.0,74817.0,74851.0,74896.0,74964.0,75011.0,75058.0,75100.0,75158.0,75196.0,75249.0,75331.0,75369.0,75506.0,75611.0,75788.0,75921.0,76093.0,76240.0,76288.0,76321.0,76362.0,76403.0,76439.0,76478.0,76529.0,76568.0,76659.0,76691.0,76721.0,76755.0,76821.0,76884.0,76928.0,76959.0,76995.0,77037.0,77068.0,77113.0,77167.0,77208.0,77258.0,77279.0,77301.0,77361.0,77400.0,77455.0,77502.0,77557.0,77613.0,77658.0,77690.0,77715.0,77740.0,77817.0,78066.0,78075.0
5006854,55800.0,55865.0,55908.0,55942.0,55993.0,56062.0,56125.0,56174.0,56228.0,56286.0,56345.0,56376.0,56406.0,56438.0,56469.0,56510.0,56572.0,56615.0,56670.0,56720.0,56789.0,56836.0,56901.0,57001.0,57047.0,57195.0,57303.0,57469.0,57594.0,57838.0,58079.0,58157.0,58229.0,58317.0,58406.0,58484.0,58569.0,58682.0,58725.0,58825.0,58855.0,58897.0,58944.0,59037.0,59106.0,59154.0,59188.0,59228.0,59274.0,59308.0,59355.0,59411.0,59453.0,59511.0,59535.0,59560.0,59629.0,59695.0,59788.0,59868.0,59974.0,60081.0,60168.0,60231.0,60259.0,60284.0,60361.0,60650.0,60660.0
