tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P,054_P,055_P,056_P,057_P,058_P,059_P,060_P,061_P,062_P,063_P,064_P,065_P,066_P,067_P,068_P
0,324.0,7500.0,1555.0,1556.0,1557.0,1181.0,7350.0,6230.0,6228.0,4788.0,6273.0,4891.0,7458.0,7425.0,7424.0,7423.0,1566.0,1567.0,4372.0,179.0,7431.0,175.0,176.0,181.0,182.0,183.0,184.0,185.0,186.0,187.0,188.0,189.0,190.0,1614.0,1615.0,1478.0,1479.0,315.0,336.0,1279.0,1283.0,4456.0,1284.0,1285.0,1016.0,1017.0,1018.0,1019.0,1020.0,1076.0,1077.0,2479.0,2480.0,2481.0,2482.0,2483.0,2484.0,2485.0,2486.0,2487.0,2488.0,2489.0,2448.0,5026.0,2450.0,2490.0,2491.0,2492.0
5002554,24600.0,24662.0,24867.0,24927.0,24943.0,24989.0,25017.0,25090.0,25134.0,25191.0,25249.0,25324.0,25405.0,25456.0,25474.0,25533.0,25604.0,25654.0,25735.0,25776.0,25846.0,25925.0,25975.0,26065.0,26164.0,26284.0,26382.0,26442.0,26545.0,26647.0,26710.0,26781.0,26830.0,26922.0,27045.0,27171.0,27250.0,27507.0,27691.0,27796.0,27910.0,27964.0,28014.0,28148.0,28282.0,28352.0,28423.0,28455.0,28495.0,28550.0,28602.0,28676.0,28761.0,28829.0,28892.0,28950.0,29010.0,29070.0,29125.0,29193.0,29243.0,29269.0,29331.0,29354.0,29398.0,29430.0,29466.0,29520.0
5002560,58800.0,58875.0,59127.0,59192.0,59210.0,59245.0,59279.0,59366.0,59419.0,59487.0,59533.0,59592.0,59678.0,59732.0,59751.0,59813.0,59872.0,59913.0,59979.0,60013.0,60067.0,60128.0,60166.0,60235.0,60302.0,60382.0,60448.0,60484.0,60544.0,60625.0,60684.0,60750.0,60796.0,60883.0,61033.0,61186.0,61282.0,61628.0,61877.0,62027.0,62190.0,62269.0,62342.0,62506.0,62700.0,62802.0,62905.0,62952.0,63010.0,63091.0,63166.0,63252.0,63351.0,63430.0,63505.0,63557.0,63611.0,63696.0,63774.0,63872.0,63931.0,63962.0,64035.0,64061.0,64110.0,64146.0,64186.0,64246.0
5006484,23700.0,23762.0,23967.0,24027.0,24043.0,24089.0,24117.0,24190.0,24234.0,24291.0,24349.0,24424.0,24505.0,24556.0,24574.0,24633.0,24704.0,24754.0,24835.0,24876.0,24946.0,25025.0,25075.0,25165.0,25264.0,25384.0,25482.0,25542.0,25645.0,25747.0,25810.0,25881.0,25930.0,26022.0,26145.0,26271.0,26350.0,26607.0,26791.0,26896.0,27010.0,27064.0,27114.0,27248.0,27382.0,27452.0,27523.0,27555.0,27595.0,27650.0,27702.0,27776.0,27861.0,27929.0,27992.0,28050.0,28110.0,28170.0,28225.0,28293.0,28343.0,28369.0,28431.0,28454.0,28498.0,28530.0,28566.0,28620.0
5006488,46200.0,46262.0,46468.0,46529.0,46546.0,46591.0,46623.0,46707.0,46758.0,46824.0,46878.0,46946.0,47034.0,47089.0,47109.0,47174.0,47235.0,47278.0,47347.0,47382.0,47439.0,47503.0,47544.0,47616.0,47687.0,47773.0,47843.0,47885.0,47956.0,48044.0,48103.0,48170.0,48216.0,48303.0,48414.0,48528.0,48599.0,48852.0,49033.0,49166.0,49311.0,49373.0,49431.0,49565.0,49672.0,49728.0,49786.0,49825.0,49873.0,49939.0,50001.0,50069.0,50147.0,50209.0,50268.0,50326.0,50386.0,50450.0,50509.0,50584.0,50637.0,50665.0,50731.0,50755.0,50798.0,50830.0,50865.0,50917.0
5006492,69600.0,69660.0,69862.0,69921.0,69937.0,69967.0,69993.0,70059.0,70099.0,70150.0,70194.0,70250.0,70317.0,70359.0,70374.0,70423.0,70473.0,70509.0,70566.0,70595.0,70641.0,70693.0,70726.0,70786.0,70837.0,70899.0,70949.0,70983.0,71040.0,71107.0,71157.0,71213.0,71252.0,71326.0,71404.0,71484.0,71534.0,71730.0,71871.0,72004.0,72148.0,72208.0,72263.0,72370.0,72477.0,72533.0,72591.0,72628.0,72674.0,72738.0,72798.0,72856.0,72923.0,72976.0,73026.0,73065.0,73105.0,73151.0,73193.0,73246.0,73293.0,73317.0,73376.0,73397.0,73437.0,73467.0,73500.0,73549.0
5006855,61500.0,61571.0,61807.0,61871.0,61888.0,61938.0,61972.0,62060.0,62113.0,62183.0,62237.0,62305.0,62388.0,62440.0,62459.0,62520.0,62578.0,62619.0,62684.0,62717.0,62770.0,62831.0,62869.0,62938.0,63000.0,63074.0,63135.0,63171.0,63232.0,63320.0,63376.0,63439.0,63482.0,63564.0,63739.0,63918.0,64030.0,64391.0,64651.0,64800.0,64961.0,65030.0,65095.0,65260.0,65461.0,65566.0,65674.0,65726.0,65791.0,65881.0,65965.0,66041.0,66129.0,66199.0,66264.0,66321.0,66380.0,66454.0,66522.0,66609.0,66663.0,66691.0,66758.0,66781.0,66828.0,66863.0,66902.0,66959.0
5009902,36300.0,36354.0,36533.0,36588.0,36603.0,36661.0,36687.0,36754.0,36794.0,36846.0,36904.0,36978.0,37058.0,37108.0,37126.0,37183.0,37242.0,37284.0,37351.0,37384.0,37437.0,37497.0,37535.0,37602.0,37659.0,37727.0,37783.0,37826.0,37899.0,38011.0,38079.0,38156.0,38209.0,38309.0,38448.0,38591.0,38680.0,38952.0,39147.0,39267.0,39397.0,39460.0,39519.0,39676.0,39773.0,39824.0,39875.0,39912.0,39958.0,40022.0,40082.0,40139.0,40205.0,40257.0,40306.0,40350.0,40396.0,40450.0,40499.0,40561.0,40610.0,40636.0,40697.0,40719.0,40758.0,40787.0,40819.0,40867.0
5010807,72000.0,72060.0,72262.0,72321.0,72337.0,72367.0,72393.0,72459.0,72499.0,72550.0,72594.0,72650.0,72717.0,72759.0,72774.0,72823.0,72873.0,72909.0,72966.0,72995.0,73041.0,73093.0,73126.0,73186.0,73237.0,73299.0,73349.0,73383.0,73440.0,73507.0,73557.0,73613.0,73652.0,73726.0,73804.0,73884.0,73934.0,74130.0,74271.0,74404.0,74548.0,74608.0,74663.0,74770.0,74877.0,74933.0,74991.0,75028.0,75074.0,75138.0,75198.0,75256.0,75323.0,75376.0,75426.0,75465.0,75505.0,75551.0,75593.0,75646.0,75693.0,75717.0,75776.0,75797.0,75837.0,75867.0,75900.0,75949.0
5016899,29400.0,29478.0,29740.0,29812.0,29831.0,29881.0,29925.0,30038.0,30107.0,30195.0,30262.0,30347.0,30454.0,30521.0,30545.0,30623.0,30700.0,30754.0,30841.0,30885.0,30969.0,31065.0,31125.0,31233.0,31370.0,31535.0,31670.0,31738.0,31855.0,31939.0,32004.0,32077.0,32128.0,32225.0,32409.0,32597.0,32714.0,33187.0,33527.0,33668.0,33820.0,33878.0,33933.0,34079.0,34209.0,34277.0,34346.0,34374.0,34409.0,34458.0,34504.0,34570.0,34646.0,34707.0,34765.0,34810.0,34858.0,34907.0,34952.0,35008.0,35052.0,35075.0,35130.0,35150.0,35196.0,35230.0,35268.0,35324.0
