tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P,054_P,055_P,056_P,057_P,058_P,059_P,060_P,061_P,062_P,063_P,064_P,065_P,066_P,067_P,068_P,069_P
0,2492.0,2493.0,2465.0,2466.0,2467.0,2494.0,2495.0,2496.0,2497.0,2471.0,2472.0,2473.0,2474.0,2475.0,2476.0,2477.0,2478.0,1170.0,1069.0,1070.0,1071.0,4528.0,1072.0,1352.0,1353.0,1355.0,1357.0,1359.0,319.0,1443.0,1616.0,1617.0,1618.0,1619.0,195.0,196.0,197.0,198.0,199.0,200.0,201.0,202.0,151.0,153.0,154.0,155.0,156.0,7430.0,177.0,178.0,1539.0,1540.0,7426.0,7427.0,7428.0,138.0,133.0,134.0,4890.0,4369.0,6219.0,6229.0,6348.0,1182.0,1550.0,1551.0,1552.0,6234.0,332.0
5002555,29700.0,29776.0,29826.0,29866.0,29924.0,30014.0,30095.0,30158.0,30241.0,30332.0,30457.0,30522.0,30584.0,30652.0,30713.0,30793.0,30914.0,30997.0,31061.0,31119.0,31199.0,31285.0,31404.0,31589.0,31674.0,31829.0,31917.0,32082.0,32206.0,32405.0,32685.0,32776.0,32823.0,32881.0,32940.0,32991.0,33047.0,33122.0,33176.0,33299.0,33336.0,33373.0,33414.0,33495.0,33571.0,33623.0,33660.0,33702.0,33769.0,33794.0,33838.0,33896.0,33941.0,34022.0,34056.0,34091.0,34188.0,34248.0,34332.0,34405.0,34474.0,34544.0,34601.0,34641.0,34667.0,34693.0,34774.0,35063.0,35073.0
5002559,53100.0,53153.0,53188.0,53216.0,53258.0,53321.0,53378.0,53423.0,53479.0,53539.0,53587.0,53612.0,53636.0,53661.0,53698.0,53747.0,53821.0,53872.0,53924.0,53971.0,54035.0,54082.0,54148.0,54250.0,54297.0,54459.0,54546.0,54713.0,54838.0,55049.0,55282.0,55358.0,55409.0,55472.0,55535.0,55590.0,55651.0,55732.0,55777.0,55880.0,55923.0,55962.0,56006.0,56092.0,56164.0,56214.0,56250.0,56290.0,56353.0,56378.0,56423.0,56483.0,56530.0,56597.0,56626.0,56655.0,56736.0,56799.0,56887.0,56963.0,57051.0,57140.0,57212.0,57263.0,57294.0,57319.0,57396.0,57677.0,57687.0
5002561,64800.0,64854.0,64890.0,64919.0,64961.0,65034.0,65100.0,65151.0,65203.0,65259.0,65321.0,65354.0,65385.0,65419.0,65455.0,65502.0,65574.0,65623.0,65670.0,65713.0,65773.0,65824.0,65895.0,66005.0,66056.0,66191.0,66302.0,66504.0,66656.0,66913.0,67080.0,67135.0,67183.0,67242.0,67302.0,67354.0,67411.0,67487.0,67529.0,67625.0,67656.0,67692.0,67732.0,67812.0,67882.0,67930.0,67964.0,68002.0,68063.0,68086.0,68128.0,68184.0,68227.0,68281.0,68304.0,68327.0,68391.0,68436.0,68499.0,68553.0,68610.0,68668.0,68715.0,68748.0,68773.0,68798.0,68875.0,69143.0,69152.0
5002563,75600.0,75644.0,75673.0,75696.0,75729.0,75777.0,75821.0,75855.0,75890.0,75929.0,75962.0,75979.0,75996.0,76014.0,76047.0,76090.0,76156.0,76202.0,76239.0,76273.0,76319.0,76357.0,76410.0,76492.0,76529.0,76640.0,76728.0,76912.0,77050.0,77222.0,77361.0,77406.0,77435.0,77471.0,77507.0,77539.0,77574.0,77621.0,77657.0,77741.0,77770.0,77796.0,77825.0,77882.0,77939.0,77979.0,78007.0,78039.0,78089.0,78110.0,78147.0,78197.0,78235.0,78283.0,78303.0,78324.0,78381.0,78418.0,78470.0,78516.0,78566.0,78617.0,78658.0,78687.0,78712.0,78736.0,78809.0,79060.0,79069.0
5002903,24000.0,24045.0,24075.0,24099.0,24134.0,24178.0,24218.0,24250.0,24282.0,24317.0,24346.0,24361.0,24375.0,24391.0,24420.0,24459.0,24518.0,24558.0,24587.0,24614.0,24651.0,24681.0,24722.0,24786.0,24816.0,24891.0,24964.0,25074.0,25157.0,25279.0,25409.0,25451.0,25474.0,25503.0,25532.0,25557.0,25585.0,25622.0,25653.0,25725.0,25742.0,25766.0,25793.0,25847.0,25894.0,25926.0,25949.0,25975.0,26015.0,26031.0,26060.0,26098.0,26127.0,26166.0,26182.0,26199.0,26245.0,26280.0,26328.0,26370.0,26419.0,26468.0,26508.0,26536.0,26559.0,26587.0,26673.0,26929.0,26938.0
5002905,33600.0,33654.0,33689.0,33717.0,33759.0,33827.0,33888.0,33936.0,33983.0,34035.0,34090.0,34119.0,34147.0,34176.0,34214.0,34264.0,34340.0,34393.0,34436.0,34475.0,34529.0,34568.0,34622.0,34706.0,34744.0,34856.0,34948.0,35052.0,35130.0,35290.0,35431.0,35477.0,35509.0,35548.0,35587.0,35621.0,35658.0,35707.0,35746.0,35836.0,35868.0,35896.0,35928.0,35991.0,36038.0,36071.0,36094.0,36120.0,36161.0,36179.0,36211.0,36253.0,36286.0,36322.0,36337.0,36352.0,36395.0,36430.0,36480.0,36523.0,36571.0,36620.0,36660.0,36688.0,36713.0,36735.0,36801.0,37070.0,37079.0
5002907,44100.0,44172.0,44220.0,44258.0,44314.0,44385.0,44449.0,44499.0,44560.0,44627.0,44674.0,44698.0,44721.0,44747.0,44788.0,44842.0,44924.0,44980.0,45035.0,45085.0,45155.0,45195.0,45250.0,45335.0,45374.0,45515.0,45617.0,45772.0,45889.0,46072.0,46258.0,46318.0,46360.0,46411.0,46462.0,46507.0,46556.0,46621.0,46664.0,46764.0,46787.0,46820.0,46857.0,46931.0,47006.0,47058.0,47095.0,47137.0,47202.0,47226.0,47268.0,47324.0,47367.0,47424.0,47448.0,47473.0,47542.0,47583.0,47640.0,47689.0,47759.0,47830.0,47887.0,47928.0,47957.0,47981.0,48056.0,48334.0,48344.0
5002909,54900.0,54948.0,54979.0,55004.0,55041.0,55107.0,55167.0,55214.0,55267.0,55325.0,55365.0,55386.0,55406.0,55428.0,55463.0,55509.0,55580.0,55629.0,55674.0,55715.0,55772.0,55829.0,55908.0,56030.0,56086.0,56252.0,56327.0,56475.0,56586.0,56756.0,56941.0,57001.0,57042.0,57093.0,57144.0,57189.0,57238.0,57303.0,57350.0,57458.0,57482.0,57511.0,57543.0,57607.0,57662.0,57700.0,57727.0,57758.0,57806.0,57828.0,57867.0,57918.0,57957.0,57998.0,58015.0,58033.0,58082.0,58117.0,58166.0,58209.0,58282.0,58355.0,58415.0,58457.0,58482.0,58509.0,58593.0,58861.0,58870.0
5002911,66000.0,66049.0,66081.0,66107.0,66144.0,66206.0,66263.0,66307.0,66358.0,66413.0,66452.0,66472.0,66492.0,66513.0,66546.0,66590.0,66656.0,66702.0,66747.0,66788.0,66844.0,66890.0,66953.0,67051.0,67097.0,67233.0,67374.0,67593.0,67757.0,67955.0,68087.0,68130.0,68166.0,68210.0,68254.0,68293.0,68335.0,68392.0,68431.0,68519.0,68543.0,68570.0,68600.0,68659.0,68723.0,68767.0,68798.0,68833.0,68890.0,68909.0,68944.0,68990.0,69026.0,69070.0,69089.0,69108.0,69161.0,69197.0,69247.0,69291.0,69343.0,69395.0,69437.0,69467.0,69494.0,69519.0,69595.0,69836.0,69844.0
5002913,75600.0,75650.0,75683.0,75709.0,75748.0,75784.0,75817.0,75842.0,75869.0,75899.0,75938.0,75959.0,75979.0,76000.0,76033.0,76077.0,76144.0,76190.0,76226.0,76259.0,76304.0,76346.0,76404.0,76495.0,76537.0,76695.0,76881.0,77110.0,77281.0,77511.0,77615.0,77649.0,77685.0,77729.0,77774.0,77813.0,77856.0,77913.0,77944.0,78016.0,78049.0,78073.0,78100.0,78153.0,78218.0,78263.0,78295.0,78331.0,78387.0,78410.0,78451.0,78506.0,78549.0,78601.0,78623.0,78645.0,78708.0,78751.0,78811.0,78862.0,78912.0,78963.0,79004.0,79033.0,79058.0,79083.0,79159.0,79420.0,79429.0
5003972,32400.0,32454.0,32489.0,32517.0,32559.0,32627.0,32688.0,32736.0,32783.0,32835.0,32890.0,32919.0,32947.0,32976.0,33014.0,33064.0,33140.0,33193.0,33236.0,33275.0,33329.0,33368.0,33422.0,33506.0,33544.0,33656.0,33748.0,33852.0,33930.0,34090.0,34231.0,34277.0,34309.0,34348.0,34387.0,34421.0,34458.0,34507.0,34546.0,34636.0,34668.0,34696.0,34728.0,34791.0,34838.0,34871.0,34894.0,34920.0,34961.0,34979.0,35011.0,35053.0,35086.0,35122.0,35137.0,35152.0,35195.0,35230.0,35280.0,35323.0,35371.0,35420.0,35460.0,35488.0,35513.0,35535.0,35601.0,35870.0,35879.0
5003981,82800.0,82850.0,82883.0,82909.0,82948.0,82984.0,83017.0,83042.0,83069.0,83099.0,83138.0,83159.0,83179.0,83200.0,83233.0,83277.0,83344.0,83390.0,83426.0,83459.0,83504.0,83546.0,83604.0,83695.0,83737.0,83895.0,84081.0,84310.0,84481.0,84711.0,84815.0,84849.0,84885.0,84929.0,84974.0,85013.0,85056.0,85113.0,85144.0,85216.0,85249.0,85273.0,85300.0,85353.0,85418.0,85463.0,85495.0,85531.0,85587.0,85610.0,85651.0,85706.0,85749.0,85801.0,85823.0,85845.0,85908.0,85951.0,86011.0,86062.0,86112.0,86163.0,86204.0,86233.0,86258.0,86283.0,86359.0,86620.0,86629.0
5005027,36000.0,36054.0,36089.0,36117.0,36159.0,36226.0,36287.0,36334.0,36390.0,36450.0,36499.0,36524.0,36548.0,36575.0,36612.0,36661.0,36735.0,36787.0,36842.0,36892.0,36962.0,37011.0,37079.0,37184.0,37232.0,37379.0,37466.0,37626.0,37746.0,37972.0,38219.0,38299.0,38337.0,38383.0,38430.0,38471.0,38516.0,38575.0,38618.0,38716.0,38743.0,38775.0,38811.0,38883.0,38941.0,38981.0,39010.0,39042.0,39094.0,39116.0,39156.0,39209.0,39251.0,39307.0,39331.0,39355.0,39422.0,39467.0,39531.0,39586.0,39652.0,39718.0,39772.0,39810.0,39835.0,39859.0,39931.0,40196.0,40205.0
5005029,47700.0,47757.0,47795.0,47825.0,47869.0,47933.0,47991.0,48037.0,48097.0,48162.0,48215.0,48242.0,48268.0,48297.0,48338.0,48392.0,48475.0,48532.0,48586.0,48635.0,48704.0,48754.0,48823.0,48930.0,48979.0,49127.0,49215.0,49385.0,49512.0,49745.0,49974.0,50049.0,50093.0,50147.0,50201.0,50248.0,50300.0,50370.0,50419.0,50532.0,50559.0,50596.0,50638.0,50720.0,50796.0,50849.0,50886.0,50928.0,50995.0,51023.0,51074.0,51142.0,51194.0,51270.0,51302.0,51335.0,51427.0,51491.0,51581.0,51658.0,51735.0,51813.0,51876.0,51921.0,51949.0,51976.0,52057.0,52334.0,52343.0
5006198,28800.0,28850.0,28883.0,28909.0,28948.0,28996.0,29039.0,29073.0,29108.0,29146.0,29180.0,29198.0,29215.0,29233.0,29266.0,29310.0,29376.0,29422.0,29456.0,29487.0,29529.0,29561.0,29605.0,29673.0,29705.0,29787.0,29848.0,29943.0,30014.0,30170.0,30303.0,30346.0,30381.0,30424.0,30468.0,30506.0,30548.0,30603.0,30640.0,30726.0,30743.0,30765.0,30790.0,30838.0,30894.0,30932.0,30959.0,30990.0,31039.0,31055.0,31084.0,31122.0,31151.0,31200.0,31221.0,31242.0,31301.0,31332.0,31376.0,31414.0,31467.0,31521.0,31565.0,31596.0,31620.0,31643.0,31712.0,31973.0,31982.0
5006204,60300.0,60369.0,60415.0,60451.0,60505.0,60562.0,60614.0,60655.0,60714.0,60778.0,60833.0,60862.0,60890.0,60920.0,60956.0,61004.0,61076.0,61126.0,61197.0,61262.0,61351.0,61385.0,61433.0,61507.0,61541.0,61709.0,61832.0,61996.0,62119.0,62328.0,62482.0,62532.0,62575.0,62628.0,62681.0,62727.0,62778.0,62845.0,62896.0,63012.0,63037.0,63073.0,63113.0,63191.0,63260.0,63308.0,63342.0,63380.0,63441.0,63468.0,63517.0,63581.0,63631.0,63685.0,63708.0,63731.0,63797.0,63859.0,63945.0,64019.0,64092.0,64165.0,64225.0,64267.0,64291.0,64315.0,64387.0,64638.0,64647.0
5006485,28800.0,28876.0,28926.0,28966.0,29024.0,29114.0,29195.0,29258.0,29341.0,29432.0,29557.0,29622.0,29684.0,29752.0,29813.0,29893.0,30014.0,30097.0,30161.0,30219.0,30299.0,30385.0,30504.0,30689.0,30774.0,30929.0,31017.0,31182.0,31306.0,31505.0,31785.0,31876.0,31923.0,31981.0,32040.0,32091.0,32147.0,32222.0,32276.0,32399.0,32436.0,32473.0,32514.0,32595.0,32671.0,32723.0,32760.0,32802.0,32869.0,32894.0,32938.0,32996.0,33041.0,33122.0,33156.0,33191.0,33288.0,33348.0,33432.0,33505.0,33574.0,33644.0,33701.0,33741.0,33767.0,33793.0,33874.0,34163.0,34173.0
5006487,40500.0,40554.0,40589.0,40617.0,40659.0,40726.0,40787.0,40834.0,40890.0,40950.0,40999.0,41024.0,41048.0,41075.0,41112.0,41161.0,41235.0,41287.0,41342.0,41392.0,41462.0,41511.0,41579.0,41684.0,41732.0,41879.0,41966.0,42126.0,42246.0,42472.0,42719.0,42799.0,42837.0,42883.0,42930.0,42971.0,43016.0,43075.0,43118.0,43216.0,43243.0,43275.0,43311.0,43383.0,43441.0,43481.0,43510.0,43542.0,43594.0,43616.0,43656.0,43709.0,43751.0,43807.0,43831.0,43855.0,43922.0,43967.0,44031.0,44086.0,44152.0,44218.0,44272.0,44310.0,44335.0,44359.0,44431.0,44696.0,44705.0
5006491,63900.0,63954.0,63990.0,64019.0,64061.0,64134.0,64200.0,64251.0,64303.0,64359.0,64421.0,64454.0,64485.0,64519.0,64555.0,64602.0,64674.0,64723.0,64770.0,64813.0,64873.0,64924.0,64995.0,65105.0,65156.0,65291.0,65402.0,65604.0,65756.0,66013.0,66180.0,66235.0,66283.0,66342.0,66402.0,66454.0,66511.0,66587.0,66629.0,66725.0,66756.0,66792.0,66832.0,66912.0,66982.0,67030.0,67064.0,67102.0,67163.0,67186.0,67228.0,67284.0,67327.0,67381.0,67404.0,67427.0,67491.0,67536.0,67599.0,67653.0,67710.0,67768.0,67815.0,67848.0,67873.0,67898.0,67975.0,68243.0,68252.0
