tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P
0,4260.0,7296.0,4266.0,4253.0,4268.0,4273.0,4277.0,7462.0,7461.0,4281.0,4282.0,4283.0,4284.0,4295.0,4296.0,4301.0,4302.0,4591.0,4590.0,7366.0,7367.0,7368.0,3143.0,3144.0,3145.0,5128.0,2060.0,2062.0,2064.0,4727.0,768.0,772.0,775.0,906.0,909.0,786.0,791.0,792.0,7586.0,7587.0,317.0
5005872,37800.0,38015.0,38096.0,38131.0,38171.0,38293.0,38446.0,38635.0,38666.0,38774.0,38793.0,38849.0,38893.0,39106.0,39161.0,39416.0,39437.0,39578.0,39612.0,39679.0,39719.0,39757.0,40222.0,40266.0,40296.0,40476.0,40619.0,40726.0,40778.0,40862.0,41101.0,41213.0,41331.0,41476.0,41596.0,41642.0,41806.0,41864.0,42003.0,42102.0,42234.0
5005874,48600.0,48802.0,48871.0,48898.0,48928.0,49032.0,49162.0,49335.0,49363.0,49462.0,49479.0,49531.0,49572.0,49771.0,49823.0,50017.0,50033.0,50138.0,50161.0,50206.0,50233.0,50258.0,50727.0,50774.0,50806.0,50992.0,51135.0,51209.0,51293.0,51388.0,51657.0,51752.0,51867.0,51984.0,52080.0,52117.0,52218.0,52251.0,52390.0,52489.0,52621.0
5009961,26100.0,26290.0,26361.0,26390.0,26423.0,26548.0,26705.0,26904.0,26936.0,27050.0,27070.0,27130.0,27169.0,27358.0,27408.0,27592.0,27611.0,27734.0,27777.0,27860.0,27910.0,27956.0,28537.0,28608.0,28655.0,28877.0,29027.0,29167.0,29296.0,29426.0,29794.0,29937.0,30101.0,30273.0,30415.0,30469.0,30602.0,30636.0,30773.0,30871.0,31002.0
5010865,23400.0,23590.0,23661.0,23690.0,23723.0,23848.0,24005.0,24204.0,24236.0,24350.0,24370.0,24430.0,24469.0,24658.0,24708.0,24892.0,24911.0,25034.0,25077.0,25160.0,25210.0,25256.0,25837.0,25908.0,25955.0,26177.0,26327.0,26467.0,26596.0,26726.0,27094.0,27237.0,27401.0,27573.0,27715.0,27769.0,27902.0,27936.0,28073.0,28171.0,28302.0
5084582,26100.0,26283.0,26351.0,26379.0,26411.0,26532.0,26682.0,26873.0,26904.0,27014.0,27033.0,27091.0,27128.0,27310.0,27358.0,27535.0,27553.0,27672.0,27713.0,27792.0,27840.0,27885.0,28444.0,28512.0,28557.0,28770.0,28914.0,29049.0,29173.0,29298.0,29652.0,29790.0,29948.0,30113.0,30249.0,30302.0,30430.0,30463.0,30595.0,30689.0,30815.0
5091650,23400.0,23583.0,23651.0,23679.0,23711.0,23832.0,23982.0,24173.0,24204.0,24314.0,24333.0,24391.0,24428.0,24610.0,24658.0,24835.0,24853.0,24972.0,25013.0,25092.0,25140.0,25185.0,25744.0,25812.0,25857.0,26070.0,26214.0,26349.0,26473.0,26598.0,26952.0,27090.0,27248.0,27413.0,27549.0,27602.0,27730.0,27763.0,27895.0,27989.0,28115.0
5096387,37800.0,38007.0,38085.0,38119.0,38157.0,38274.0,38421.0,38603.0,38633.0,38737.0,38755.0,38809.0,38851.0,39055.0,39109.0,39354.0,39374.0,39510.0,39543.0,39607.0,39646.0,39682.0,40129.0,40172.0,40200.0,40373.0,40511.0,40614.0,40664.0,40745.0,40975.0,41083.0,41196.0,41336.0,41451.0,41495.0,41653.0,41709.0,41842.0,41937.0,42065.0
5096389,48600.0,48794.0,48860.0,48886.0,48915.0,49015.0,49140.0,49306.0,49333.0,49428.0,49444.0,49495.0,49534.0,49725.0,49776.0,49963.0,49978.0,50079.0,50101.0,50144.0,50170.0,50194.0,50645.0,50691.0,50721.0,50900.0,51038.0,51109.0,51190.0,51281.0,51540.0,51631.0,51742.0,51854.0,51946.0,51982.0,52079.0,52111.0,52244.0,52339.0,52467.0
5102101,23400.0,23583.0,23651.0,23679.0,23711.0,23832.0,23982.0,24173.0,24204.0,24314.0,24333.0,24391.0,24428.0,24610.0,24658.0,24835.0,24853.0,24972.0,25013.0,25092.0,25140.0,25185.0,25744.0,25812.0,25857.0,26070.0,26214.0,26349.0,26473.0,26598.0,26952.0,27090.0,27248.0,27413.0,27549.0,27602.0,27730.0,27763.0,27895.0,27989.0,28115.0
5102110,37800.0,38007.0,38085.0,38119.0,38157.0,38274.0,38421.0,38603.0,38633.0,38737.0,38755.0,38809.0,38851.0,39055.0,39109.0,39354.0,39374.0,39510.0,39543.0,39607.0,39646.0,39682.0,40129.0,40172.0,40200.0,40373.0,40511.0,40614.0,40664.0,40745.0,40975.0,41083.0,41196.0,41336.0,41451.0,41495.0,41653.0,41709.0,41842.0,41937.0,42065.0
5102112,48600.0,48794.0,48860.0,48886.0,48915.0,49015.0,49140.0,49306.0,49333.0,49428.0,49444.0,49495.0,49534.0,49725.0,49776.0,49963.0,49978.0,50079.0,50101.0,50144.0,50170.0,50194.0,50645.0,50691.0,50721.0,50900.0,51038.0,51109.0,51190.0,51281.0,51540.0,51631.0,51742.0,51854.0,51946.0,51982.0,52079.0,52111.0,52244.0,52339.0,52467.0
5106401,26100.0,26283.0,26351.0,26379.0,26411.0,26532.0,26682.0,26873.0,26904.0,27014.0,27033.0,27091.0,27128.0,27310.0,27358.0,27535.0,27553.0,27672.0,27713.0,27792.0,27840.0,27885.0,28444.0,28512.0,28557.0,28770.0,28914.0,29049.0,29173.0,29298.0,29652.0,29790.0,29948.0,30113.0,30249.0,30302.0,30430.0,30463.0,30595.0,30689.0,30815.0
