tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P,054_P,055_P,056_P,057_P,058_P,059_P,060_P,061_P,062_P,063_P,064_P,065_P,066_P,067_P,068_P,069_P,070_P,071_P,072_P,073_P,074_P,075_P,076_P,077_P,078_P,079_P,080_P,081_P,082_P,083_P,084_P,085_P
0,7188.0,3082.0,7660.0,3114.0,3115.0,3116.0,3117.0,3118.0,3119.0,3120.0,3122.0,3123.0,3124.0,3125.0,3126.0,3127.0,3128.0,7638.0,3130.0,3131.0,3132.0,3133.0,5046.0,3134.0,3135.0,3136.0,3138.0,3139.0,4124.0,4125.0,4126.0,4127.0,4128.0,4129.0,4130.0,4131.0,7294.0,4156.0,4168.0,4170.0,4132.0,4134.0,4135.0,4136.0,4207.0,4208.0,4209.0,4210.0,4211.0,4212.0,4213.0,5139.0,4214.0,4215.0,4216.0,4217.0,4218.0,4219.0,4220.0,4221.0,4222.0,4224.0,4225.0,4226.0,4227.0,4228.0,4229.0,4230.0,4231.0,7352.0,4246.0,4248.0,4249.0,4250.0,4251.0,4252.0,4253.0,4254.0,6137.0,4256.0,4257.0,4258.0,4259.0,7272.0,4956.0
5006065,23400.0,23449.0,23502.0,23586.0,23607.0,23641.0,23679.0,23692.0,23712.0,23761.0,23785.0,23801.0,23820.0,23837.0,23874.0,23965.0,24007.0,24052.0,24071.0,24089.0,24125.0,24156.0,24234.0,24341.0,24373.0,24424.0,24457.0,24527.0,24553.0,24605.0,24617.0,24643.0,24663.0,24730.0,24785.0,24934.0,25167.0,25551.0,25758.0,25814.0,25853.0,25921.0,25965.0,26002.0,26039.0,26066.0,26158.0,26174.0,26190.0,26227.0,26243.0,26256.0,26308.0,26337.0,26362.0,26402.0,26428.0,26457.0,26479.0,26499.0,26542.0,26590.0,26641.0,26664.0,26700.0,26738.0,26759.0,26771.0,26804.0,26836.0,26866.0,26898.0,26922.0,26954.0,26988.0,27018.0,27050.0,27085.0,27156.0,27201.0,27234.0,27288.0,27345.0,27363.0,27418.0
5006067,34800.0,34885.0,34976.0,35121.0,35157.0,35216.0,35282.0,35297.0,35319.0,35428.0,35457.0,35476.0,35499.0,35520.0,35560.0,35659.0,35705.0,35755.0,35778.0,35801.0,35840.0,35873.0,35959.0,36091.0,36135.0,36192.0,36229.0,36300.0,36328.0,36385.0,36397.0,36423.0,36441.0,36504.0,36610.0,36670.0,36764.0,36919.0,37003.0,37091.0,37153.0,37261.0,37330.0,37388.0,37434.0,37461.0,37553.0,37570.0,37586.0,37627.0,37648.0,37662.0,37723.0,37757.0,37786.0,37831.0,37861.0,37894.0,37919.0,37942.0,37998.0,38056.0,38118.0,38146.0,38183.0,38231.0,38257.0,38272.0,38305.0,38337.0,38367.0,38399.0,38422.0,38458.0,38497.0,38531.0,38567.0,38607.0,38687.0,38728.0,38758.0,38807.0,38856.0,38871.0,38920.0
5006069,45600.0,45669.0,45742.0,45860.0,45885.0,45941.0,46005.0,46025.0,46056.0,46197.0,46226.0,46244.0,46275.0,46304.0,46359.0,46496.0,46560.0,46629.0,46651.0,46673.0,46713.0,46747.0,46835.0,46953.0,47005.0,47078.0,47125.0,47205.0,47228.0,47275.0,47287.0,47314.0,47345.0,47438.0,47554.0,47596.0,47662.0,47770.0,47829.0,47950.0,48035.0,48184.0,48280.0,48360.0,48418.0,48451.0,48563.0,48580.0,48602.0,48644.0,48660.0,48674.0,48746.0,48787.0,48824.0,48882.0,48920.0,48962.0,48994.0,49023.0,49100.0,49200.0,49265.0,49294.0,49342.0,49395.0,49424.0,49441.0,49485.0,49528.0,49567.0,49610.0,49634.0,49678.0,49726.0,49767.0,49811.0,49860.0,49957.0,49995.0,50023.0,50069.0,50115.0,50129.0,50175.0
5006071,56400.0,56485.0,56575.0,56719.0,56767.0,56844.0,56931.0,56972.0,57034.0,57299.0,57339.0,57364.0,57428.0,57487.0,57550.0,57708.0,57781.0,57860.0,57884.0,57907.0,57953.0,57993.0,58096.0,58332.0,58400.0,58486.0,58541.0,58646.0,58675.0,58733.0,58745.0,58771.0,58802.0,58938.0,59040.0,59096.0,59184.0,59328.0,59406.0,59518.0,59597.0,59735.0,59824.0,59898.0,59947.0,59979.0,60087.0,60106.0,60129.0,60174.0,60192.0,60207.0,60267.0,60301.0,60337.0,60393.0,60429.0,60470.0,60501.0,60529.0,60601.0,60680.0,60740.0,60766.0,60811.0,60861.0,60889.0,60905.0,60950.0,60994.0,61035.0,61080.0,61106.0,61148.0,61193.0,61232.0,61274.0,61320.0,61413.0,61458.0,61491.0,61544.0,61596.0,61612.0,61664.0
5006073,67200.0,67264.0,67333.0,67443.0,67482.0,67555.0,67638.0,67653.0,67677.0,67839.0,67871.0,67892.0,67926.0,67957.0,68003.0,68118.0,68172.0,68230.0,68250.0,68270.0,68311.0,68346.0,68437.0,68582.0,68630.0,68697.0,68740.0,68803.0,68824.0,68866.0,68876.0,68900.0,68924.0,69015.0,69106.0,69150.0,69219.0,69333.0,69394.0,69470.0,69523.0,69616.0,69676.0,69726.0,69772.0,69800.0,69892.0,69907.0,69923.0,69961.0,69977.0,69991.0,70045.0,70075.0,70102.0,70144.0,70172.0,70203.0,70227.0,70248.0,70290.0,70345.0,70404.0,70430.0,70468.0,70515.0,70541.0,70555.0,70587.0,70619.0,70648.0,70680.0,70698.0,70731.0,70767.0,70798.0,70831.0,70868.0,70941.0,70976.0,71002.0,71043.0,71088.0,71102.0,71147.0
5006075,78600.0,78646.0,78695.0,78775.0,78796.0,78839.0,78887.0,78904.0,78930.0,79020.0,79047.0,79065.0,79084.0,79102.0,79141.0,79237.0,79282.0,79329.0,79353.0,79377.0,79413.0,79444.0,79525.0,79634.0,79670.0,79723.0,79758.0,79823.0,79843.0,79885.0,79896.0,79920.0,79938.0,80008.0,80064.0,80133.0,80241.0,80418.0,80514.0,80580.0,80626.0,80707.0,80759.0,80803.0,80838.0,80865.0,80956.0,80973.0,80993.0,81034.0,81051.0,81065.0,81119.0,81150.0,81180.0,81227.0,81258.0,81293.0,81319.0,81342.0,81383.0,81422.0,81474.0,81497.0,81549.0,81594.0,81618.0,81632.0,81665.0,81698.0,81728.0,81762.0,81783.0,81815.0,81849.0,81879.0,81911.0,81946.0,82016.0,82054.0,82082.0,82126.0,82174.0,82189.0,82237.0
5011146,25200.0,25245.0,25293.0,25369.0,25390.0,25432.0,25479.0,25493.0,25514.0,25555.0,25576.0,25589.0,25604.0,25617.0,25652.0,25738.0,25778.0,25821.0,25839.0,25857.0,25883.0,25906.0,25964.0,26091.0,26131.0,26185.0,26220.0,26272.0,26303.0,26365.0,26376.0,26402.0,26419.0,26471.0,26509.0,26658.0,26891.0,27274.0,27481.0,27543.0,27586.0,27662.0,27711.0,27752.0,27805.0,27833.0,27926.0,27943.0,27959.0,27996.0,28011.0,28024.0,28062.0,28083.0,28113.0,28160.0,28190.0,28224.0,28250.0,28274.0,28320.0,28377.0,28423.0,28443.0,28481.0,28518.0,28538.0,28550.0,28581.0,28612.0,28640.0,28671.0,28689.0,28722.0,28758.0,28789.0,28823.0,28860.0,28935.0,28978.0,29010.0,29061.0,29109.0,29124.0,29171.0
5011148,36000.0,36065.0,36134.0,36245.0,36275.0,36319.0,36368.0,36382.0,36404.0,36453.0,36482.0,36501.0,36583.0,36659.0,36719.0,36869.0,36939.0,37014.0,37036.0,37058.0,37092.0,37121.0,37195.0,37341.0,37377.0,37426.0,37458.0,37519.0,37544.0,37594.0,37607.0,37635.0,37656.0,37749.0,37810.0,37864.0,37948.0,38087.0,38162.0,38245.0,38303.0,38405.0,38471.0,38527.0,38588.0,38615.0,38707.0,38723.0,38740.0,38780.0,38815.0,38838.0,38892.0,38923.0,38959.0,39016.0,39053.0,39095.0,39127.0,39154.0,39224.0,39317.0,39377.0,39403.0,39455.0,39493.0,39514.0,39526.0,39566.0,39605.0,39641.0,39681.0,39699.0,39770.0,39847.0,39914.0,39986.0,40065.0,40224.0,40261.0,40288.0,40333.0,40380.0,40394.0,40440.0
5011150,46800.0,46848.0,46899.0,46980.0,47100.0,47128.0,47160.0,47207.0,47280.0,47400.0,47510.0,47580.0,47642.0,47700.0,47720.0,47771.0,47795.0,47820.0,47880.0,47940.0,47984.0,48022.0,48120.0,48180.0,48300.0,48373.0,48420.0,48540.0,48560.0,48600.0,48618.0,48660.0,48840.0,49140.0,49200.0,49218.0,49247.0,49294.0,49320.0,49334.0,49344.0,49361.0,49372.0,49380.0,49440.0,49454.0,49500.0,49620.0,49680.0,49740.0,49800.0,49920.0,49958.0,49980.0,49999.0,50028.0,50047.0,50069.0,50085.0,50100.0,50160.0,50220.0,50262.0,50280.0,50400.0,50464.0,50499.0,50520.0,50535.0,50550.0,50564.0,50580.0,50640.0,50664.0,50691.0,50714.0,50739.0,50766.0,50820.0,50861.0,50891.0,50940.0,50992.0,51008.0,51060.0
5011152,57600.0,57685.0,57775.0,57920.0,57980.0,58050.0,58129.0,58144.0,58166.0,58305.0,58333.0,58351.0,58385.0,58416.0,58484.0,58653.0,58732.0,58816.0,58834.0,58851.0,58896.0,58934.0,59033.0,59164.0,59199.0,59255.0,59292.0,59369.0,59395.0,59447.0,59458.0,59482.0,59501.0,59588.0,59629.0,59688.0,59780.0,59931.0,60013.0,60131.0,60214.0,60358.0,60451.0,60528.0,60578.0,60606.0,60699.0,60716.0,60732.0,60768.0,60782.0,60792.0,60870.0,60915.0,60947.0,60996.0,61028.0,61064.0,61092.0,61116.0,61173.0,61321.0,61381.0,61407.0,61443.0,61494.0,61522.0,61538.0,61577.0,61615.0,61650.0,61690.0,61715.0,61753.0,61794.0,61830.0,61869.0,61911.0,61996.0,62032.0,62058.0,62100.0,62154.0,62171.0,62223.0
5011154,68400.0,68453.0,68510.0,68601.0,68630.0,68670.0,68716.0,68728.0,68747.0,68823.0,68851.0,68869.0,68898.0,68924.0,68963.0,69060.0,69105.0,69154.0,69178.0,69202.0,69238.0,69269.0,69347.0,69460.0,69497.0,69564.0,69607.0,69700.0,69723.0,69769.0,69780.0,69805.0,69825.0,69900.0,69964.0,70143.0,70424.0,70886.0,71135.0,71195.0,71237.0,71311.0,71359.0,71399.0,71440.0,71468.0,71561.0,71578.0,71608.0,71652.0,71677.0,71693.0,71750.0,71783.0,71810.0,71853.0,71881.0,71912.0,71936.0,71957.0,72012.0,72071.0,72122.0,72145.0,72187.0,72240.0,72269.0,72286.0,72320.0,72353.0,72384.0,72418.0,72442.0,72489.0,72540.0,72584.0,72632.0,72685.0,72790.0,72824.0,72849.0,72890.0,72944.0,72961.0,73015.0
