tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P,054_P,055_P,056_P,057_P,058_P,059_P,060_P,061_P,062_P,063_P,064_P,065_P,066_P
0,7132.0,6230.0,6228.0,4788.0,6273.0,136.0,137.0,193.0,138.0,167.0,168.0,169.0,141.0,142.0,143.0,115.0,37.0,38.0,39.0,40.0,146.0,147.0,184.0,185.0,186.0,187.0,188.0,189.0,190.0,191.0,819.0,263.0,277.0,336.0,1278.0,1282.0,4456.0,1284.0,1285.0,1286.0,1288.0,1289.0,1290.0,1291.0,2389.0,2390.0,2391.0,2392.0,2393.0,2394.0,1090.0,2413.0,2414.0,2415.0,2416.0,2417.0,2418.0,2419.0,2452.0,2453.0,2454.0,2455.0,2456.0,2445.0,2457.0,4392.0
5004413,42300.0,42380.0,42430.0,42494.0,42545.0,42570.0,42620.0,42647.0,42694.0,42758.0,42794.0,42845.0,42917.0,42962.0,43018.0,43094.0,43135.0,43185.0,43214.0,43279.0,43305.0,43352.0,43408.0,43449.0,43518.0,43606.0,43676.0,43754.0,43804.0,43889.0,43974.0,44098.0,44233.0,44437.0,44581.0,44737.0,44823.0,44889.0,45020.0,45139.0,45200.0,45251.0,45360.0,45453.0,45521.0,45601.0,45635.0,45692.0,45764.0,45802.0,45861.0,45902.0,45982.0,46027.0,46094.0,46139.0,46174.0,46202.0,46256.0,46289.0,46348.0,46418.0,46460.0,46500.0,46537.0,46578.0
5004415,53100.0,53186.0,53239.0,53308.0,53357.0,53380.0,53428.0,53454.0,53498.0,53559.0,53593.0,53642.0,53710.0,53753.0,53807.0,53880.0,53925.0,53980.0,54013.0,54082.0,54109.0,54159.0,54221.0,54262.0,54331.0,54412.0,54482.0,54560.0,54612.0,54700.0,54789.0,54914.0,55060.0,55274.0,55425.0,55588.0,55687.0,55756.0,55894.0,56028.0,56097.0,56154.0,56265.0,56360.0,56441.0,56536.0,56577.0,56646.0,56729.0,56774.0,56839.0,56886.0,56975.0,57025.0,57099.0,57147.0,57183.0,57213.0,57276.0,57315.0,57384.0,57456.0,57500.0,57541.0,57580.0,57622.0
5005527,34200.0,34288.0,34342.0,34412.0,34469.0,34496.0,34552.0,34582.0,34634.0,34705.0,34745.0,34803.0,34883.0,34933.0,34996.0,35083.0,35129.0,35185.0,35218.0,35308.0,35343.0,35408.0,35487.0,35552.0,35662.0,35766.0,35832.0,35906.0,35964.0,36063.0,36162.0,36269.0,36397.0,36632.0,36798.0,36977.0,37049.0,37112.0,37239.0,37343.0,37396.0,37441.0,37534.0,37613.0,37689.0,37778.0,37816.0,37880.0,37938.0,37969.0,38011.0,38047.0,38110.0,38145.0,38199.0,38243.0,38277.0,38304.0,38349.0,38377.0,38427.0,38475.0,38504.0,38531.0,38556.0,38584.0
5005529,45000.0,45086.0,45139.0,45208.0,45257.0,45280.0,45328.0,45354.0,45398.0,45459.0,45493.0,45542.0,45610.0,45653.0,45707.0,45780.0,45825.0,45880.0,45913.0,45982.0,46009.0,46059.0,46121.0,46162.0,46231.0,46312.0,46382.0,46460.0,46512.0,46600.0,46689.0,46814.0,46960.0,47174.0,47325.0,47488.0,47587.0,47656.0,47794.0,47928.0,47997.0,48054.0,48165.0,48260.0,48341.0,48436.0,48477.0,48546.0,48629.0,48674.0,48739.0,48786.0,48875.0,48925.0,48999.0,49047.0,49083.0,49113.0,49176.0,49215.0,49284.0,49356.0,49400.0,49441.0,49480.0,49522.0
5005531,66600.0,66690.0,66746.0,66818.0,66861.0,66882.0,66925.0,66948.0,66987.0,67041.0,67071.0,67115.0,67176.0,67214.0,67262.0,67327.0,67370.0,67422.0,67453.0,67509.0,67531.0,67571.0,67620.0,67653.0,67710.0,67784.0,67846.0,67915.0,67960.0,68037.0,68114.0,68230.0,68358.0,68598.0,68768.0,68951.0,69044.0,69105.0,69227.0,69349.0,69411.0,69463.0,69583.0,69685.0,69772.0,69874.0,69918.0,69992.0,70075.0,70120.0,70190.0,70238.0,70307.0,70346.0,70405.0,70448.0,70481.0,70508.0,70551.0,70577.0,70625.0,70688.0,70726.0,70762.0,70795.0,70831.0
5005533,76800.0,76858.0,76894.0,76939.0,76976.0,76994.0,77031.0,77051.0,77085.0,77132.0,77158.0,77196.0,77248.0,77281.0,77322.0,77377.0,77412.0,77455.0,77480.0,77527.0,77546.0,77580.0,77621.0,77648.0,77693.0,77742.0,77784.0,77832.0,77869.0,77932.0,77996.0,78091.0,78225.0,78415.0,78549.0,78694.0,78768.0,78820.0,78924.0,79027.0,79080.0,79125.0,79194.0,79252.0,79312.0,79383.0,79413.0,79464.0,79529.0,79563.0,79608.0,79647.0,79697.0,79725.0,79766.0,79803.0,79831.0,79854.0,79894.0,79918.0,79962.0,80018.0,80052.0,80084.0,80114.0,80145.0
5007216,75600.0,75670.0,75713.0,75770.0,75813.0,75834.0,75876.0,75899.0,75938.0,75992.0,76022.0,76066.0,76126.0,76164.0,76212.0,76277.0,76316.0,76363.0,76391.0,76445.0,76466.0,76505.0,76553.0,76581.0,76629.0,76691.0,76749.0,76814.0,76861.0,76941.0,77023.0,77205.0,77329.0,77526.0,77666.0,77817.0,77890.0,77939.0,78037.0,78149.0,78206.0,78254.0,78338.0,78410.0,78467.0,78534.0,78563.0,78610.0,78677.0,78713.0,78762.0,78804.0,78857.0,78887.0,78932.0,78966.0,78992.0,79012.0,79057.0,79084.0,79133.0,79190.0,79224.0,79256.0,79286.0,79319.0
5008370,30600.0,30726.0,30804.0,30904.0,30965.0,30994.0,31054.0,31086.0,31142.0,31219.0,31262.0,31324.0,31410.0,31464.0,31532.0,31624.0,31669.0,31724.0,31757.0,31870.0,31915.0,31997.0,32096.0,32154.0,32253.0,32332.0,32395.0,32466.0,32527.0,32631.0,32736.0,32865.0,33013.0,33281.0,33471.0,33675.0,33752.0,33820.0,33956.0,34058.0,34110.0,34155.0,34268.0,34365.0,34432.0,34511.0,34545.0,34602.0,34670.0,34707.0,34767.0,34809.0,34876.0,34914.0,34971.0,35007.0,35035.0,35057.0,35098.0,35123.0,35167.0,35224.0,35258.0,35290.0,35320.0,35354.0
5008373,61200.0,61301.0,61363.0,61444.0,61495.0,61520.0,61570.0,61597.0,61644.0,61708.0,61744.0,61795.0,61867.0,61912.0,61968.0,62044.0,62090.0,62147.0,62180.0,62242.0,62267.0,62312.0,62367.0,62401.0,62459.0,62527.0,62580.0,62640.0,62686.0,62764.0,62843.0,62940.0,63075.0,63339.0,63526.0,63727.0,63816.0,63891.0,64040.0,64210.0,64297.0,64370.0,64534.0,64674.0,64774.0,64891.0,64941.0,65025.0,65139.0,65200.0,65274.0,65333.0,65402.0,65441.0,65500.0,65543.0,65576.0,65602.0,65650.0,65679.0,65732.0,65786.0,65819.0,65850.0,65879.0,65910.0
